Molecule_ID,ext,External_ID,Gene,Name,Source_acc,Regulation_case.control,Validation,Scores
A0001,X,NMDZ1_HUMAN,hNMDAR1-4b;hNMDAR1-3b;GRIN1,Glutamate [NMDA] receptor subunit zeta 1 precursor,A_23_P257962,ratio: 0.12,ratio_log2fc: -3.01,,p-value: 0.013999
A0002,,NMDE1_HUMAN,NR2A;GRIN2A;NMDAR2A,Glutamate [NMDA] receptor subunit epsilon 1 precursor,A_24_P358628,ratio: 0.12,ratio_log2fc: -3.09,,p-value: 0.013999
A0003,,NMDE2_HUMAN,GRIN2B;NMDAR2B,Glutamate [NMDA] receptor subunit epsilon 2 precursor,A_23_P151264,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A0003,,NMDE2_HUMAN,GRIN2B;NMDAR2B,Glutamate [NMDA] receptor subunit epsilon 2 precursor,A_32_P144072,ratio: 0.17,ratio_log2fc: -2.56,,p-value: 0.013999
A0022,,GRIK2_HUMAN,GRIK2;GLUR6,Glutamate receptor;ionotropic kainate 2 precursor,A_23_P250136,ratio: 0.17,ratio_log2fc: -2.55,,p-value: 0.013999
A0026,X,HD_HUMAN,HD;IT15;HTT,Huntingtin,A_24_P180225,ratio: 6.46,ratio_log2fc: 2.69,,p-value: 0.012871
A0029,X,ANXA6_HUMAN,ANXA6;ANX6,Annexin A6,A_23_P357104,ratio: 7.89,ratio_log2fc: 2.98,,p-value: 0.004443
A002A,,MYOF_HUMAN,MYOF;FER1L3,Myoferlin,A_23_P354387,ratio: 0.17,ratio_log2fc: -2.52,,p-value: 0.005535
A002A,,MYOF_HUMAN,MYOF;FER1L3,Myoferlin,A_23_P86682,ratio: 0.21,ratio_log2fc: -2.22,,p-value: 0.007717
A002G,,CSF3_HUMAN,CSF3;GCSF,Colony-stimulating factor 3,A_23_P501754,ratio: 0.13,ratio_log2fc: -2.99,,p-value: 0.013999
A003J,,TSLP_HUMAN,TSLP,Thymic stromal lymphopoietin,A_23_P121987,ratio: 0.21,ratio_log2fc: -2.23,,p-value: 0.007752
A0043,,GNAO_HUMAN,GNAO1,Guanine nucleotide-binding protein G(O);alpha subunit 1,A_23_P26582,ratio: 0.16,ratio_log2fc: -2.62,,p-value: 0.013999
A004A,,N2DL3_HUMAN,ULBP3;N2DL3;RAET1N,UL16 binding protein 3,A_23_P134100,ratio: 0.16,ratio_log2fc: -2.65,,p-value: 0.013999
A004D,X,CCD83_HUMAN,CCDC83;HSD9,Coiled-coil domain-containing protein 83,A_23_P356667,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.013999
A0059,,GBG1_HUMAN,GNGT1,Guanine nucleotide-binding protein G(T) gamma-T1 subunit,A_24_P196665,ratio: 0.28,ratio_log2fc: -1.82,,p-value: 0.014741
A0070,,GBB2_HUMAN,GNB2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) beta subunit 2,A_23_P82296,ratio: 7.64,ratio_log2fc: 2.93,,p-value: 0.005776
A0072,,GBB4_HUMAN,GNB4,Guanine nucleotide-binding protein beta subunit 4,A_32_P184916,ratio: 0.23,ratio_log2fc: -2.09,,p-value: 0.013999
A0072,,GBB4_HUMAN,GNB4,Guanine nucleotide-binding protein beta subunit 4,A_23_P18186,ratio: 0.19,ratio_log2fc: -2.39,,p-value: 0.01402
A007H,,KCIP4_HUMAN,KCNIP4;CALP;KCHIP4,Kv channel-interacting protein 4,A_23_P250784,ratio: 0.05,ratio_log2fc: -4.23,,p-value: 0.002762
A007H,,KCIP4_HUMAN,KCNIP4;CALP;KCHIP4,Kv channel-interacting protein 4,A_23_P155733,ratio: 0.11,ratio_log2fc: -3.16,,p-value: 0.004547
A0081,,SHAN2_HUMAN,SHANK2;CORTBP1;PROSAP1,SH3 and multiple ankyrin repeat domains protein 2,A_23_P424727,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A0087,,CLD1_HUMAN,CLDN1;CLD1;SEMP1,Claudin-1,A_23_P57784,ratio: 0.26,ratio_log2fc: -1.94,,p-value: 0.013999
A008G,,CSRN3_HUMAN,CSRNP3;FAM130A2;TAIP2,Cysteine/serine-rich nuclear protein 3,A_23_P209464,ratio: 0.18,ratio_log2fc: -2.44,,p-value: 0.015106
A008J,,TSN33_HUMAN,TSPAN33;PEN,Tetraspanin-33,A_32_P123652,ratio: 13.61,ratio_log2fc: 3.77,,p-value: 0.002971
A008J,,TSN33_HUMAN,TSPAN33;PEN,Tetraspanin-33,A_23_P392928,ratio: 13.05,ratio_log2fc: 3.71,,p-value: 0.003182
A0090,X,OCLN_HUMAN,OCLN,Occludin,A_24_P102053,ratio: 0.18,ratio_log2fc: -2.44,,p-value: 0.006835
A0090,X,OCLN_HUMAN,OCLN,Occludin,A_23_P92672,ratio: 0.22,ratio_log2fc: -2.21,,p-value: 0.013999
A0092,,41_HUMAN,EPB41;E41P,Erythrocyte membrane protein band 4.1,A_23_P351,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A0093,,PTPRZ_HUMAN,PTPRZ1;HTPZP2;PTPRZ,Receptor-type protein-tyrosine phosphatase zeta precursor,A_24_P235248,ratio: 0.16,ratio_log2fc: -2.69,,p-value: 0.013999
A0093,,PTPRZ_HUMAN,PTPRZ1;HTPZP2;PTPRZ,Receptor-type protein-tyrosine phosphatase zeta precursor,A_24_P8474,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A0107,,DLGP1_HUMAN,DLGAP1;DAP1;GKAP,Disks large-associated protein 1,A_24_P62367,ratio: 0.12,ratio_log2fc: -3.09,,p-value: 0.010687
A010B,,SIX6_HUMAN,SIX6;OPTX2;SIX9,Homeobox protein SIX6,A_23_P106117,ratio: 0.17,ratio_log2fc: -2.60,,p-value: 0.013999
A010C,,GOT1B_HUMAN,GOLT1B;GOT1A;CGI-141,Vesicle transport protein GOT1B,A_23_P162425,ratio: 0.14,ratio_log2fc: -2.86,,p-value: 0.013999
A0111,,ARHG4_HUMAN,ARHGEF4;ASEF,Rho guanine nucleotide exchange factor 4,A_23_P253221,ratio: 4.14,ratio_log2fc: 2.05,,p-value: 0.013999
A0111,,ARHG4_HUMAN,ARHGEF4;ASEF,Rho guanine nucleotide exchange factor 4,A_24_P302685,ratio: 0.18,ratio_log2fc: -2.46,,p-value: 0.015109
A0121,X,AMPH_HUMAN,AMPH;AMPH1,Amphiphysin I,A_24_P239234,ratio: 0.13,ratio_log2fc: -2.90,,p-value: 0.013999
A012A,,NEUG_HUMAN,NRGN,Neurogranin,A_23_P116264,ratio: 4.92,ratio_log2fc: 2.30,,p-value: 0.013999
