Gene_Name	CKDdb_num_of_studies	CKDdb_Disease
IGK	124	Dialysis, AKI, Glomerulonephritis, remnant_kidney_model, Diabetes, Polycystic_Kidney_Disease, ureteral_obstruction, Fibrosis, Transplantation, Nephrotic_Syndrome, glomerular_disease, Chronic_Renal_Insufficiency (hemodialysis, AKI, lupus nephritis, remnant kidney model, diabetic kidney disease, FSGS + COLL, type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, type 2 diabetic nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, congenital bilateral hydronephrosis, Interstitial fibrosis and tubular atrophy, acute renal allograft rejection, Acute Renal Allograft Rejection, paediatric idiopathic nephrotic syndrome, glomerular disease, membranous nephropathy, type 2 diabetes without nephropathy, type 2 diabetes with retinopathy, diabetes with overt diabetic nephropathy, IgA nephropathy, CKD)
SDNK1	124	Dialysis, AKI, Glomerulonephritis, remnant_kidney_model, Diabetes, Polycystic_Kidney_Disease, ureteral_obstruction, Fibrosis, Transplantation, Nephrotic_Syndrome, glomerular_disease, Chronic_Renal_Insufficiency (hemodialysis, AKI, lupus nephritis, remnant kidney model, diabetic kidney disease, FSGS + COLL, type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, type 2 diabetic nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, congenital bilateral hydronephrosis, Interstitial fibrosis and tubular atrophy, acute renal allograft rejection, Acute Renal Allograft Rejection, paediatric idiopathic nephrotic syndrome, glomerular disease, membranous nephropathy, type 2 diabetes without nephropathy, type 2 diabetes with retinopathy, diabetes with overt diabetic nephropathy, IgA nephropathy, CKD)
A30	124	Dialysis, AKI, Glomerulonephritis, remnant_kidney_model, Diabetes, Polycystic_Kidney_Disease, ureteral_obstruction, Fibrosis, Transplantation, Nephrotic_Syndrome, glomerular_disease, Chronic_Renal_Insufficiency (hemodialysis, AKI, lupus nephritis, remnant kidney model, diabetic kidney disease, FSGS + COLL, type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, type 2 diabetic nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, congenital bilateral hydronephrosis, Interstitial fibrosis and tubular atrophy, acute renal allograft rejection, Acute Renal Allograft Rejection, paediatric idiopathic nephrotic syndrome, glomerular disease, membranous nephropathy, type 2 diabetes without nephropathy, type 2 diabetes with retinopathy, diabetes with overt diabetic nephropathy, IgA nephropathy, CKD)
A1A	51	Dialysis, Diabetes, Nephrosclerosis, Transplantation, Glomerulonephritis, AKI, Polycystic_Kidney_Disease, ureteral_obstruction, Puromycin_induced, Fibrosis, Nephrotic_Syndrome (hemodialysis, diabetic nephropathy, glomerulosclerosis, type 1 diabetes with retinopathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, Acute Renal Allograft Rejection, lupus nephritis, type 2 diabetic nephropathy, AKI, Diabetic Nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, chronic glomerulonephritis, unilateral uteropelvic junction obstruction, Puromycin nephropathy model, Passive Heymann Nephritis, glomerular kidney disease, diabetic nephropathy in T1D, IgA nephropathy, Interstitial fibrosis and tubular atrophy, Peritonitis, membranous nephropathy, focal segmental glomerulosclerosis, Diabetes Mellitus-associated Erectile Dysfunction, Gestational Diabetes, paediatric idiopathic nephrotic syndrome)
SERPINA1	51	Dialysis, Diabetes, Nephrosclerosis, Transplantation, Glomerulonephritis, AKI, Polycystic_Kidney_Disease, ureteral_obstruction, Puromycin_induced, Fibrosis, Nephrotic_Syndrome (hemodialysis, diabetic nephropathy, glomerulosclerosis, type 1 diabetes with retinopathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, Acute Renal Allograft Rejection, lupus nephritis, type 2 diabetic nephropathy, AKI, Diabetic Nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, chronic glomerulonephritis, unilateral uteropelvic junction obstruction, Puromycin nephropathy model, Passive Heymann Nephritis, glomerular kidney disease, diabetic nephropathy in T1D, IgA nephropathy, Interstitial fibrosis and tubular atrophy, Peritonitis, membranous nephropathy, focal segmental glomerulosclerosis, Diabetes Mellitus-associated Erectile Dysfunction, Gestational Diabetes, paediatric idiopathic nephrotic syndrome)
AAT	51	Dialysis, Diabetes, Nephrosclerosis, Transplantation, Glomerulonephritis, AKI, Polycystic_Kidney_Disease, ureteral_obstruction, Puromycin_induced, Fibrosis, Nephrotic_Syndrome (hemodialysis, diabetic nephropathy, glomerulosclerosis, type 1 diabetes with retinopathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, Acute Renal Allograft Rejection, lupus nephritis, type 2 diabetic nephropathy, AKI, Diabetic Nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, chronic glomerulonephritis, unilateral uteropelvic junction obstruction, Puromycin nephropathy model, Passive Heymann Nephritis, glomerular kidney disease, diabetic nephropathy in T1D, IgA nephropathy, Interstitial fibrosis and tubular atrophy, Peritonitis, membranous nephropathy, focal segmental glomerulosclerosis, Diabetes Mellitus-associated Erectile Dysfunction, Gestational Diabetes, paediatric idiopathic nephrotic syndrome)
ALB	48	AKI, remnant_kidney_model, Nephrosclerosis, Chronic_Renal_Insufficiency, Diabetes, Transplantation, Glomerulonephritis, Polycystic_Kidney_Disease, ureteral_obstruction, Puromycin_induced, Cyclosporine_A_induced, Fibrosis, Gentamicin_induced, glomerular_disease (AKI, remnant kidney model, glomerulosclerosis, early_stage_CKD, type 1 diabetes with retinopathy and nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, diabetic nephropathy induced by Streptozotocin, Acute Renal Allograft Rejection, lupus nephritis, type 2 diabetic nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, streptozotocin-induced diabetic, unilateral uteropelvic junction obstruction, Puromycin nephropathy model, Passive Heymann Nephritis, focal segmental glomerulosclerosis, IgA nephropathy, cyclosporine A nephrotoxicity, Interstitial fibrosis and tubular atrophy, membranoproliferative glomerulonephritis model, membranous nephropathy, Diabetes Mellitus-associated Erectile Dysfunction, obstructive uropathy, chronic sensitization to gentamicin, glomerular disease)
ALB-1	48	AKI, remnant_kidney_model, Nephrosclerosis, Chronic_Renal_Insufficiency, Diabetes, Transplantation, Glomerulonephritis, Polycystic_Kidney_Disease, ureteral_obstruction, Puromycin_induced, Cyclosporine_A_induced, Fibrosis, Gentamicin_induced, glomerular_disease (AKI, remnant kidney model, glomerulosclerosis, early_stage_CKD, type 1 diabetes with retinopathy and nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, diabetic nephropathy induced by Streptozotocin, Acute Renal Allograft Rejection, lupus nephritis, type 2 diabetic nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, streptozotocin-induced diabetic, unilateral uteropelvic junction obstruction, Puromycin nephropathy model, Passive Heymann Nephritis, focal segmental glomerulosclerosis, IgA nephropathy, cyclosporine A nephrotoxicity, Interstitial fibrosis and tubular atrophy, membranoproliferative glomerulonephritis model, membranous nephropathy, Diabetes Mellitus-associated Erectile Dysfunction, obstructive uropathy, chronic sensitization to gentamicin, glomerular disease)
ALB1	48	AKI, remnant_kidney_model, Nephrosclerosis, Chronic_Renal_Insufficiency, Diabetes, Transplantation, Glomerulonephritis, Polycystic_Kidney_Disease, ureteral_obstruction, Puromycin_induced, Cyclosporine_A_induced, Fibrosis, Gentamicin_induced, glomerular_disease (AKI, remnant kidney model, glomerulosclerosis, early_stage_CKD, type 1 diabetes with retinopathy and nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, diabetic nephropathy induced by Streptozotocin, Acute Renal Allograft Rejection, lupus nephritis, type 2 diabetic nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, streptozotocin-induced diabetic, unilateral uteropelvic junction obstruction, Puromycin nephropathy model, Passive Heymann Nephritis, focal segmental glomerulosclerosis, IgA nephropathy, cyclosporine A nephrotoxicity, Interstitial fibrosis and tubular atrophy, membranoproliferative glomerulonephritis model, membranous nephropathy, Diabetes Mellitus-associated Erectile Dysfunction, obstructive uropathy, chronic sensitization to gentamicin, glomerular disease)
HP	47	AKI, Glomerulonephritis, Polycystic_Kidney_Disease, remnant_kidney_model, Diabetes, Transplantation, Fibrosis, Dialysis, Doxorubicin_induced, Chronic_Renal_Insufficiency (AKI, lupus nephritis, Autosomal Dominant Polycystic kidney disease, remnant kidney model, diabetic nephropathy, type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, Acute Renal Allograft Rejection, type 2 diabetic nephropathy, adriamycin nephropathy and Thy1.1 induced glomerulonephritis, Autosomal Dominant Polycystic Kidney disease, Passive Heymann Nephritis, diabetic nephropathy in T1D, Interstitial fibrosis and tubular atrophy, Peritonitis, membranous nephropathy, focal segmental glomerulosclerosis, diabetic retinopathy, Diabetes Mellitus-associated Erectile Dysfunction, type 2 diabetes, Doxorubicin-induced nephropathy, Chronic kidney disease)
