DDX11L1	ENSG00000223972
WASH7P	ENSG00000227232
MIR1302-10	ENSG00000243485
FAM138A	ENSG00000237613
OR4G4P	ENSG00000268020
OR4G11P	ENSG00000240361
OR4F5	ENSG00000186092
RP11-34P13.7	ENSG00000238009
RP11-34P13.8	ENSG00000239945
CICP27	ENSG00000233750
AL627309.1	ENSG00000237683
RP11-34P13.15	ENSG00000268903
RP11-34P13.16	ENSG00000269981
RP11-34P13.14	ENSG00000239906
RP11-34P13.13	ENSG00000241860
RNU6-1100P	ENSG00000222623
RP11-34P13.9	ENSG00000241599
AP006222.2	ENSG00000228463
AP006222.1	ENSG00000241670
RP4-669L17.10	ENSG00000237094
RP4-669L17.8	ENSG00000250575
CICP7	ENSG00000233653
RP4-669L17.4	ENSG00000224813
OR4F29	ENSG00000235249
WBP1LP7	ENSG00000269732
AL732372.1	ENSG00000256186
RP4-669L17.2	ENSG00000236601
RP5-857K21.15	ENSG00000236743
RP4-669L17.1	ENSG00000236679
RP5-857K21.1	ENSG00000231709
RP5-857K21.2	ENSG00000235146
RP5-857K21.3	ENSG00000239664
RP5-857K21.4	ENSG00000230021
RP5-857K21.5	ENSG00000223659
MTND1P23	ENSG00000225972
MTND2P28	ENSG00000225630
hsa-mir-6723	ENSG00000237973
RP5-857K21.7	ENSG00000229344
MTATP8P1	ENSG00000240409
MTATP6P1	ENSG00000248527
RP5-857K21.11	ENSG00000198744
WBP1LP6	ENSG00000268663
OR4F16	ENSG00000185097
CICP3	ENSG00000229376
RP11-206L10.1	ENSG00000224956
RP11-206L10.3	ENSG00000235373
RNU6-1199P	ENSG00000223181
RP11-206L10.5	ENSG00000240618
RP11-206L10.4	ENSG00000229905
RP11-206L10.2	ENSG00000228327
RP11-206L10.9	ENSG00000237491
RP11-206L10.8	ENSG00000230092
AL669831.1	ENSG00000269831
RP11-206L10.10	ENSG00000240453
FAM87B	ENSG00000177757
LINC00115	ENSG00000225880
LINC01128	ENSG00000228794
FAM41C	ENSG00000230368
TUBB8P11	ENSG00000234711
AL645608.2	ENSG00000269308
RP11-54O7.16	ENSG00000272438
RP11-54O7.1	ENSG00000230699
RP11-54O7.2	ENSG00000241180
RP11-54O7.3	ENSG00000223764
SAMD11	ENSG00000187634
AL645608.1	ENSG00000268179
NOC2L	ENSG00000188976
KLHL17	ENSG00000187961
PLEKHN1	ENSG00000187583
C1orf170	ENSG00000187642
RP11-54O7.17	ENSG00000272512
HES4	ENSG00000188290
RP11-54O7.10	ENSG00000231702
RP11-54O7.11	ENSG00000224969
ISG15	ENSG00000187608
AGRN	ENSG00000188157
RP11-54O7.14	ENSG00000242590
RP11-465B22.3	ENSG00000217801
RP11-54O7.18	ENSG00000273443
RNF223	ENSG00000237330
C1orf159	ENSG00000131591
RP11-465B22.5	ENSG00000223823
MIR200B	ENSG00000207730
MIR200A	ENSG00000207607
MIR429	ENSG00000198976
RP11-465B22.8	ENSG00000272141
TTLL10-AS1	ENSG00000205231
TTLL10	ENSG00000162571
TNFRSF18	ENSG00000186891
TNFRSF4	ENSG00000186827
SDF4	ENSG00000078808
B3GALT6	ENSG00000176022
FAM132A	ENSG00000184163
RP5-902P8.12	ENSG00000260179
UBE2J2	ENSG00000160087
RP5-902P8.10	ENSG00000230415
SCNN1D	ENSG00000162572
ACAP3	ENSG00000131584
PUSL1	ENSG00000169972
CPSF3L	ENSG00000127054
RP5-890O3.9	ENSG00000240731
GLTPD1	ENSG00000224051
TAS1R3	ENSG00000169962
DVL1	ENSG00000107404
MXRA8	ENSG00000162576
AURKAIP1	ENSG00000175756
RP5-890O3.3	ENSG00000223663
CCNL2	ENSG00000221978
RP4-758J18.2	ENSG00000224870
MRPL20	ENSG00000242485
RN7SL657P	ENSG00000264293
RP4-758J18.13	ENSG00000272455
ANKRD65	ENSG00000235098
RP4-758J18.7	ENSG00000225905
TMEM88B	ENSG00000205116
RP4-758J18.10	ENSG00000225285
VWA1	ENSG00000179403
ATAD3C	ENSG00000215915
ATAD3B	ENSG00000160072
ATAD3A	ENSG00000197785
TMEM240	ENSG00000205090
SSU72	ENSG00000160075
AL645728.2	ENSG00000215791
AL645728.1	ENSG00000215014
AL645728.3	ENSG00000236684
C1orf233	ENSG00000228594
RP11-345P4.9	ENSG00000272106
MIB2	ENSG00000197530
MMP23B	ENSG00000189409
CDK11B	ENSG00000248333
RP11-345P4.10	ENSG00000272004
SLC35E2B	ENSG00000189339
RP11-345P4.7	ENSG00000269737
RP11-345P4.6	ENSG00000269227
MMP23A	ENSG00000215914
CDK11A	ENSG00000008128
RP1-283E3.8	ENSG00000268575
RP1-283E3.4	ENSG00000227775
SLC35E2	ENSG00000215790
NADK	ENSG00000008130
GNB1	ENSG00000078369
RP1-140A9.1	ENSG00000231050
CALML6	ENSG00000169885
TMEM52	ENSG00000178821
C1orf222	ENSG00000142609
RP11-547D24.1	ENSG00000233542
GABRD	ENSG00000187730
RP11-547D24.3	ENSG00000226969
PRKCZ	ENSG00000067606
RP5-892K4.1	ENSG00000271806
RP11-181G12.2	ENSG00000182873
C1orf86	ENSG00000162585
AL590822.2	ENSG00000269554
AL590822.1	ENSG00000203301
RP11-181G12.5	ENSG00000243558
RP11-181G12.4	ENSG00000234396
SKI	ENSG00000157933
MORN1	ENSG00000116151
RP4-713A8.1	ENSG00000272161
AL589739.1	ENSG00000269753
RP4-740C4.6	ENSG00000269896
RP4-740C4.5	ENSG00000238240
RP4-740C4.7	ENSG00000272420
RP4-740C4.9	ENSG00000271921
RP4-740C4.8	ENSG00000271847
AL513477.1	ENSG00000178642
RER1	ENSG00000157916
PEX10	ENSG00000157911
PLCH2	ENSG00000149527
RP3-395M20.2	ENSG00000224387
RP3-395M20.3	ENSG00000229393
PANK4	ENSG00000157881
HES5	ENSG00000197921
RP3-395M20.12	ENSG00000272449
RP3-395M20.8	ENSG00000238164
TNFRSF14	ENSG00000157873
RP3-395M20.7	ENSG00000225931
RP3-395M20.9	ENSG00000228037
FAM213B	ENSG00000157870
MMEL1	ENSG00000142606
RP13-436F16.1	ENSG00000237058
TTC34	ENSG00000215912
RP11-740P5.2	ENSG00000233234
RP11-740P5.3	ENSG00000231630
ACTRT2	ENSG00000169717
LINC00982	ENSG00000177133
AL008733.1	ENSG00000256761
PRDM16	ENSG00000142611
RP1-163G9.2	ENSG00000226286
RP11-22L13.1	ENSG00000272235
ARHGEF16	ENSG00000130762
RP11-168F9.2	ENSG00000272088
MEGF6	ENSG00000162591
MIR551A	ENSG00000207776
RP11-46F15.2	ENSG00000238260
TPRG1L	ENSG00000158109
WRAP73	ENSG00000116213
TP73	ENSG00000078900
RP5-1092A11.5	ENSG00000227589
RP5-1092A11.2	ENSG00000235131
TP73-AS1	ENSG00000227372
CCDC27	ENSG00000162592
SMIM1	ENSG00000235169
LRRC47	ENSG00000130764
RN7SL574P	ENSG00000266075
RP1-286D6.5	ENSG00000272153
CEP104	ENSG00000116198
DFFB	ENSG00000169598
AL691523.1	ENSG00000264428
C1orf174	ENSG00000198912
LINC01134	ENSG00000236423
RP13-614K11.1	ENSG00000233304
RP13-614K11.2	ENSG00000226374
RP11-374C13.1	ENSG00000229280
RP5-1166F10.1	ENSG00000235054
RP1-37J18.1	ENSG00000227169
RP1-37J18.2	ENSG00000232596
AJAP1	ENSG00000196581
RP11-542C10.1	ENSG00000231510
RP1-58B11.1	ENSG00000260972
MIR4417	ENSG00000264341
RP11-154H17.1	ENSG00000236948
AL356693.1	ENSG00000216045
MIR4689	ENSG00000264101
NPHP4	ENSG00000131697
AL356261.1	ENSG00000266687
KCNAB2	ENSG00000069424
AL035406.1	ENSG00000268332
CHD5	ENSG00000116254
RPL22	ENSG00000116251
RP1-120G22.11	ENSG00000226944
RNF207	ENSG00000158286
ICMT	ENSG00000116237
LINC00337	ENSG00000225077
HES3	ENSG00000173673
GPR153	ENSG00000158292
ACOT7	ENSG00000097021
RP1-202O8.3	ENSG00000271746
HES2	ENSG00000069812
ESPN	ENSG00000187017
MIR4252	ENSG00000265392
RP1-202O8.2	ENSG00000231868
TNFRSF25	ENSG00000215788
PLEKHG5	ENSG00000171680
NOL9	ENSG00000162408
RNU6-731P	ENSG00000253022
RP11-58A11.2	ENSG00000229519
TAS1R1	ENSG00000173662
ZBTB48	ENSG00000204859
KLHL21	ENSG00000162413
PHF13	ENSG00000116273
THAP3	ENSG00000041988
DNAJC11	ENSG00000007923
RP11-242F24.1	ENSG00000228750
