Gene_Name	essential_mouse_knockout	non_essential_mouse_knockout
FAM138A	0	0
OR4F5	0	0
OR4F29	0	0
OR4F16	0	0
AL669831.1	0	0
SAMD11	0	0
NOC2L	0	0
KLHL17	0	0
PLEKHN1	0	0
C1orf170	0	0
HES4	0	0
ISG15	0	1
AGRN	1	0
RNF223	0	0
C1orf159	0	0
TTLL10	0	0
TNFRSF18	0	1
TNFRSF4	0	1
SDF4	0	0
B3GALT6	0	0
FAM132A	0	0
UBE2J2	0	0
SCNN1D	0	0
ACAP3	0	0
PUSL1	0	0
CPSF3L	0	0
GLTPD1	0	0
TAS1R3	0	1
DVL1	0	1
MXRA8	0	0
AURKAIP1	0	0
CCNL2	0	0
RP4-758J18.2	0	0
MRPL20	0	0
ANKRD65	0	0
TMEM88B	0	0
VWA1	0	1
ATAD3C	0	0
ATAD3B	0	0
ATAD3A	0	0
TMEM240	0	0
SSU72	0	0
AL645728.1	0	0
C1orf233	0	0
MIB2	0	1
MMP23B	0	0
CDK11B	1	0
SLC35E2B	0	0
CDK11A	0	0
SLC35E2	0	0
NADK	0	0
GNB1	1	0
CALML6	0	0
TMEM52	0	0
C1orf222	0	0
GABRD	1	0
PRKCZ	0	1
C1orf86	0	0
AL590822.1	0	0
SKI	1	0
MORN1	0	0
RER1	0	1
PEX10	0	0
PLCH2	0	1
PANK4	0	0
HES5	0	1
TNFRSF14	0	1
FAM213B	0	0
MMEL1	0	1
TTC34	0	0
ACTRT2	0	0
PRDM16	1	0
ARHGEF16	0	0
MEGF6	0	0
TPRG1L	0	0
WRAP73	0	0
TP73	1	0
CCDC27	0	0
RP1-286D6.2	0	0
LRRC47	0	0
CEP104	0	0
DFFB	0	1
C1orf174	0	0
AJAP1	0	0
NPHP4	0	1
KCNAB2	0	1
CHD5	0	0
RPL22	0	1
RNF207	0	0
ICMT	1	0
HES3	0	1
GPR153	0	0
ACOT7	0	0
HES2	0	0
ESPN	0	1
TNFRSF25	0	1
PLEKHG5	0	1
NOL9	0	0
TAS1R1	0	1
ZBTB48	0	0
KLHL21	0	0
PHF13	0	0
THAP3	0	0
DNAJC11	0	0
CAMTA1	0	0
VAMP3	0	1
PER3	0	1
UTS2	0	0
TNFRSF9	0	1
PARK7	0	1
ERRFI1	1	0
SLC45A1	0	0
RERE	1	0
ENO1	1	0
CA6	0	1
SLC2A7	0	0
SLC2A5	0	0
GPR157	0	0
H6PD	0	1
SPSB1	0	0
SLC25A33	0	0
TMEM201	0	0
PIK3CD	0	1
C1orf200	0	0
CLSTN1	0	0
CTNNBIP1	1	0
LZIC	0	0
NMNAT1	0	0
RBP7	0	1
UBE4B	1	0
KIF1B	1	0
PGD	0	0
APITD1	0	0
APITD1-CORT	0	0
CORT	0	1
DFFA	0	1
PEX14	1	0
CASZ1	0	0
C1orf127	0	0
TARDBP	1	0
MASP2	0	1
SRM	0	0
EXOSC10	0	0
MTOR	1	0
ANGPTL7	0	0
UBIAD1	0	0
PTCHD2	0	0
FBXO2	0	1
FBXO44	0	0
FBXO6	0	0
MAD2L2	0	0
C1orf187	0	1
AGTRAP	0	0
C1orf167	0	0
MTHFR	0	1
CLCN6	0	1
NPPA	0	1
NPPB	0	1
KIAA2013	0	0
PLOD1	0	1
MFN2	1	0
MIIP	0	0
TNFRSF8	0	1
TNFRSF1B	0	1
VPS13D	1	0
DHRS3	0	0
AADACL4	0	0
AADACL3	0	0
C1orf158	0	0
PRAMEF12	0	0
PRAMEF1	0	0
PRAMEF11	0	0
HNRNPCL1	0	0
PRAMEF2	0	0
PRAMEF4	0	0
PRAMEF10	0	0
PRAMEF7	0	0
PRAMEF6	0	0
PRAMEF22	0	0
WI2-3308P17.2	0	0
WI2-2994D6.2	0	0
PRAMEF3	0	0
PRAMEF5	0	0
PRAMEF8	0	0
PRAMEF9	0	0
PRAMEF13	0	0
PRAMEF18	0	0
PRAMEF16	0	0
PRAMEF21	0	0
PRAMEF15	0	0
PRAMEF14	0	0
PRAMEF19	0	0
PRAMEF17	0	0
PRAMEF20	0	0
LRRC38	0	0
PDPN	1	0
PRDM2	0	1
C1orf196	0	0
KAZN	0	0
TMEM51	0	0
C1orf195	0	0
FHAD1	0	0
EFHD2	0	0
CTRC	0	0
CELA2A	0	0
CELA2B	0	0
CASP9	1	0
DNAJC16	0	0
AGMAT	0	0
DDI2	0	0
RSC1A1	0	1
PLEKHM2	0	0
SLC25A34	0	0
TMEM82	0	0
FBLIM1	0	0
SPEN	1	0
ZBTB17	1	0
C1orf64	0	0
HSPB7	0	0
CLCNKA	0	1
CLCNKB	0	0
FAM131C	0	0
EPHA2	0	1
ARHGEF19	0	0
ANO7L1	0	0
C1orf134	0	0
RSG1	0	0
FBXO42	0	0
C1orf144	0	0
SPATA21	0	0
NECAP2	0	0
AL355149.1	0	0
AL137798.1	0	0
MST1P9	0	0
BX284668.1	0	0
CROCC	0	1
MFAP2	0	1
ATP13A2	0	0
SDHB	0	0
PADI2	0	0
PADI1	0	0
PADI3	0	0
PADI4	0	1
RCC2	0	0
ARHGEF10L	0	0
ACTL8	0	0
IGSF21	0	0
KLHDC7A	0	0
PAX7	1	0
TAS1R2	0	1
RP13-279N23.2	0	0
ALDH4A1	0	0
IFFO2	0	0
UBR4	1	0
EMC1	0	0
MRTO4	0	0
AKR7A3	0	0
AKR7A2	0	0
PQLC2	0	0
CAPZB	0	0
MINOS1	0	0
NBL1	0	1
HTR6	0	1
TMCO4	0	0
RNF186	0	0
OTUD3	0	0
PLA2G2E	0	0
PLA2G2A	0	0
PLA2G5	0	1
PLA2G2D	0	0
PLA2G2F	0	0
PLA2G2C	0	0
UBXN10	0	0
VWA5B1	0	0
