Gene_Name	essential_mouse_knockout	non_essential_mouse_knockout
FAM138A	N	N
OR4F5	N	N
OR4F29	N	N
OR4F16	N	N
AL669831.1	N	N
SAMD11	N	N
NOC2L	N	N
KLHL17	N	N
PLEKHN1	N	N
C1orf170	N	N
HES4	N	N
ISG15	N	Y
AGRN	Y	N
RNF223	N	N
C1orf159	N	N
TTLL10	N	N
TNFRSF18	N	Y
TNFRSF4	N	Y
SDF4	N	N
B3GALT6	N	N
FAM132A	N	N
UBE2J2	N	N
SCNN1D	N	N
ACAP3	N	N
PUSL1	N	N
CPSF3L	N	N
GLTPD1	N	N
TAS1R3	N	Y
DVL1	N	Y
MXRA8	N	N
AURKAIP1	N	N
CCNL2	N	N
RP4-758J18.2	N	N
MRPL20	N	N
ANKRD65	N	N
TMEM88B	N	N
VWA1	N	Y
ATAD3C	N	N
ATAD3B	N	N
ATAD3A	N	N
TMEM240	N	N
SSU72	N	N
AL645728.1	N	N
C1orf233	N	N
MIB2	N	Y
MMP23B	N	N
CDK11B	Y	N
SLC35E2B	N	N
CDK11A	N	N
SLC35E2	N	N
NADK	N	N
GNB1	Y	N
CALML6	N	N
TMEM52	N	N
C1orf222	N	N
GABRD	Y	N
PRKCZ	N	Y
C1orf86	N	N
AL590822.1	N	N
SKI	Y	N
MORN1	N	N
RER1	N	Y
PEX10	N	N
PLCH2	N	Y
PANK4	N	N
HES5	N	Y
TNFRSF14	N	Y
FAM213B	N	N
MMEL1	N	Y
TTC34	N	N
ACTRT2	N	N
PRDM16	Y	N
ARHGEF16	N	N
MEGF6	N	N
TPRG1L	N	N
WRAP73	N	N
TP73	Y	N
CCDC27	N	N
RP1-286D6.2	N	N
LRRC47	N	N
CEP104	N	N
DFFB	N	Y
C1orf174	N	N
AJAP1	N	N
NPHP4	N	Y
KCNAB2	N	Y
CHD5	N	N
RPL22	N	Y
RNF207	N	N
ICMT	Y	N
HES3	N	Y
GPR153	N	N
ACOT7	N	N
HES2	N	N
ESPN	N	Y
TNFRSF25	N	Y
PLEKHG5	N	Y
NOL9	N	N
TAS1R1	N	Y
ZBTB48	N	N
KLHL21	N	N
PHF13	N	N
THAP3	N	N
DNAJC11	N	N
CAMTA1	N	N
VAMP3	N	Y
PER3	N	Y
UTS2	N	N
TNFRSF9	N	Y
PARK7	N	Y
ERRFI1	Y	N
SLC45A1	N	N
RERE	Y	N
ENO1	Y	N
CA6	N	Y
SLC2A7	N	N
SLC2A5	N	N
GPR157	N	N
H6PD	N	Y
SPSB1	N	N
SLC25A33	N	N
TMEM201	N	N
PIK3CD	N	Y
C1orf200	N	N
CLSTN1	N	N
CTNNBIP1	Y	N
LZIC	N	N
NMNAT1	N	N
RBP7	N	Y
UBE4B	Y	N
KIF1B	Y	N
PGD	N	N
APITD1	N	N
APITD1-CORT	N	N
CORT	N	Y
DFFA	N	Y
PEX14	Y	N
CASZ1	N	N
C1orf127	N	N
TARDBP	Y	N
MASP2	N	Y
SRM	N	N
EXOSC10	N	N
MTOR	Y	N
ANGPTL7	N	N
UBIAD1	N	N
PTCHD2	N	N
FBXO2	N	Y
FBXO44	N	N
FBXO6	N	N
MAD2L2	N	N
C1orf187	N	Y
AGTRAP	N	N
C1orf167	N	N
MTHFR	N	Y
CLCN6	N	Y
NPPA	N	Y
NPPB	N	Y
KIAA2013	N	N
PLOD1	N	Y
MFN2	Y	N
MIIP	N	N
TNFRSF8	N	Y
TNFRSF1B	N	Y
VPS13D	Y	N
DHRS3	N	N
AADACL4	N	N
AADACL3	N	N
C1orf158	N	N
PRAMEF12	N	N
PRAMEF1	N	N
PRAMEF11	N	N
HNRNPCL1	N	N
PRAMEF2	N	N
PRAMEF4	N	N
PRAMEF10	N	N
PRAMEF7	N	N
PRAMEF6	N	N
PRAMEF22	N	N
WI2-3308P17.2	N	N
WI2-2994D6.2	N	N
PRAMEF3	N	N
PRAMEF5	N	N
PRAMEF8	N	N
PRAMEF9	N	N
PRAMEF13	N	N
PRAMEF18	N	N
PRAMEF16	N	N
PRAMEF21	N	N
PRAMEF15	N	N
PRAMEF14	N	N
PRAMEF19	N	N
PRAMEF17	N	N
PRAMEF20	N	N
LRRC38	N	N
PDPN	Y	N
PRDM2	N	Y
C1orf196	N	N
KAZN	N	N
TMEM51	N	N
C1orf195	N	N
FHAD1	N	N
EFHD2	N	N
CTRC	N	N
CELA2A	N	N
CELA2B	N	N
CASP9	Y	N
DNAJC16	N	N
AGMAT	N	N
DDI2	N	N
RSC1A1	N	Y
PLEKHM2	N	N
SLC25A34	N	N
TMEM82	N	N
FBLIM1	N	N
SPEN	Y	N
ZBTB17	Y	N
C1orf64	N	N
HSPB7	N	N
