Gene_Name	GOA_Kidney_Research_Priority
A0PI27	Yes
A2T0Y1	Yes
A6XMV6	Yes
A-923A4.2	Yes
AADAC	Yes
AANAT	Yes
AARD	Yes
AAT	Yes
ABAT	Yes
ABCA1	Yes
ABCB1	Yes
ABCC3	Yes
ABCC5	Yes
ABCD1	Yes
ABCD2	Yes
ABCD3	Yes
ABCD4	Yes
ABHD2	Yes
ABI1	Yes
ABP1	Yes
ABTB2	Yes
ACAA1	Yes
ACAD11	Yes
ACADL	Yes
ACAT1	Yes
ACBD5	Yes
ACE	Yes
ACE2	Yes
ACLY	Yes
ACOT1	Yes
ACOT13	Yes
ACOT2	Yes
ACOT4	Yes
ACOT8	Yes
ACOX1	Yes
ACOX2	Yes
ACOX3	Yes
ACPP	Yes
ACSF3	Yes
ACSL1	Yes
ACSL3	Yes
ACSL4	Yes
ACSL5	Yes
ACSL6	Yes
ACSM1	Yes
ACSM3	Yes
ACTA1	Yes
ACTB	Yes
ACTG1	Yes
ACTN1	Yes
ACTN2	Yes
ACTN3	Yes
ACTN4	Yes
ACY1	Yes
ADAM12	Yes
ADAM17	Yes
ADAMTS13	Yes
ADAMTS2	Yes
ADAMTS3	Yes
ADGRL2	Yes
ADIPO	Yes
ADIPOQ	Yes
ADNP2	Yes
AGGF1	Yes
AGPS	Yes
AGRN	Yes
AGT	Yes
AGTR1	Yes
AGTR1A	Yes
AGTR2	Yes
AGXT	Yes
AHI1	Yes
AHSA2	Yes
AIF1	Yes
AKAP7	Yes
AKAP9	Yes
AKR1B1	Yes
AKR1C3	Yes
AKR1CL	Yes
AKT1	Yes
AKT1S1	Yes
AKT2	Yes
AKT3	Yes
AKTIP	Yes
ALB	Yes
ALDH1A2	Yes
ALDH1L1	Yes
ALDH2	Yes
ALDH3A2	Yes
ALDOB	Yes
ALG1	Yes
ALMS1	Yes
ALPL	Yes
AMACR	Yes
AMER1	Yes
ANAPC11	Yes
ANGPTL4	Yes
ANK3	Yes
ANKRD1	Yes
ANO1	Yes
ANOS1	Yes
