Gene_Name	GWAS_hits	GWAS_max_P_VALUE	GWAS_min_P_VALUE	GWAS_max_OR	GWAS_min_OR	GWAS_tissue_trait_flag
NLRP12	406.0	1e-08	7e-244	1.16	0.07251879	1
FADS1	215.0	4e-08	0.0	6.2	0.0	1
HIF3A	200.0	4e-08	3e-09	0.2	0.2	1
APOE	154.0	1e-08	0.0	21.8	0.01	1
GCKR	145.0	4e-08	4e-253	8.76	0.0	1
FTO	142.0	4e-08	2e-223	8.04	0.004	1
VTN	116.0	1e-11	0.0	1.16	0.17	1
HLA-DRB1	114.0	4e-08	1e-299	54.292	0.003	1
LPA	105.0	4e-08	0.0	64.74	0.022000000000000002	1
HBS1L	101.0	4e-08	0.0	8.19	0.0	1
CFH	98.0	4e-08	0.0	20.28	0.141	1
MC4R	96.0	4e-08	2e-64	4.66	0.002	1
RSPO3	94.0	4e-08	2e-140	1.15	0.0052	1
CETP	91.0	3e-08	0.0	30.38	0.0071	1
HLA-DQB1	88.0	3e-08	5e-133	7.7065	0.02287324	1
SH2B3	86.0	3e-08	5e-216	8.25	0.0066	1
TERT	85.0	3e-08	8e-74	7.0	0.02457254	1
HLA-DQA1	82.0	4e-08	1e-96	7.07	0.003	1
TMPRSS6	80.0	3e-08	0.0	4.39	0.0019	1
FADS2	78.0	2e-08	3e-152	1.1258574	0.006999999999999999	1
TBX15	77.0	4e-08	2e-25	1.4	0.013000000000000001	1
LPL	77.0	3e-08	5e-217	13.64	0.001594	1
HFE	76.0	3e-08	2e-270	44.27	0.01	1
TCF7L2	75.0	4e-08	1e-219	7.882999999999999	0.0019	1
HLA-B	75.0	3e-08	0.0	53.3806	0.01	1
HLA-C	74.0	4e-08	4e-214	5.3	0.0219	1
TMEM18	71.0	3e-08	5e-75	6.47	0.004	1
ATP2B1	69.0	2e-08	5e-85	1.3936	0.02685	1
IREB2	68.0	4e-08	2e-14	1.32	0.01	1
NEGR1	64.0	4e-08	1e-29	8.103	0.017102946	1
CHRNA5	64.0	3e-08	3e-103	2.75	0.011000000000000001	1
CHRNA3	64.0	2e-08	3e-73	1.39	0.012	1
APOC1	63.0	4e-08	0.0	8.0	0.0156	1
CDKAL1	60.0	4e-08	2e-56	8.6	0.0123	1
LIPC	59.0	2e-08	1e-213	3.62	0.0	1
C7	59.0	1e-11	8e-19	0.65	0.4008	1
LIPG	58.0	4e-08	2e-74	2.616	0.022000000000000002	1
SEC16B	57.0	2e-08	6e-46	3.82	0.003	1
SLC39A8	55.0	2e-08	3e-26	8.327	0.005	1
