Gene_Name	MGI_essential_gene
A1CF	1
A4GALT	1
AARS	1
AARS2	1
AATF	1
ABCA1	1
ABCA12	1
ABCA2	1
ABCA3	1
ABCA5	1
ABCB1	1
ABCB10	1
ABCB11	1
ABCB6	1
ABCB7	1
ABCC1	1
ABCC10	1
ABCC4	1
ABCC9	1
ABCD1	1
ABCE1	1
ABCF1	1
ABCG5	1
ABHD16A	1
ABHD5	1
ABI1	1
ABI3BP	1
ABL1	1
ABL2	1
ABR	1
ACACA	1
ACADL	1
ACADM	1
ACADS	1
ACADVL	1
ACAN	1
ACAT2	1
ACBD3	1
ACD	1
ACE	1
ACE2	1
ACHE	1
ACKR3	1
ACLY	1
ACO1	1
ACSL4	1
ACSS1	1
ACTA1	1
ACTB	1
ACTC1	1
ACTG1	1
ACTL6A	1
ACTL6B	1
ACTN4	1
ACTR2	1
ACTR3	1
ACTR6	1
ACTR8	1
ACVR1	1
ACVR1B	1
ACVR2A	1
ACVR2B	1
ACVRL1	1
ADA	1
ADAD1	1
ADAM10	1
ADAM12	1
ADAM15	1
ADAM17	1
ADAM19	1
ADAM22	1
ADAM23	1
ADAM9	1
ADAMTS1	1
ADAMTS13	1
ADAMTS20	1
ADAMTS3	1
ADAMTS4	1
ADAMTS9	1
ADAMTSL2	1
ADAR	1
ADARB1	1
ADCY3	1
ADCY7	1
ADCY9	1
ADCYAP1	1
ADCYAP1R1	1
ADD1	1
ADGRA1	1
ADGRA2	1
ADGRE5	1
ADGRF5	1
ADGRG6	1
ADGRL2	1
ADGRV1	1
ADH1A	1
ADH1B	1
ADH1C	1
ADH5	1
ADH7	1
ADIPOQ	1
ADK	1
ADM	1
ADNP	1
ADORA1	1
ADORA2B	1
ADRA1A	1
ADRA1B	1
ADRA2A	1
ADRA2B	1
ADRA2C	1
ADRB1	1
ADRM1	1
ADSL	1
AEBP1	1
AEBP2	1
AES	1
AFDN	1
AFF1	1
AFF2	1
AFF4	1
AFG3L2	1
AFMID	1
AGA	1
AGAP1	1
AGBL4	1
AGBL5	1
AGGF1	1
AGL	1
AGO2	1
AGPAT1	1
AGPAT2	1
AGPS	1
AGR2	1
AGRN	1
AGRP	1
AGT	1
AGTR1	1
AGTR2	1
AHCTF1	1
AHCY	1
AHI1	1
AHNAK	1
AHR	1
AHSP	1
AICDA	1
AIFM1	1
AIM2	1
AIMP2	1
AIP	1
AIRE	1
AK7	1
AKAP10	1
AKAP12	1
AKAP13	1
AKAP6	1
AKAP8	1
AKAP9	1
AKIRIN2	1
AKNA	1
AKR1A1	1
AKR1B1	1
AKT1	1
AKT2	1
AKT3	1
ALAS1	1
ALAS2	1
ALDH1A1	1
ALDH1A2	1
ALDH1A3	1
ALDH2	1
ALDH3B1	1
ALDH5A1	1
ALDOB	1
ALG10	1
ALG10B	1
ALG13	1
ALG2	1
ALG5	1
ALK	1
ALKBH1	1
ALKBH4	1
ALOX12B	1
ALOX15	1
ALOXE3	1
ALPG	1
ALPI	1
ALPK3	1
ALPL	1
ALS2	1
ALX1	1
ALX3	1
ALX4	1
AMACR	1
AMBRA1	1
AMD1	1
AMER1	1
AMHR2	1
AMN	1
AMOT	1
AMPD1	1
AMPD2	1
AMPD3	1
AMPH	1
AMT	1
ANAPC13	1
ANAPC15	1
ANAPC2	1
ANAPC4	1
ANGPT1	1
ANGPT2	1
ANGPTL3	1
ANGPTL4	1
ANGPTL6	1
ANK1	1
ANK2	1
ANK3	1
ANKFY1	1
ANKH	1
ANKLE1	1
ANKRD11	1
ANKRD16	1
ANKRD17	1
ANKS1B	1
ANKS6	1
ANO1	1
ANO6	1
ANP32A	1
ANP32B	1
ANP32E	1
ANTXR1	1
ANTXR2	1
ANXA1	1
ANXA7	1
AP1G1	1
AP1M1	1
AP1M2	1
AP2M1	1
AP3B1	1
AP3D1	1
APAF1	1
APBA1	1
APBA2	1
APBA3	1
APBB1	1
APBB2	1
APC	1
APCS	1
APELA	1
APEX1	1
APH1A	1
APLNR	1
APLP1	1
APLP2	1
APOA4	1
APOB	1
APOBEC1	1
APOBEC3B	1
APOD	1
APOE	1
APOH	1
APP	1
APRT	1
AQP1	1
AQP11	1
AQP2	1
AQP3	1
AQP4	1
AQP5	1
AR	1
ARAF	1
ARAP3	1
ARC	1
ARF1	1
ARF4	1
ARF6	1
ARFGEF1	1
ARFGEF2	1
ARFRP1	1
ARG1	1
ARHGAP1	1
ARHGAP21	1
ARHGAP29	1
ARHGAP33	1
ARHGAP35	1
ARHGAP5	1
ARHGAP6	1
ARHGDIA	1
ARHGDIB	1
ARHGEF1	1
ARHGEF11	1
ARHGEF12	1
ARHGEF15	1
ARHGEF18	1
ARHGEF7	1
ARID1A	1
ARID1B	1
ARID2	1
ARID3A	1
ARID3B	1
ARID4A	1
ARID4B	1
ARID5B	1
ARIH2	1
ARL13B	1
ARL3	1
ARL8B	1
ARMC4	1
ARMC5	1
ARMC7	1
ARMH3	1
ARNT	1
ARNT2	1
ARNTL	1
ARPC3	1
ARPC5L	1
ARRB1	1
ARRB2	1
ARRDC3	1
ARV1	1
ARX	1
ASAH1	1
ASCC2	1
ASCL1	1
ASCL2	1
ASF1A	1
ASGR1	1
ASGR2	1
ASH1L	1
ASH2L	1
ASIP	1
ASL	1
ASNA1	1
ASPA	1
ASPH	1
ASS1	1
ASXL1	1
ASXL2	1
ATAD1	1
ATAD3A	1
ATAD3B	1
ATAD3C	1
ATAD5	1
ATCAY	1
ATE1	1
ATF1	1
ATF2	1
ATF4	1
ATF5	1
ATF6	1
ATF6B	1
ATF7	1
ATG12	1
ATG16L1	1
ATG3	1
ATG4B	1
ATG5	1
ATG7	1
ATG9A	1
ATL2	1
ATM	1
ATMIN	1
ATN1	1
ATOH1	1
ATOH8	1
ATOX1	1
ATP11A	1
ATP1A1	1
ATP1A2	1
ATP1A3	1
ATP1B1	1
ATP1B2	1
ATP2A1	1
ATP2A2	1
ATP2B1	1
ATP2C1	1
ATP5F1B	1
ATP5F1E	1
ATP5MC2	1
ATP5MG	1
ATP5PB	1
ATP6AP1	1
ATP6AP2	1
ATP6V0A1	1
ATP6V0A4	1
ATP6V0C	1
ATP6V0D1	1
ATP6V1B2	1
ATP6V1C1	1
ATP6V1D	1
ATP6V1H	1
ATP7A	1
ATP7B	1
ATP8A2	1
ATP8B1	1
ATP8B2	1
ATR	1
ATRIP	1
ATRN	1
ATRX	1
ATXN1	1
ATXN10	1
ATXN1L	1
ATXN2	1
ATXN7	1
ATXN7L3	1
AURKA	1
AURKB	1
AUTS2	1
AVIL	1
AVP	1
AVPR2	1
AXIN1	1
AXIN2	1
AZIN1	1
B2M	1
B3GALNT1	1
B3GAT3	1
B3GNT5	1
B3GNT6	1
B4GALNT1	1
B4GALT1	1
B4GALT5	1
B4GAT1	1
B9D1	1
B9D2	1
BACE1	1
BACE2	1
BACH1	1
BAD	1
BAG1	1
BAG3	1
BAG6	1
BAHCC1	1
BAIAP2	1
BAK1	1
BAP1	1
BARD1	1
BARHL2	1
BARX1	1
BARX2	1
BASP1	1
BATF2	1
BAX	1
BAZ1B	1
BBC3	1
