Gene_Name,platelets_eQTL
ADCY3,1
ADI1,4
AIMP2,2
ANO6,3
ANXA5,2
AP1G1,1
AP2B1,5
APLF,2
ARHGDIB,6
ATF6,3
ATF7IP2,2
ATP2A3,4
ATP6V1F,2
BARD1,4
BTN3A2,5
C11orf21,2
C19orf33,3
C7orf49,3
C9orf89,3
CA13,6
CAPZA2,4
CD164,2
CD226,8
CD36,7
CDK2AP1,2
CDS2,1
CGGBP1,1
CLEC1B,3
CMC2,2
CST3,7
CTNS,1
CXCL5,6
DAZAP2,6
DCP2,1
DNM1L,1
DPY19L1,4
ELOVL7,2
EMR1,3
ENDOD1,8
ENKUR,4
EPB41,2
F11R,4
FAM46C,4
FHL3,1
FUT8,3
FXYD5,5
GAPDH,4
GATAD2A,3
GGTA1P,4
GLUL,6
GNB5,1
HIST1H2BD,5
HMGN1,1
HSDL1,1
HTATSF1P2,1
ITGB3,5
JKAMP,1
KLHL24,1
LGALS8,7
MANBA,3
MAPRE1,2
MARCH2,4
MFN2,3
MPZL3,1
MYCT1,1
NME4,1
NPRL3,1
NRD1,1
NTAN1,5
ORAI1,4
PANX1,2
PCTP,2
PDK1,1
PICALM,2
PIGN,2
PKHD1L1,3
PNP,5
POLE2,2
POLR2E,4
PSAP,2
PTGS1,1
PTPLAD2,4
PYGB,5
RAB8A,4
REEP5,1
RPN1,1
RPN2,2
RSU1,5
RUFY1,8
SCFD1,2
SDC4,1
SDHA,4
SESTD1,2
SIRT5,7
SLC24A3,2
SNRPN,4
SYNM,1
TJP2,2
TLR5,4
TMEM91,1
TNFSF4,3
TNNC2,4
TPGS2,3
TRAK2,2
TRAM1,3
TREML3P,2
TXK,4
UBA52,5
UCP2,3
UQCR11,1
VAMP8,6
WIPI1,1
WRB,7
ZFAND2A,3
ZFYVE21,1
ZNF385D,3
