,Gene_Name,mantis_ml_proba,mantis_ml_perc
0,ATRX,0.863027848,100
1,MED12,0.849275262,99.99463116
2,GNB1,0.840872021,99.98926232
3,RANBP2,0.830670452,99.98389348
4,DDX3X,0.827402002,99.97852464
5,NPM1,0.822367502,99.9731558
6,TOP2B,0.812846651,99.96778696
7,HNRNPU,0.812737487,99.96241813
8,L1CAM,0.812653545,99.95704929
9,UBE3A,0.811714554,99.95168045
10,HADHA,0.811615886,99.94631161
11,GRIN1,0.810644897,99.94094277
12,MYH10,0.809232528,99.93557393
13,TRIM28,0.808202747,99.93020509
14,MAPK8IP3,0.80359447,99.92483625
15,ATN1,0.801246699,99.91946741
16,KIDINS220,0.799517608,99.91409857
17,CAPRIN1,0.799018922,99.90872973
18,HADHB,0.798256789,99.90336089
19,HSPA5,0.798087168,99.89799205
20,PDHA1,0.796625763,99.89262321
21,GIT1,0.796204734,99.88725438
22,XRCC5,0.794425532,99.88188554
23,PRKACA,0.794353854,99.8765167
24,STXBP1,0.794147918,99.87114786
25,PPP2R5D,0.793655173,99.86577902
26,AFG3L2,0.789662693,99.86041018
27,PSAP,0.786989531,99.85504134
28,MAP1B,0.786916771,99.8496725
29,LPIN1,0.786433087,99.84430366
30,SZT2,0.786016535,99.83893482
31,NAP1L1,0.784490717,99.83356598
32,PEX5,0.784156289,99.82819714
33,ARHGAP35,0.783401492,99.8228283
34,ATP1A2,0.783149214,99.81745947
35,LAMB2,0.782245582,99.81209063
36,VDAC1,0.782228698,99.80672179
37,ROBO2,0.780325656,99.80135295
38,FUS,0.780299871,99.79598411
39,SYNGAP1,0.779968645,99.79061527
40,ZNF106,0.779918071,99.78524643
41,CDK5,0.778798624,99.77987759
42,ATP1A1,0.778051355,99.77450875
43,CLCN7,0.777526528,99.76913991
44,MARK2,0.776312743,99.76377107
45,DNM1L,0.77560888,99.75840223
46,SLC1A2,0.77489323,99.75303339
47,RAPGEF1,0.77481776,99.74766455
48,ATP2A2,0.773807088,99.74229572
49,NTRK2,0.773005797,99.73692688
50,LLGL1,0.771752428,99.73155804
51,TMED10,0.771713273,99.7261892
52,MAPK1,0.771341889,99.72082036
53,PRKDC,0.771161933,99.71545152
54,TMED2,0.770878415,99.71008268
55,DHX29,0.770057171,99.70471384
56,TP53BP2,0.769700112,99.699345
57,VCP,0.768911705,99.69397616
58,APP,0.768717732,99.68860732
59,GYS1,0.76815056,99.68323848
60,TSHZ1,0.767855414,99.67786964
61,ERCC3,0.767743736,99.67250081
62,HTT,0.767528691,99.66713197
63,ALS2,0.765957468,99.66176313
64,SEC24B,0.765892065,99.65639429
65,CANX,0.765516108,99.65102545
66,FLNA,0.7647678,99.64565661
67,RPL24,0.764765037,99.64028777
68,ILF3,0.764637781,99.63491893
69,NCKAP1,0.764521257,99.62955009
70,BAG6,0.764472728,99.62418125
71,DVL1,0.76436719,99.61881241
72,SSB,0.764034569,99.61344357
73,IFT122,0.763499744,99.60807473
74,DLG4,0.763309529,99.60270589
75,ADAR,0.762486845,99.59733706
76,PRMT5,0.76243323,99.59196822
77,ACADVL,0.76190223,99.58659938
78,TSC1,0.761341031,99.58123054
79,ATP2B1,0.760725918,99.5758617
80,MYO5A,0.760554029,99.57049286
81,RBFOX2,0.7601712,99.56512402
82,UBR4,0.759397207,99.55975518
83,HEXB,0.756999236,99.55438634
84,NF2,0.756789478,99.5490175
85,GDI1,0.75663017,99.54364866
86,DNAJA3,0.75500027,99.53827982
87,DDB1,0.754862787,99.53291098
88,HUWE1,0.754542966,99.52754215
89,USP9X,0.754534718,99.52217331
90,UNC13B,0.753892391,99.51680447
91,MIB1,0.753454216,99.51143563
92,NAPA,0.753048587,99.50606679
93,EWSR1,0.752474894,99.50069795
94,WASF1,0.75208036,99.49532911
