,Gene_Name,mantis_ml_proba,mantis_ml_perc
0,NPHS1,0.933881876,100
1,LAMB2,0.92539847,99.99463116
2,PEX5,0.923993178,99.98926232
3,INVS,0.921493931,99.98389348
4,PRKCSH,0.918699795,99.97852464
5,BBS4,0.91810009,99.9731558
6,PEX13,0.916321232,99.96778696
7,AHI1,0.915833183,99.96241813
8,SCNN1A,0.914123457,99.95704929
9,BBS10,0.913047886,99.95168045
10,CLCNKA,0.911873134,99.94631161
11,IFT140,0.91110874,99.94094277
12,FRAS1,0.909356467,99.93557393
13,CASP1,0.907290431,99.93020509
14,ACE,0.906781394,99.92483625
15,IFT88,0.905930658,99.91946741
16,PCNT,0.904478586,99.91409857
17,DDC,0.904265475,99.90872973
18,NPHS2,0.904209968,99.90336089
19,CEP290,0.90402505,99.89799205
20,COL4A3,0.903319908,99.89262321
21,FZD4,0.902952323,99.88725438
22,ZMPSTE24,0.902848607,99.88188554
23,CFH,0.901942758,99.8765167
24,ITGB4,0.901204275,99.87114786
25,MAVS,0.900047005,99.86577902
26,COL4A5,0.899781647,99.86041018
27,ITGA3,0.899462837,99.85504134
28,HNF1A,0.899131188,99.8496725
29,ABCA1,0.895908214,99.84430366
30,PLCG2,0.895373229,99.83893482
31,F2RL1,0.894333182,99.83356598
32,GHR,0.893586768,99.82819714
33,HNF1B,0.893461277,99.8228283
34,PLG,0.892160373,99.81745947
35,GLA,0.892001327,99.81209063
36,FAT1,0.891158987,99.80672179
37,AGT,0.89096185,99.80135295
38,TTC8,0.890519906,99.79598411
39,APRT,0.889536892,99.79061527
40,FREM2,0.888629125,99.78524643
41,SALL1,0.888285564,99.77987759
42,COL17A1,0.887537242,99.77450875
43,ITGA1,0.887367736,99.76913991
44,SLC34A1,0.886952923,99.76377107
45,FGFR3,0.886034631,99.75840223
46,KCNJ1,0.885483487,99.75303339
47,FAN1,0.885274105,99.74766455
48,PKD1,0.885218079,99.74229572
49,ILK,0.885143759,99.73692688
50,IFT172,0.885020434,99.73155804
51,LAMA5,0.884965963,99.7261892
52,SPTA1,0.884960981,99.72082036
53,AMER1,0.884572205,99.71545152
54,SMARCAL1,0.883697877,99.71008268
55,GRIP1,0.882939485,99.70471384
56,SOX4,0.882534513,99.699345
57,AGRN,0.880851439,99.69397616
58,SLC12A1,0.880705488,99.68860732
59,PSEN2,0.880507441,99.68323848
60,SLC3A1,0.878614815,99.67786964
61,RPGRIP1L,0.878080479,99.67250081
62,PDGFRA,0.877977746,99.66713197
63,SCNN1B,0.87751222,99.66176313
64,TSC1,0.874943794,99.65639429
65,OCRL,0.874067639,99.65102545
66,PMM2,0.873360374,99.64565661
67,GK,0.873340167,99.64028777
68,NOTCH2,0.873283721,99.63491893
69,ACADL,0.871760845,99.62955009
70,MAPK7,0.869922584,99.62418125
71,MYLK,0.868852979,99.61881241
72,MTUS1,0.868836333,99.61344357
73,PDGFRB,0.868774982,99.60807473
74,PDSS2,0.868744669,99.60270589
75,ROBO2,0.868565549,99.59733706
