,Gene_Name,mantis_ml_proba,mantis_ml_perc
0,MED12,0.893256899,100
1,USP9X,0.87655875,99.99463116
2,HUWE1,0.870637219,99.98926232
3,ATP1A3,0.870526808,99.98389348
4,CASK,0.866659969,99.97852464
5,GDI1,0.863581959,99.9731558
6,PLP1,0.859672959,99.96778696
7,ACADVL,0.858796483,99.96241813
8,LAMB2,0.858140189,99.95704929
9,DYNC1H1,0.852794078,99.95168045
10,SYNGAP1,0.851764094,99.94631161
11,DNM1,0.851095753,99.94094277
12,PEX5,0.849617251,99.93557393
13,PDHA1,0.848880239,99.93020509
14,KCNA2,0.848167679,99.92483625
15,CPT1B,0.847480283,99.91946741
16,NLGN3,0.846674588,99.91409857
17,MARK2,0.846585558,99.90872973
18,MAP2K4,0.846499829,99.90336089
19,DCLK1,0.845897028,99.89799205
20,KCNC1,0.845693987,99.89262321
21,GPHN,0.844470829,99.88725438
22,CUL4B,0.843891525,99.88188554
23,L1CAM,0.843081171,99.8765167
24,STXBP1,0.840905233,99.87114786
25,MAPK1,0.840885584,99.86577902
26,GRIN1,0.840698602,99.86041018
27,KCNQ2,0.840395586,99.85504134
28,CDS2,0.838777166,99.8496725
29,SMARCA4,0.83867061,99.84430366
30,GABPA,0.837715936,99.83893482
31,GRIA3,0.83770891,99.83356598
32,MPI,0.836628402,99.82819714
33,KCNA1,0.835900861,99.8228283
34,FZD3,0.835140427,99.81745947
35,NDUFV1,0.834664077,99.81209063
36,TUSC3,0.834159135,99.80672179
37,AFG3L2,0.834063835,99.80135295
38,STAT1,0.833361325,99.79598411
39,CTNNB1,0.832579378,99.79061527
40,SLC25A13,0.83204334,99.78524643
41,UBR5,0.831672186,99.77987759
42,ARID1B,0.831036792,99.77450875
43,SCN1A,0.829353656,99.76913991
44,GNB1,0.828068719,99.76377107
45,NDUFS1,0.826073304,99.75840223
46,DDX3X,0.825511283,99.75303339
47,GRIA2,0.824806571,99.74766455
48,PEX13,0.824243878,99.74229572
49,RASA3,0.823989087,99.73692688
50,BBS4,0.823769943,99.73155804
51,DHX29,0.822828964,99.7261892
52,KAT6A,0.822396933,99.72082036
53,CTSA,0.821462442,99.71545152
54,PAX6,0.820636188,99.71008268
55,RARS2,0.82045017,99.70471384
56,FLNA,0.820115131,99.699345
57,POMGNT1,0.819375686,99.69397616
58,VCP,0.819278686,99.68860732
59,FYN,0.818603139,99.68323848
60,HEXA,0.818432496,99.67786964
61,PIKFYVE,0.817630567,99.67250081
62,PAFAH1B1,0.817106551,99.66713197
63,OXCT1,0.817048957,99.66176313
64,ATP1A2,0.81703054,99.65639429
65,RIC8A,0.816280059,99.65102545
66,IFT122,0.815874366,99.64565661
67,ASPH,0.815780499,99.64028777
68,DLG3,0.815735566,99.63491893
69,BRAF,0.81559168,99.62955009
70,NOTCH2,0.814384351,99.62418125
71,NLGN2,0.814263707,99.61881241
72,ARHGEF9,0.813242592,99.61344357
73,UNC13A,0.812846003,99.60807473
74,TPP1,0.812738755,99.60270589
75,NDOR1,0.812542548,99.59733706
76,ASS1,0.812394779,99.59196822
77,DLG4,0.812205887,99.58659938
78,ATP2B1,0.811166403,99.58123054
79,AIFM1,0.810968198,99.5758617
80,CAT,0.810809155,99.57049286
81,ABCA1,0.810744113,99.56512402
82,GK,0.810570315,99.55975518
83,TUBB,0.81037311,99.55438634
84,PPM1K,0.809769623,99.5490175
85,SPEN,0.809406933,99.54364866
86,GABRA1,0.809326221,99.53827982
87,RRAGA,0.809051359,99.53291098
88,USP7,0.808415387,99.52754215
89,CASP1,0.808371163,99.52217331
90,ERBB3,0.807932956,99.51680447
91,UBE3A,0.80709233,99.51143563
92,PANK2,0.807087311,99.50606679
93,CNTNAP1,0.806974487,99.50069795
94,RPS6KA3,0.806718688,99.49532911
95,PCYT1A,0.80666989,99.48996027
96,ANKRD17,0.80616421,99.48459143
97,TUBB3,0.806018747,99.47922259
98,ACTB,0.8056274,99.47385375
99,IFT57,0.805506032,99.46848491
100,ATRX,0.804738411,99.46311607
101,KDM5C,0.804631704,99.45774724
102,TSC1,0.804452685,99.4523784
103,SATB2,0.804209522,99.44700956
104,NCDN,0.80418519,99.44164072
105,LIG4,0.804184785,99.43627188
106,ANXA7,0.804123061,99.43090304
107,HDAC8,0.803826303,99.4255342
108,POMT1,0.803781304,99.42016536
109,GLS,0.803506806,99.41479652
110,PDPK1,0.803494701,99.40942768
111,DCX,0.803176704,99.40405884
112,CACNG4,0.802616201,99.39869
113,GBA,0.802609243,99.39332116
114,KIF1A,0.802535865,99.38795232
115,SOX4,0.802401734,99.38258349
116,SUMF1,0.802392922,99.37721465
117,CHRNA4,0.801213047,99.37184581
118,CACNG3,0.800936475,99.36647697
119,UNC13B,0.800894096,99.36110813
