Gene_Name,mantis_ml_rank,mantis_ml_proba,manti_ml_perc,p-val,collapsing_rank,Known_gene
TTN,1,0.9894919300627468,100.0,0.012098882,47,0.0
SYNE1,13,0.9220637217172613,99.93557392891657,0.006502248,26,0.0
SZT2,29,0.8931837206658564,99.84967250080533,0.003038097,15,0.0
RYR2,59,0.8643657694093321,99.68860732309675,0.024001223999999998,94,0.0
ITGA8,175,0.8117639953394447,99.06582196929024,0.024280652000000003,108,0.0
EP400,178,0.8109403313745576,99.04971545151938,0.002254325,10,0.0
MED12,188,0.8064361034836557,98.99602705894985,0.036198179,156,0.0
ACADVL,229,0.7930400254551081,98.7759046494148,0.045422805999999996,203,0.0
TSC2,278,0.7813161030131863,98.51283152582411,0.00023365400000000002,4,0.0
LRP2,282,0.7796119770523211,98.4913561687963,0.048875419,210,0.0
DNMT3A,350,0.7613626628091782,98.12627509932352,0.006594278,27,0.0
MDN1,363,0.757649015401363,98.05648018898314,0.012202393999999998,48,0.0
NF2,387,0.7541140065095542,97.92762804681627,0.000361143,5,0.0
SPG11,393,0.7532025446097633,97.89541501127457,0.014917713999999999,60,1.0
ABCA1,545,0.7289002308758935,97.07935144421776,0.015666077,64,0.0
ALDH5A1,561,0.727559843316383,96.99345001610652,0.023509657000000003,92,0.0
DEAF1,636,0.7172146600360205,96.59078707183507,0.023091204,88,1.0
NIN,678,0.7114857827307948,96.36529582304306,0.005727528000000001,20,0.0
ADCYAP1R1,727,0.7042349374222099,96.10222269945238,0.002604322,12,0.0
POLD1,818,0.6918918118934837,95.61365832706969,0.036749103,160,0.0
