Gene_Name,mantis_ml_rank,mantis_ml_proba,mantis_ml_perc,p-val,collapsing_rank,Known_gene
SCNN1A,8,0.9994695622849851,99.96241812520134,0.0195,213,1.0
CFH,15,0.9990309122833306,99.92483625040266,0.0085,81,1.0
COL4A5,16,0.998997728368307,99.91946741114572,0.0003461,9,1.0
CLCNKA,17,0.9989935833870709,99.91409857188876,0.0362,338,1.0
COL4A3,21,0.9989064943245726,99.89262321486095,3.046e-05,3,1.0
LAMA5,54,0.9975262622182323,99.71545151938152,0.0333,329,0.0
PKD1,69,0.9967262196388408,99.63491893052722,1.664e-22,1,1.0
NOS3,96,0.9944563494323704,99.48996027058949,0.005,66,0.0
AMER1,99,0.9944303386845996,99.47385375281864,0.0477,467,0.0
PKD2,101,0.994169390242169,99.46311607430474,5.29e-07,2,1.0
FLNA,102,0.9940761976182166,99.45774723504778,0.0286,288,1.0
COL4A4,164,0.9899971377580342,99.12487920111673,7.515e-05,5,1.0
SMAD3,167,0.9898067806862102,99.10877268334586,0.0495,493,0.0
MEF2C,179,0.989363888396419,99.04434661226243,0.0152,183,0.0
NEK1,192,0.9885065894924225,98.97455170192204,0.0294,289,1.0
COL4A1,219,0.986677677544775,98.82959304198432,0.0135,120,1.0
SLC7A9,241,0.9845606301275438,98.71147857833137,0.0071,76,1.0
HSD17B4,246,0.9842528164196733,98.6846343820466,0.0195,215,1.0
IRS1,277,0.9814754545963661,98.51820036508107,0.0294,291,0.0
PAX2,351,0.974632917509495,98.12090626006658,0.004,54,1.0
ITPR3,366,0.9724172062509358,98.0403736712123,0.011000000000000001,97,0.0
UMOD,375,0.9713734343028932,97.99205411789971,0.0095,89,1.0
LRRFIP1,386,0.969845543381415,97.93299688607323,0.0152,185,0.0
CAT,410,0.9675862603478166,97.80414474390636,0.0329,305,0.0
AR,514,0.9563879915729301,97.24578546118329,0.0011,17,1.0
MTTP,526,0.9545659538709966,97.18135939009986,0.0262,265,0.0
INPP5B,547,0.9511935788817348,97.06861376570386,0.0152,186,0.0
ROBO3,578,0.9459274686623124,96.90217974873832,0.0415,392,0.0
NOS2,634,0.9396004437305961,96.60152475034897,0.002,24,0.0
GNPTAB,702,0.931179897713206,96.23644368087619,0.0461,405,0.0
TMEM67,711,0.9297149376902158,96.18812412756363,0.0195,216,1.0
ARHGAP1,715,0.92947966315842,96.16664877053582,0.0495,508,0.0
CYP4F3,743,0.9261442913578748,96.01632127134113,0.006999999999999999,75,0.0
CCP110,757,0.9238095652214383,95.9411575217438,0.0188,204,0.0
SZT2,779,0.9210604886295582,95.82304305809085,0.0135,116,0.0
HSPA5,780,0.9208926384369189,95.81767421883389,0.0472,428,0.0
CCDC39,795,0.9186618621694966,95.73714162997959,0.0175,201,0.0
SEC63,825,0.9126385366864181,95.57607645227102,0.0472,464,1.0
SOS1,836,0.9107623615950589,95.51701922044454,0.0231,233,0.0
C5,854,0.9075828469006277,95.42038011381939,0.0384,385,0.0
TRAF3IP1,860,0.9070618063839098,95.38816707827768,0.0472,431,1.0
HSPA4L,875,0.9047899412728393,95.30763448942339,0.0124,103,0.0
ITSN2,878,0.9041825042240046,95.29152797165253,0.005,65,0.0
SCLT1,906,0.8999673243478483,95.14120047245785,0.0329,316,0.0
GCGR,913,0.8982100334443794,95.10361859765919,0.0463,418,0.0
DEPDC5,916,0.8976538381376378,95.08751207988833,0.0302,293,0.0
