Gene_Name,mantis_ml_rank,mantis_ml_proba,mantis_ml_perc,p-val,collapsing_rank,Known_gene
SCNN1A,5,0.8712941645417704,99.97852464297219,0.0195,213,1.0
COL4A5,11,0.8600697438053272,99.94631160743047,0.0003461,9,1.0
COL4A3,19,0.8523710086883577,99.90336089337485,3.046e-05,3,1.0
CFH,21,0.8508345964795925,99.89262321486095,0.0085,81,1.0
CLCNKA,33,0.832875438475628,99.82819714377752,0.0362,338,1.0
PKD2,60,0.8114224860090917,99.6832384838398,5.29e-07,2,1.0
LAMA5,78,0.7986708333333332,99.58659937721464,0.0333,329,0.0
PKD1,97,0.7913524681470114,99.48459143133255,1.664e-22,1,1.0
FLNA,112,0.7832178891091716,99.40405884247826,0.0286,288,1.0
NOS3,113,0.782833134920635,99.3986900032213,0.005,66,0.0
COL4A4,160,0.7654402658820242,99.14635455814454,7.515e-05,5,1.0
NEK1,163,0.7645391560081019,99.13024804037367,0.0294,289,1.0
COL4A1,168,0.7617686169023975,99.10340384408892,0.0135,120,1.0
AMER1,178,0.7593474206349207,99.04971545151938,0.0477,467,0.0
SLC7A9,193,0.7552547260054011,98.9691828626651,0.0071,76,1.0
PAX2,217,0.7475363456150049,98.84033072049823,0.004,54,1.0
SMAD3,218,0.7473732448107449,98.83496188124128,0.0495,493,0.0
MEF2C,276,0.734781313131313,98.52356920433803,0.0152,183,0.0
HSD17B4,295,0.7321201633037063,98.42156125845592,0.0195,215,1.0
CAT,303,0.7299442891125156,98.3786105444003,0.0329,305,0.0
CCP110,319,0.7270344651506736,98.29270911628906,0.0188,204,0.0
AR,397,0.715838613657188,97.87393965424675,0.0011,17,1.0
MTTP,470,0.7029611348022677,97.48201438848922,0.0262,265,0.0
HSPA4L,490,0.7001540416015184,97.37463760335015,0.0124,103,0.0
TMEM67,496,0.698807280751548,97.34242456780844,0.0195,216,1.0
LRRFIP1,519,0.6953986941789617,97.21894126489853,0.0152,185,0.0
INPP5B,527,0.6939710317460317,97.17599055084291,0.0152,186,0.0
SEC63,544,0.69176960779499,97.08472028347471,0.0472,464,1.0
FBLN1,579,0.6857631743256744,96.89681090948137,0.0362,335,0.0
HSPA5,601,0.681753826325785,96.77869644582842,0.0472,428,0.0
SOS1,605,0.681242445054945,96.7572210888006,0.0231,233,0.0
GNPTAB,616,0.6800664377289378,96.69816385697412,0.0461,405,0.0
C5,619,0.6795759767225006,96.68205733920327,0.0384,385,0.0
IRS1,620,0.6795746354118697,96.67668849994631,0.0294,291,0.0
NOS2,642,0.676479761904762,96.55857403629335,0.002,24,0.0
ITPR3,662,0.6750665494104618,96.4511972511543,0.011000000000000001,97,0.0
UMOD,688,0.6713384096057129,96.31160743047353,0.0095,89,1.0
ROBO3,692,0.6709369140375697,96.29013207344572,0.0415,392,0.0
PANK1,767,0.6615202838827839,95.88746912917428,0.004,52,0.0
ITSN2,768,0.6613871441717766,95.88210028991732,0.005,65,0.0
NFE2L2,783,0.6600916462801858,95.80156770106302,0.0461,402,0.0
ARHGAP1,792,0.659558024491735,95.75324814775045,0.0495,508,0.0
DSG2,806,0.6580217465297264,95.67808439815312,0.011000000000000001,96,0.0
ERBB4,838,0.6544409935824411,95.50628154193063,0.0282,280,0.0
TRAF3IP1,877,0.6497507745413874,95.29689681090949,0.0472,431,1.0
CEP192,913,0.6465366898061371,95.10361859765919,0.0069,73,0.0
