Gene_Name,mantis_ml_rank,mantis_ml_proba,mantis_ml_perc,p-val,collapsing_rank,Known_gene
CLCNKA,8,0.9837543764920811,99.96241812520134,0.0362,338,1.0
CFH,10,0.9819420413575091,99.95168044668743,0.0085,81,1.0
COL4A1,13,0.9793157905617867,99.93557392891657,0.0135,120,1.0
LAMA5,19,0.9747327180439145,99.90336089337485,0.0333,329,0.0
PKD1,22,0.9713358359518034,99.887254375604,1.664e-22,1,1.0
PAX2,58,0.9477523497480859,99.6939761623537,0.004,54,1.0
LPA,59,0.9476384888137279,99.68860732309675,0.0122,98,0.0
SCNN1A,62,0.945438998952265,99.6725008053259,0.0195,213,1.0
CDH6,64,0.9447367983942604,99.66176312681199,0.0495,558,0.0
NOS3,80,0.9417666625174965,99.57586169870073,0.005,66,0.0
COL4A3,113,0.9293220634227153,99.3986900032213,3.046e-05,3,1.0
AMER1,128,0.9258411655247223,99.31815741436701,0.0477,467,0.0
MEF2C,158,0.9173586452094188,99.15709223665844,0.0152,183,0.0
PKD2,187,0.9079197357349895,99.00139589820681,5.29e-07,2,1.0
NOS2,197,0.9049678427138079,98.94770750563728,0.002,24,0.0
COL4A5,208,0.9026478926411823,98.88865027381081,0.0003461,9,1.0
SZT2,223,0.8977681365822543,98.80811768495651,0.0135,116,0.0
UMOD,271,0.8808765285986297,98.55041340062279,0.0095,89,1.0
NEK1,288,0.8762151123619514,98.45914313325459,0.0294,289,1.0
M6PR,291,0.8755984079093105,98.44303661548373,0.0152,173,0.0
COL4A4,328,0.8651519236791249,98.24438956297648,7.515e-05,5,1.0
SMAD3,343,0.8615256914071727,98.1638569741222,0.0495,493,0.0
NLRP12,367,0.85510231948641,98.03500483195533,0.0195,220,0.0
FLNA,393,0.8495052090486495,97.89541501127457,0.0286,288,1.0
GNPTAB,429,0.8422566083238323,97.70213679802427,0.0461,405,0.0
SERPIND1,467,0.8298131255922989,97.49812090626007,0.0095,85,0.0
ITPR3,481,0.825196930366174,97.42295715666273,0.011000000000000001,97,0.0
TMEM67,499,0.8210041518880862,97.32631805003759,0.0195,216,1.0
ARHGAP1,513,0.8161373521043485,97.25115430044025,0.0495,508,0.0
FBLN1,521,0.8146017021921204,97.20820358638463,0.0362,335,0.0
HSD17B4,563,0.8057280443685509,96.98271233759262,0.0195,215,1.0
HSPA5,578,0.8015229629472232,96.90217974873832,0.0472,428,0.0
EFEMP1,580,0.8011105340944773,96.89144207022441,0.0495,498,0.0
GCGR,657,0.7831578915328781,96.47804144743907,0.0463,418,0.0
CDH2,659,0.7830441722179785,96.46730376892516,0.002,25,0.0
ALPL,670,0.7788361630979027,96.40824653709868,0.0039,50,1.0
CETP,674,0.7772926309192183,96.38677118007088,0.0124,99,0.0
HEATR6,678,0.7759690948413316,96.36529582304306,0.026000000000000002,248,0.0
C5orf42,686,0.7736657567604691,96.32234510898743,0.0055,71,0.0
ERBB4,698,0.7720716572030569,96.257919037904,0.0282,280,0.0
SEC63,715,0.7680527299996472,96.16664877053582,0.0472,464,1.0
SLC7A9,742,0.7611154603519917,96.02169011059809,0.0071,76,1.0
CCP110,752,0.7595188428330364,95.96800171802856,0.0188,204,0.0
CCDC39,766,0.7566945439325302,95.89283796843122,0.0175,201,0.0
GNE,770,0.7559047528888165,95.87136261140341,0.0472,429,0.0
INPP5B,794,0.7500002256578118,95.74251046923655,0.0152,186,0.0
PLCB3,817,0.7460970588900528,95.61902716632665,0.0362,341,0.0
CTNNA1,823,0.7448938086247339,95.58681413078493,0.0231,236,0.0
ABCG2,858,0.7371395609202587,95.39890475679158,0.0472,465,0.0
SCLT1,873,0.7348496198858341,95.3183721679373,0.0329,316,0.0
DNM1L,877,0.7337775932351229,95.29689681090949,0.0151,145,0.0
NFE2L2,892,0.7303815784543815,95.21636422205519,0.0461,402,0.0
SLC12A7,930,0.7246544015676074,95.01234833029099,0.045,397,0.0
