Gene_Name,mantis_ml_rank,mantis_ml_proba,manti_ml_perc,p-val,collapsing_rank,Known_gene
LAMA5,4,0.933614752292633,99.97852464297219,0.0333,329,0.0
MEF2C,12,0.9076363980770111,99.90872973263181,0.0152,183,0.0
MLLT3,69,0.8291108691692353,99.40942768173521,0.0461,407,0.0
NLRP12,152,0.7496561938524247,98.79201116718565,0.0195,220,0.0
NOS3,170,0.7400431025028229,98.66852786427575,0.005,66,0.0
CDH6,192,0.7334027546644211,98.52893804359498,0.0495,558,0.0
C5,228,0.7224831974506378,98.28734027703211,0.0384,385,0.0
SZT2,240,0.716955510377884,98.21217652743476,0.0135,116,0.0
SMAD3,300,0.7001268744468689,97.80951358316332,0.0495,493,0.0
AMER1,302,0.6988757854700088,97.78803822613551,0.0477,467,0.0
M6PR,304,0.6984636670351029,97.7665628691077,0.0152,173,0.0
PKN1,308,0.6969120967388153,97.73434983356599,0.0163,192,0.0
LPA,356,0.6864870804548263,97.41221947814881,0.0122,98,0.0
NOS2,363,0.6856863903999328,97.36926876409319,0.002,24,0.0
FBLN1,394,0.6797711014747619,97.18135939009986,0.0362,335,0.0
CAT,397,0.6779755026102066,97.1545151938151,0.0329,305,0.0
ARHGAP1,415,0.6737275320291519,97.04176956941909,0.0495,508,0.0
GNPTAB,461,0.6631183707714081,96.76258992805755,0.0461,405,0.0
MTTP,465,0.6626258254051208,96.74111457102974,0.0262,265,0.0
INPP5B,520,0.6501430451869965,96.37603350155698,0.0152,186,0.0
HSPA4L,526,0.648778795003891,96.33845162675829,0.0124,103,0.0
HSPA5,572,0.6421066641807556,96.07000966391067,0.0472,428,0.0
PAM,576,0.6414195638895035,96.04853430688284,0.0135,119,0.0
CCP110,593,0.6397078490257263,95.9304198432299,0.0188,204,0.0
ERBB4,612,0.6363046717643738,95.79619886180608,0.0282,280,0.0
CDH2,658,0.6291646784543992,95.50628154193063,0.002,25,0.0
ITPR3,667,0.6280851221084595,95.4525931493611,0.011000000000000001,97,0.0
SERPIND1,669,0.6280006831884384,95.4418554708472,0.0095,85,0.0
SCLT1,676,0.6270121908187867,95.39353591753463,0.0329,316,0.0
ITSN2,680,0.6254859346151352,95.34521636422205,0.005,65,0.0
TBC1D32,752,0.614178215265274,94.89423386663803,0.0173,199,0.0
ASH1L,770,0.6117484003305436,94.78685708149898,0.0048,64,0.0
RASA3,774,0.6114560836553573,94.76538172447117,0.0495,534,0.0
EFEMP1,782,0.6109138596057891,94.72243101041555,0.0495,498,0.0
PDE2A,812,0.6067435485124588,94.53989047567916,0.0495,533,0.0
COLEC11,822,0.6057265555858612,94.48083324385269,0.0033,36,0.0
SV2A,857,0.6022009938955307,94.27144851283153,0.0472,426,0.0
RTCA,875,0.5996275293827057,94.15870288843551,0.0095,83,0.0
OLR1,883,0.5987989559769631,94.11575217437989,0.0364,345,0.0
PLCB3,887,0.597566311955452,94.08890797809514,0.0362,341,0.0
