Gene_Name,mantis_ml_rank,mantis_ml_proba,mantis_ml_perc,p-val,collapsing_rank,Known_gene
CLCNKA,3,0.998682277891642,99.9892623214861,0.0362,338,1.0
LAMA5,13,0.9971677601337433,99.93557392891657,0.0333,329,0.0
PAX2,21,0.996642733778795,99.89262321486095,0.004,54,1.0
COL4A1,29,0.9944290327547786,99.84967250080533,0.0135,120,1.0
PKD1,30,0.9943492860733708,99.84430366154837,1.664e-22,1,1.0
CFH,32,0.9939161485156687,99.83356598303446,0.0085,81,1.0
LPA,33,0.9936033546924591,99.82819714377752,0.0122,98,0.0
SCNN1A,63,0.9882000684738159,99.66713196606894,0.0195,213,1.0
NOS3,66,0.9870781928300858,99.65102544829809,0.005,66,0.0
COL4A3,70,0.9863796491514553,99.62955009127027,3.046e-05,3,1.0
UMOD,102,0.9805265999779913,99.45774723504778,0.0095,89,1.0
PKD2,106,0.9792359350363025,99.43627187801998,5.29e-07,2,1.0
SZT2,134,0.9741476655006409,99.28594437882529,0.0135,116,0.0
SMAD3,143,0.9720312237739563,99.23762482551273,0.0495,493,0.0
CDH6,173,0.9651996225118638,99.07655964780415,0.0495,558,0.0
COL4A4,185,0.9627364541244026,99.01213357672071,7.515e-05,5,1.0
NOS2,226,0.9539032548666,98.79201116718565,0.002,24,0.0
MEF2C,244,0.9475207149982452,98.6953720605605,0.0152,183,0.0
M6PR,246,0.9471662133932114,98.6846343820466,0.0152,173,0.0
AMER1,250,0.9454748600721359,98.66315902501879,0.0477,467,0.0
COL4A5,290,0.9356331572795572,98.44840545474068,0.0003461,9,1.0
NEK1,307,0.9309238619853415,98.35713518737249,0.0294,289,1.0
ALPL,366,0.9098185367715032,98.0403736712123,0.0039,50,1.0
FLNA,387,0.9035028134904257,97.92762804681627,0.0286,288,1.0
ARHGAP1,409,0.8954316228628159,97.80951358316332,0.0495,508,0.0
GNPTAB,486,0.8737011283636094,97.39611296037796,0.0461,405,0.0
HSPA5,497,0.8697872519493103,97.33705572855149,0.0472,428,0.0
ABCG2,499,0.8694123923778534,97.32631805003759,0.0472,465,0.0
WNT5B,536,0.8556959211826325,97.12767099753033,0.0495,513,0.0
ITPR3,547,0.8537335366010665,97.06861376570386,0.011000000000000001,97,0.0
C5orf42,558,0.8492213889956475,97.00955653387737,0.0055,71,0.0
ERBB4,572,0.8442747175693512,96.93439278428005,0.0282,280,0.0
CTNNA1,596,0.8389175295829773,96.80554064211317,0.0231,236,0.0
GNE,599,0.8378994196653367,96.78943412434232,0.0472,429,0.0
DNM1L,614,0.8344734698534012,96.70890153548802,0.0151,145,0.0
TMEM67,639,0.8281343130033407,96.5746805540642,0.0195,216,1.0
RYR3,651,0.8257550656795501,96.51025448298078,0.0409,390,0.0
SERPIND1,657,0.8235730960965156,96.47804144743907,0.0095,85,0.0
CDH2,675,0.8191154688596726,96.38140234081392,0.002,25,0.0
FBLN1,716,0.8093686670064926,96.16127993127886,0.0362,335,0.0
SEC63,730,0.8059569456638433,96.08611618168152,0.0472,464,1.0
MYO18B,760,0.7973585367202759,95.92505100397294,0.0219,226,0.0
PLCB3,783,0.7892769530415535,95.80156770106302,0.0362,341,0.0
HSD17B4,811,0.7821693395652304,95.65124020186836,0.0195,215,1.0
HEATR6,812,0.7820887964218854,95.6458713626114,0.026000000000000002,248,0.0
CYP4F3,833,0.778550511598587,95.5331257382154,0.006999999999999999,75,0.0
CAT,861,0.7733373999595642,95.38279823902073,0.0329,305,0.0
EFEMP1,862,0.773039436340332,95.37742939976377,0.0495,498,0.0
SLC12A7,865,0.7725778043270111,95.36132288199292,0.045,397,0.0
PDE2A,918,0.7594215586781502,95.07677440137442,0.0495,533,0.0
