CACNA1B,-,0.79,1.05,83.50,-,-,Yes,-,-,Yes,8,0.0125,3,7.74E-04,1.73E-05,16.33 [3.91 - 95.87],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],14,0.0219,35,0.009,0.0069,1,0.0016,8,0.0021,1
KEAP1,6.43,8.82,6.69,95.46,-,-,-,-,-,-,5,0.0078,0,0,5.63E-05,Inf [5.58 - Inf],2,0.0031,1,0.0002579,0.05450,12.14 [0.63 - 713.46],7,0.0109,12,0.0031,0.0119,1,0.0016,5,0.0013,0.6004
COPB1,6.72,24.85,21.54,100.00,-,-,-,-,-,-,7,0.0109,4,0.001,2.18E-04,10.7 [2.71 - 50.02],2,0.0031,0,0,0.02000,Inf [1.14 - Inf],9,0.0141,28,0.0072,0.093,1,0.0016,5,0.0013,0.6004
PHTF1,26.93,32.49,53.33,100.00,-,-,-,-,-,-,5,0.0078,1,2.58E-04,2.98E-04,30.48 [3.4 - 1431.74],4,0.0062,7,0.0018,0.05790,3.48 [0.74 - 13.72],9,0.0141,24,0.0062,0.0418,0,0,7,0.0018,0.6031
KCNQ2,15.86,5.91,1.34,64.70,Yes,Yes,Yes,-,Yes,Yes,4,0.0062,0,0,4.00E-04,Inf [4.01 - Inf],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],6,0.0094,4,0.001,9.99E-04,0,0,7,0.0018,0.6031
SLC9A2,28.01,4.04,9.10,94.57,-,-,-,-,-,-,4,0.0062,0,0,4.00E-04,Inf [4.01 - Inf],1,0.0016,3,0.0007738,0.45740,2.02 [0.04 - 25.22],5,0.0078,16,0.0041,0.2064,1,0.0016,4,0.001,0.5343
ATP1A3,3.37,2.16,0.26,94.93,-,-,Yes,Yes,Yes,-,5,0.0078,2,5.16E-04,9.22E-04,15.24 [2.49 - 160.24],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],5,0.0078,5,0.0013,0.0076,2,0.0031,4,0.001,0.2041
GABRG2,25.15,10.52,6.76,92.21,Yes,Yes,-,-,Yes,Yes,5,0.0078,2,5.16E-04,9.22E-04,15.24 [2.49 - 160.24],0,0,0,0,1,-,6,0.0094,3,0.0007738,4.54E-04,1,0.0016,3,0.0007738,0.4574
ZNF100,94.40,69.18,71.54,100.00,-,-,-,-,-,-,6,0.0094,4,0.001,9.99E-04,9.16 [2.16 - 44.3],5,0.0078,4,0.001,0.00430,7.62 [1.63 - 38.49],8,0.0125,22,0.0057,0.0622,2,0.0031,3,0.0007738,0.1496
CUX1,2.01,2.32,3.69,89.45,-,-,Yes,-,-,-,9,0.0141,12,0.0031,0.0013,4.59 [1.7 - 11.93],2,0.0031,0,0,0.02000,Inf [1.14 - Inf],15,0.0234,36,0.0093,0.004,0,0,11,0.0028,0.3821
SCN1A,4.03,2.38,2.50,100.00,Yes,Yes,-,-,Yes,Yes,10,0.0156,15,0.0039,0.0013,4.09 [1.63 - 9.77],0,0,1,0.0002579,1,0 [0 - 235.39],16,0.025,40,0.0103,0.0055,0,0,7,0.0018,0.6031
ARNT2,11.36,5.49,38.35,98.92,-,-,Yes,-,-,-,4,0.0062,1,2.58E-04,0.0018,24.34 [2.4 - 1192.18],1,0.0016,1,0.0002579,0.26330,6.06 [0.08 - 474.34],6,0.0094,11,0.0028,0.0244,2,0.0031,4,0.001,0.2041
RIOK2,91.61,86.16,66.68,96.82,-,-,-,-,-,-,4,0.0062,1,2.58E-04,0.0018,24.34 [2.4 - 1192.18],2,0.0031,2,0.0005159,0.09880,6.07 [0.44 - 83.66],6,0.0094,16,0.0041,0.1141,0,0,2,0.0005159,1
MBOAT1,53.98,61.09,69.97,93.31,-,-,-,-,-,-,4,0.0062,1,2.58E-04,0.0018,24.34 [2.4 - 1192.18],0,0,2,0.0005159,1,0 [0 - 32.25],4,0.0062,9,0.0023,0.0999,0,0,1,0.0002579,1
HSD17B4,70.69,41.46,88.06,93.87,-,-,-,-,-,-,4,0.0062,1,2.58E-04,0.0018,24.34 [2.4 - 1192.18],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],6,0.0094,14,0.0036,0.0529,1,0.0016,2,0.0005159,0.3677
COL6A6,15.42,98.49,94.70,99.86,-,-,-,-,-,-,9,0.0141,13,0.0034,0.0019,4.24 [1.59 - 10.77],8,0.0125,15,0.0039,0.01070,3.26 [1.19 - 8.23],22,0.0344,84,0.0217,0.0651,0,0,3,0.0007738,1
MCM5,24.63,76.60,30.03,99.16,-,-,-,-,-,-,3,0.0047,0,0,0.0028,Inf [2.51 - Inf],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],5,0.0078,34,0.0088,1,0,0,7,0.0018,0.6031
EBI3,22.36,59.43,73.55,86.34,-,-,-,-,-,-,3,0.0047,0,0,0.0028,Inf [2.51 - Inf],0,0,0,0,1,-,4,0.0062,2,0.0005159,0.0047,1,0.0016,3,0.0007738,0.4574
MTMR3,10.16,4.14,28.13,100.00,-,-,-,-,-,-,3,0.0047,0,0,0.0028,Inf [2.51 - Inf],0,0,0,0,1,-,5,0.0078,12,0.0031,0.0808,0,0,3,0.0007738,1
OR8K1,96.69,93.93,93.49,100.00,-,-,-,-,-,-,3,0.0047,0,0,0.0028,Inf [2.51 - Inf],0,0,0,0,1,-,3,0.0047,3,0.0007738,0.0406,0,0,0,0,1
PDIA3,21.41,39.43,47.60,99.04,-,-,-,-,-,-,3,0.0047,0,0,0.0028,Inf [2.51 - Inf],0,0,0,0,1,-,3,0.0047,5,0.0013,0.0915,0,0,1,0.0002579,1
PMPCA,5.97,19.70,57.54,95.40,-,-,-,-,-,-,3,0.0047,0,0,0.0028,Inf [2.51 - Inf],0,0,0,0,1,-,4,0.0062,9,0.0023,0.0999,0,0,1,0.0002579,1
GGPS1,31.46,48.79,45.67,100.00,-,-,-,-,-,-,3,0.0047,0,0,0.0028,Inf [2.51 - Inf],1,0.0016,1,0.0002579,0.26330,6.06 [0.08 - 474.34],4,0.0062,1,0.0002579,0.0018,0,0,2,0.0005159,1
RTFDC1,28.93,55.96,61.87,91.06,-,-,-,-,-,-,3,0.0047,0,0,0.0028,Inf [2.51 - Inf],1,0.0016,0,0,0.14170,Inf [0.16 - Inf],3,0.0047,3,0.0007738,0.0406,0,0,0,0,1
