Gene_Name,mantis_ml_rank,mantis_ml_proba,manti_ml_perc,p-val,collapsing_rank,Known_gene
CACNA1B,459,0.8014398062229157,97.54107162031569,1.73e-05,1,0.0
KCNQ2,271,0.8288606741022335,98.55041340062279,0.0004,5,1.0
ATP1A3,520,0.7955073800626791,97.21357242564159,0.0009220000000000001,7,1.0
SCN1A,2,0.9638034785344239,99.99463116074305,0.0013,11,1.0
ARNT2,492,0.7986088835330271,97.36389992483625,0.0018,12,1.0
HSD17B4,672,0.7818640597781007,96.39750885858479,0.0018,15,1.0
KDM6B,332,0.8170206955075264,98.22291420594867,0.0043,28,0.0
KCNQ5,556,0.791604026556015,97.02029421239128,0.0047,34,0.0
PRKCG,279,0.826799460053444,98.50746268656717,0.0098,53,0.0
SCN1B,414,0.806409931147877,97.78266938687857,0.0101,57,1.0
KCNA2,56,0.8915917459412439,99.70471384086761,0.0101,71,1.0
FAT4,62,0.8882129418665736,99.6725008053259,0.0128,86,1.0
GAK,800,0.7714272892475128,95.71029743369483,0.0179,98,0.0
NFASC,7,0.9426248979568481,99.96778696445828,0.0188,102,0.0
IFT57,306,0.8209585654735565,98.36250402662944,0.02,119,0.0
EEF1A2,241,0.8340327560331472,98.71147857833137,0.02,151,1.0
USF1,259,0.8307978701591492,98.61483947170622,0.02,159,0.0
EPCAM,891,0.7636191869429254,95.22173306131214,0.02,174,1.0
RGS4,625,0.7857723540067673,96.64984430366155,0.0227,208,0.0
FGFR1,24,0.9201502096757554,99.8765166970901,0.0279,229,1.0
ANK3,57,0.8914708453416824,99.69934500161065,0.0282,236,0.0
TYRO3,612,0.7867379480600357,96.71963921400193,0.0406,256,0.0
AFG3L2,86,0.8764109537225205,99.54364866315902,0.0414,285,1.0
AMT,810,0.770756223533727,95.65660904112531,0.0414,299,1.0
