Gene_Name,mantis_ml_rank,mantis_ml_proba,manti_ml_perc,p-val,collapsing_rank,Known_gene
CACNA1B,232,0.7530745764332678,98.75979813164393,1.73e-05,1,0.0
KCNQ2,48,0.8125537947502497,99.74766455492322,0.0004,5,1.0
ATP1A3,10,0.8587278099823727,99.95168044668743,0.0009220000000000001,7,1.0
CUX1,247,0.7512934626232775,98.67926554278965,0.0013,10,0.0
SCN1A,378,0.7295072162175125,97.97594760012885,0.0013,11,1.0
ARNT2,374,0.7299137047739226,97.99742295715667,0.0018,12,1.0
KDM6B,58,0.8086845238169922,99.6939761623537,0.0043,28,0.0
PIP5K1C,721,0.6956344126301072,96.1344357349941,0.0047,30,0.0
SCN1B,793,0.6911053068869618,95.7478793084935,0.0101,57,1.0
KCNA2,128,0.7806440228189089,99.31815741436701,0.0101,71,1.0
FAT4,44,0.8139331963064316,99.76913991195103,0.0128,86,1.0
GAK,524,0.712953398841968,97.19209706861378,0.0179,98,0.0
ATXN1,886,0.6842468155360063,95.2485772575969,0.0179,99,0.0
MTOR,441,0.7213188848941829,97.63771072694084,0.0188,101,1.0
NFASC,72,0.8025298280743499,99.61881241275637,0.0188,102,0.0
IFT57,130,0.7801436507940349,99.3074197358531,0.02,119,0.0
FGFRL1,901,0.6837631446842464,95.16804466874261,0.02,146,1.0
EEF1A2,306,0.7391011751284784,98.36250402662944,0.02,151,1.0
USF1,549,0.7109084076067212,97.05787608718995,0.02,159,0.0
EFNB1,298,0.7409252590602307,98.40545474068506,0.02,172,0.0
SLC32A1,918,0.6824262783172993,95.07677440137442,0.0227,190,0.0
RGS4,824,0.6889465703827139,95.58144529152797,0.0227,208,0.0
FGFR1,14,0.8488524141561128,99.93020508965962,0.0279,229,1.0
ANK3,568,0.7093959896449941,96.95586814130785,0.0282,236,0.0
AFG3L2,51,0.8115662428052632,99.73155803715237,0.0414,285,1.0
MED1,137,0.7777608457251398,99.26983786105444,0.0414,286,0.0
AMT,565,0.7098529987135448,96.97197465907871,0.0414,299,1.0
