Gene_Name,mantis_ml_rank,mantis_ml_proba,manti_ml_perc,p-val,collapsing_rank,Known_gene
CACNA1B,795,0.7625721234317537,95.73714162997959,1.73e-05,1,0.0
KCNQ2,248,0.8187571643749156,98.67389670353269,0.0004,5,1.0
ATP1A3,482,0.7916808997460187,97.41758831740577,0.0009220000000000001,7,1.0
CUX1,717,0.7692596916645209,96.15591109202191,0.0013,10,0.0
SCN1A,51,0.8808319287770131,99.73155803715237,0.0013,11,1.0
ARNT2,247,0.8187658715565236,98.67926554278965,0.0018,12,1.0
KCNQ5,343,0.8072428986790812,98.1638569741222,0.0047,34,0.0
SCN1B,655,0.7753771010669009,96.48877912595297,0.0101,57,1.0
KCNA2,327,0.8085829198451637,98.24975840223344,0.0101,71,1.0
MYO10,606,0.7803278248794825,96.75185224954365,0.0104,78,0.0
ATP8B1,896,0.7545382564980055,95.19488886502738,0.0124,80,0.0
FAT4,15,0.903952612574403,99.92483625040266,0.0128,86,1.0
GAK,305,0.8115196495705131,98.3678728658864,0.0179,98,0.0
MTOR,616,0.7792053620296574,96.69816385697412,0.0188,101,1.0
NFASC,53,0.8788550962566468,99.72082035863846,0.0188,102,0.0
IFT57,269,0.8168584072905083,98.56115107913669,0.02,119,0.0
EEF1A2,605,0.7803361411283319,96.7572210888006,0.02,151,1.0
USF1,75,0.8685548679781714,99.6027058949855,0.02,159,0.0
EPCAM,708,0.7705930150467344,96.20423064533448,0.02,174,1.0
DMXL2,715,0.7698119700076722,96.16664877053582,0.0213,183,0.0
FGFR1,5,0.9278638431894707,99.97852464297219,0.0279,229,1.0
ANK3,189,0.8289177236160893,98.9906582196929,0.0282,236,0.0
AFG3L2,80,0.8639348177628496,99.57586169870073,0.0414,285,1.0
MED1,463,0.794019668991329,97.51959626328788,0.0414,286,0.0
AMT,768,0.7653159780309294,95.88210028991732,0.0414,299,1.0
