Gene_Name,mantis_ml_rank,mantis_ml_proba,manti_ml_perc,p-val,collapsing_rank,Known_gene
CACNA1B,123,0.7999540239572525,99.34500161065178,1.73e-05,1,0.0
KCNQ2,28,0.8403955856075993,99.85504134006227,0.0004,5,1.0
ATP1A3,4,0.8705268076042141,99.98389348222915,0.0009220000000000001,7,1.0
GABRG2,724,0.7180629480789266,96.11832921722325,0.0009220000000000001,8,1.0
SCN1A,44,0.8293536559083408,99.76913991195103,0.0013,11,1.0
ARNT2,905,0.7005646724262057,95.14656931171481,0.0018,12,1.0
HSD17B4,251,0.7722788716533354,98.65779018576184,0.0018,15,1.0
KDM6B,257,0.7714839452505111,98.62557715022012,0.0043,28,0.0
KCNQ5,585,0.730634189248085,96.86459787393964,0.0047,34,0.0
TBCK,409,0.7507884502410889,97.80951358316332,0.0098,46,0.0
ZNF787,870,0.7037597447633743,95.33447868570815,0.0101,64,0.0
KCNA2,15,0.8481676788184072,99.92483625040266,0.0101,71,1.0
FAT4,622,0.7271642942662402,96.66595082143242,0.0128,86,1.0
MTOR,354,0.7568911695887446,98.10479974229571,0.0188,101,1.0
NFASC,597,0.729052321612835,96.80017180285623,0.0188,102,0.0
IFT57,100,0.8055060315132141,99.46848491356168,0.02,119,0.0
EEF1A2,219,0.779747853975303,98.82959304198432,0.02,151,1.0
ACSL4,862,0.704199013710022,95.37742939976377,0.02,153,0.0
USF1,138,0.7953418695926666,99.26446902179748,0.02,159,0.0
EFNB1,801,0.7101498135924339,95.70492859443789,0.02,172,0.0
DMXL2,270,0.7692744201421737,98.55578223987975,0.0213,183,0.0
RGS4,568,0.733478165268898,96.95586814130785,0.0227,208,0.0
ALKBH1,620,0.7272072511911393,96.67668849994631,0.0227,210,0.0
MSH2,833,0.7071878871567265,95.5331257382154,0.0244,213,1.0
VPS41,133,0.7968111473321915,99.29131321808225,0.0279,223,0.0
FGFR1,563,0.7341223345410832,96.98271233759262,0.0279,229,1.0
ANK3,376,0.7537894332408905,97.98668527864277,0.0282,236,0.0
AFG3L2,38,0.8340638350998913,99.80135294749275,0.0414,285,1.0
MED1,345,0.7581508874893188,98.15311929560829,0.0414,286,0.0
AMT,479,0.7438191789179212,97.43369483517664,0.0414,299,1.0
