Gene_Name,mantis_ml_rank,mantis_ml_proba,mantis_ml_perc,p-val,collapsing_rank,Known_gene
SCN1A,93,0.9943241944600796,99.50606678836036,0.0013,11,1.0
SCN1B,115,0.9924840395993525,99.3879523247074,0.0101,57,1.0
LEPR,129,0.9915387236646244,99.31278857511006,0.0279,232,1.0
CNGA3,143,0.9908761589898976,99.23762482551273,0.0124,84,1.0
ATP8B1,152,0.990270567171782,99.18930527220014,0.0124,80,1.0
CRX,196,0.9866328062834563,98.95307634489423,0.02,120,1.0
ANK3,202,0.9862485822628845,98.92086330935251,0.0282,236,1.0
IFT57,258,0.9812203720211983,98.62020831096316,0.02,119,1.0
HSD17B4,264,0.9809224313619186,98.58799527542146,0.0018,15,1.0
MSH2,296,0.9786868647002337,98.41619241919896,0.0244,213,1.0
HP,394,0.9709601365029812,97.8900461720176,0.0227,186,1.0
FAT4,443,0.9662583520791183,97.62697304842693,0.0128,86,1.0
C6,482,0.9635884538989201,97.41758831740577,0.0086,44,1.0
AMT,504,0.9613029616219657,97.29947385375281,0.0414,299,1.0
EHD3,521,0.9597392815351486,97.20820358638463,0.0406,259,0.0
IRF7,598,0.9527764314032615,96.79480296359927,0.0406,248,1.0
CSGALNACT1,659,0.9475590872764588,96.46730376892516,0.0174,94,0.0
CACNA1B,731,0.9415161003237186,96.08074734242457,1.73e-05,1,1.0
COL19A1,803,0.933714349269867,95.69419091592398,0.0098,56,0.0
FGFR1,845,0.9292771745753544,95.46869966713196,0.0279,229,1.0
F8,868,0.9272574692964554,95.34521636422205,0.0189,104,1.0
MED1,883,0.9253716926276684,95.26468377536776,0.0414,286,0.0
