Gene_Name,mantis_ml_rank,mantis_ml_proba,mantis_ml_perc,p-val,collapsing_rank,Known_gene
IFT57,22,0.8282562232603177,99.887254375604,0.02,119,1.0
SCN1A,43,0.8010478224006551,99.77450875120799,0.0013,11,1.0
AMT,56,0.794598308110355,99.70471384086761,0.0414,299,1.0
FGFR1,101,0.7754461323131936,99.46311607430474,0.0279,229,1.0
MED1,126,0.7675059423406225,99.32889509288091,0.0414,286,0.0
ATP1A3,186,0.7487879801334743,99.00676473746375,0.0009220000000000001,7,1.0
KCNA2,217,0.74305594687702,98.84033072049823,0.0101,71,1.0
KCNQ2,274,0.7318463225667882,98.53430688285194,0.0004,5,1.0
HSD17B4,292,0.728026741259075,98.43766777622677,0.0018,15,1.0
SCN1B,311,0.7244044374745072,98.33565983034468,0.0101,57,1.0
GABRG2,329,0.7215252145740684,98.23902072371953,0.0009220000000000001,8,1.0
MTOR,378,0.7144217373117644,97.97594760012885,0.0188,101,1.0
CACNA1B,402,0.7109522327773777,97.84709545796198,1.73e-05,1,1.0
RORB,651,0.6792788135368766,96.51025448298078,0.02,158,0.0
TGFBR3,673,0.6770102199808338,96.39214001932783,0.0406,253,0.0
CNGA3,716,0.6721264006515848,96.16127993127886,0.0124,84,1.0
FAT4,772,0.6672482546990982,95.86062493288951,0.0128,86,1.0
COL19A1,807,0.6634391960142787,95.67271555889617,0.0098,56,0.0
MSH2,825,0.6623995907332795,95.57607645227102,0.0244,213,1.0
STK3,897,0.655824805560878,95.18952002577042,0.02,165,0.0
ATP8B1,918,0.6542075479343283,95.07677440137442,0.0124,80,1.0
