Gene_Name,mantis_ml_rank,mantis_ml_proba,mantis_ml_perc,p-val,collapsing_rank,Known_gene
ATP1A3,77,0.9968123858789307,99.5919682164716,0.0009220000000000001,7,1.0
MED1,83,0.9967195064831383,99.55975518092988,0.0414,286,0.0
SCN1A,98,0.9964629648261168,99.47922259207559,0.0013,11,1.0
IFT57,121,0.9955978874206373,99.35573928916568,0.02,119,1.0
HSD17B4,148,0.9944424537217597,99.21078062922795,0.0018,15,1.0
MTOR,227,0.9908991058986507,98.7866423279287,0.0188,101,1.0
TGFBR3,267,0.9893445476476498,98.5718887576506,0.0406,253,0.0
F8,275,0.9890903081298335,98.52893804359498,0.0189,104,1.0
CACNA1B,278,0.9889798553374255,98.51283152582411,1.73e-05,1,1.0
FGFR1,368,0.9854195442086315,98.02963599269839,0.0279,229,1.0
CNGA3,397,0.9840434846232066,97.87393965424675,0.0124,84,1.0
FAT4,433,0.9819172392210889,97.68066144099646,0.0128,86,1.0
KCNA2,434,0.9818925350333633,97.6752926017395,0.0101,71,1.0
ANK3,445,0.9812644012543237,97.61623536991303,0.0282,236,1.0
KCNQ2,491,0.9790781966119363,97.36926876409319,0.0004,5,1.0
AFG3L2,591,0.972937552638031,96.83238483839793,0.0414,285,1.0
COL19A1,607,0.9720635348691604,96.7464834102867,0.0098,56,0.0
LEPR,615,0.9717245931134388,96.70353269623108,0.0279,232,1.0
AMT,624,0.9713649120917476,96.65521314291851,0.0414,299,1.0
RORB,841,0.957944050838977,95.49017502415977,0.02,158,0.0
ATP8B1,866,0.9558691439600606,95.35595404273596,0.0124,80,1.0
IFT81,891,0.953817404085871,95.22173306131214,0.0174,90,1.0
