Gene_Name,mantis_ml_rank,mantis_ml_proba,manti_ml_perc,p-val,collapsing_rank,Known_gene
SCN1A,2,0.9638034785344239,99.99463116074305,0.0013,11,1.0
NFASC,7,0.9426248979568481,99.96778696445828,0.0188,102,0.0
FGFR1,24,0.9201502096757554,99.8765166970901,0.0279,229,1.0
KCNA2,56,0.8915917459412439,99.70471384086761,0.0101,71,1.0
ANK3,57,0.8914708453416824,99.69934500161065,0.0282,236,0.0
FAT4,62,0.8882129418665736,99.6725008053259,0.0128,86,1.0
AFG3L2,86,0.8764109537225205,99.54364866315902,0.0414,285,1.0
EEF1A2,241,0.8340327560331472,98.71147857833137,0.02,151,1.0
USF1,259,0.8307978701591492,98.61483947170622,0.02,159,0.0
KCNQ2,271,0.8288606741022335,98.55041340062279,0.0004,5,1.0
PRKCG,279,0.826799460053444,98.50746268656717,0.0098,53,0.0
IFT57,306,0.8209585654735565,98.36250402662944,0.02,119,0.0
KDM6B,332,0.8170206955075264,98.22291420594867,0.0043,28,0.0
SCN1B,414,0.806409931147877,97.78266938687857,0.0101,57,1.0
CACNA1B,459,0.8014398062229157,97.54107162031569,1.73e-05,1,0.0
ARNT2,492,0.7986088835330271,97.36389992483625,0.0018,12,1.0
ATP1A3,520,0.7955073800626791,97.21357242564159,0.0009220000000000001,7,1.0
KCNQ5,556,0.791604026556015,97.02029421239128,0.0047,34,0.0
TYRO3,612,0.7867379480600357,96.71963921400193,0.0406,256,0.0
RGS4,625,0.7857723540067673,96.64984430366155,0.0227,208,0.0
HSD17B4,672,0.7818640597781007,96.39750885858479,0.0018,15,1.0
GAK,800,0.7714272892475128,95.71029743369483,0.0179,98,0.0
AMT,810,0.770756223533727,95.65660904112531,0.0414,299,1.0
EPCAM,891,0.7636191869429254,95.22173306131214,0.02,174,1.0
MYO10,956,0.7591517919301987,94.87275850961022,0.0104,78,0.0
EFNB1,1016,0.7547602850198746,94.55062815419306,0.02,172,0.0
VPS41,1093,0.7497424310445786,94.1372275314077,0.0279,223,0.0
STK3,1103,0.7491341209411622,94.08353913883818,0.02,165,0.0
DMXL2,1231,0.7409015303850174,93.39632771394825,0.0213,183,0.0
TBCK,1242,0.74022494494915,93.33727048212177,0.0098,46,0.0
ATXN1,1255,0.7396971035003662,93.26747557178138,0.0179,99,0.0
ATP8B1,1303,0.7364580351114273,93.00977128744765,0.0124,80,0.0
MED1,1347,0.733495991230011,92.77354236014173,0.0414,286,0.0
MTOR,1400,0.7296109286696272,92.48899387952325,0.0188,101,1.0
MGRN1,1420,0.7284974592924118,92.3816170943842,0.0227,184,0.0
KIAA1109,1491,0.7238309460878373,92.00042950714055,0.0213,182,0.0
ESCO2,1517,0.7221584708395026,91.86083968645978,0.0279,235,1.0
ALKBH1,1600,0.718068665266037,91.41522602813271,0.0227,210,0.0
CCNG2,1612,0.7177645176649093,91.35079995704929,0.02,118,0.0
FGFRL1,1622,0.716735527775249,91.29711156447976,0.02,146,1.0
CUX1,1763,0.709255793094635,90.54010522924943,0.0013,10,0.0
KEAP1,1808,0.7069341152906418,90.29850746268657,5.629999999999999e-05,2,0.0
PIP5K1C,1818,0.7060334730148315,90.24481907011705,0.0047,30,0.0
MSH2,1843,0.7044771619567787,90.11059808869322,0.0244,213,1.0
