Gene_Name,mantis_ml_rank,mantis_ml_proba,manti_ml_perc,p-val,collapsing_rank,Known_gene
ATP1A3,4,0.998766390721563,99.98389348222915,0.0009220000000000001,7,1.0
KCNA2,22,0.9959409907367912,99.887254375604,0.0101,71,1.0
KCNQ2,24,0.995718550238835,99.8765166970901,0.0004,5,1.0
AFG3L2,27,0.9953622318821047,99.86041017931923,0.0414,285,1.0
IFT57,58,0.9925466861429386,99.6939761623537,0.02,119,0.0
SCN1A,81,0.9908281508400111,99.57049285944379,0.0013,11,1.0
MED1,105,0.988592781884282,99.44164071727693,0.0414,286,0.0
USF1,149,0.9845130195326824,99.20541178997101,0.02,159,0.0
EEF1A2,151,0.9844394807597148,99.1946741114571,0.02,151,1.0
VPS41,169,0.9824952194571615,99.09803500483196,0.0279,223,0.0
CACNA1B,222,0.9771800497801604,98.81348652421347,1.73e-05,1,0.0
DMXL2,286,0.9716695832295776,98.46988081176849,0.0213,183,0.0
FAT4,374,0.9635301950544994,97.99742295715667,0.0128,86,1.0
AMT,393,0.9616430311231025,97.89541501127457,0.0414,299,1.0
FGFR1,400,0.9602143938981593,97.85783313647589,0.0279,229,1.0
EFNB1,416,0.9587447453730321,97.77193170836466,0.02,172,0.0
MTOR,452,0.9548567068761986,97.57865349511435,0.0188,101,1.0
ANK3,454,0.9548391548170472,97.56791581660045,0.0282,236,0.0
ACSL4,503,0.9490000871454098,97.30484269300977,0.02,153,0.0
ARNT2,555,0.9441713231666993,97.02566305164824,0.0018,12,1.0
NFASC,563,0.9430226821968519,96.98271233759262,0.0188,102,0.0
DDX55,570,0.9427772759744112,96.94513046279395,0.0227,192,0.0
KDM6B,577,0.9416770330057009,96.90754858799528,0.0043,28,0.0
KCNQ5,660,0.933287144191822,96.4619349296682,0.0047,34,0.0
GABRG2,669,0.9324277639279737,96.41361537635564,0.0009220000000000001,8,1.0
RGS4,749,0.9237744993819793,95.98410823579941,0.0227,208,0.0
ALKBH1,778,0.9209645916082533,95.82841189734779,0.0227,210,0.0
RORB,793,0.9198165191409479,95.7478793084935,0.02,158,0.0
CUX1,796,0.9192765592329825,95.73177279072264,0.0013,10,0.0
TBCK,798,0.9192356185165549,95.72103511220874,0.0098,46,0.0
HSD17B4,807,0.9179165249272156,95.67271555889617,0.0018,15,1.0
ZNF787,836,0.9141725152214546,95.51701922044454,0.0101,64,0.0
PLCB2,955,0.9030028476514285,94.87812734886717,0.0174,91,0.0
EPCAM,1162,0.8801859949290759,93.76677762267798,0.02,174,1.0
MAD1L1,1214,0.8741686535859827,93.48759798131644,0.0098,47,0.0
GAK,1271,0.8654664031270657,93.18157414367015,0.0179,98,0.0
RIOK2,1344,0.8544435985442865,92.7896488779126,0.0018,13,0.0
RTCA,1413,0.8473209222179254,92.41919896918286,0.0101,67,0.0
GLDN,1423,0.846354317361328,92.36551057661335,0.0076,42,0.0
ZNF536,1471,0.840722932459215,92.1078062922796,0.0047,32,0.0
FGFRL1,1530,0.832832361732714,91.7910447761194,0.02,146,1.0
MSH2,1633,0.8190334674133543,91.23805433265329,0.0244,213,1.0
ATXN1,1647,0.8173700598316971,91.16289058305594,0.0179,99,0.0
SCN1B,1673,0.8130050377499776,91.02330076237517,0.0101,57,1.0
PRKCG,1705,0.809345261875511,90.85149790615269,0.0098,53,0.0
SYTL4,1708,0.8091632815725985,90.83539138838184,0.0406,273,0.0
STK3,1711,0.8089698045015095,90.81928487061097,0.02,165,0.0
PDIA3,1815,0.7953735658110043,90.2609255878879,0.0028,21,0.0
LRBA,1817,0.7952404434551953,90.25018790937399,0.0254,214,0.0
MYO10,1834,0.7933812093763091,90.1589176420058,0.0104,78,0.0
F8,1857,0.7904861513122369,90.03543433909589,0.0189,104,0.0
KEAP1,1859,0.7900232159812884,90.02469666058198,5.629999999999999e-05,2,0.0
