Gene_Name,mantis_ml_rank,mantis_ml_proba,manti_ml_perc,p-val,collapsing_rank,Known_gene
ATP1A3,8,0.844756777975479,99.96241812520134,0.0009220000000000001,7,1.0
AFG3L2,19,0.8158158729183042,99.90336089337485,0.0414,285,1.0
KCNQ2,30,0.8032752390798773,99.84430366154837,0.0004,5,1.0
IFT57,37,0.7982988833619546,99.8067217867497,0.02,119,0.0
KCNA2,42,0.7939865802684899,99.77987759046493,0.0101,71,1.0
MED1,63,0.7791695851323043,99.66713196606894,0.0414,286,0.0
CACNA1B,114,0.7605215842284059,99.39332116396436,1.73e-05,1,0.0
SCN1A,152,0.7486177119806365,99.18930527220014,0.0013,11,1.0
FGFR1,169,0.7448200023560028,99.09803500483196,0.0279,229,1.0
USF1,189,0.7399524744467024,98.9906582196929,0.02,159,0.0
VPS41,214,0.7324576799383897,98.8564372382691,0.0279,223,0.0
DMXL2,246,0.7277470061329049,98.6846343820466,0.0213,183,0.0
NFASC,277,0.721818941878462,98.51820036508107,0.0188,102,0.0
KDM6B,292,0.7201244128191844,98.43766777622677,0.0043,28,0.0
ARNT2,310,0.715865086581402,98.34102866960163,0.0018,12,1.0
EEF1A2,342,0.7115381012539894,98.16922581337914,0.02,151,1.0
CUX1,371,0.7076518077820172,98.01352947492752,0.0013,10,0.0
EFNB1,403,0.7026838828066189,97.84172661870504,0.02,172,0.0
MTOR,430,0.7000156215460029,97.69676795876731,0.0188,101,1.0
ANK3,434,0.699622299206912,97.6752926017395,0.0282,236,0.0
DDX55,478,0.6939712308201201,97.43906367443358,0.0227,192,0.0
ACSL4,494,0.692792190961217,97.35316224632234,0.02,153,0.0
GABRG2,623,0.6810641110975286,96.66058198217546,0.0009220000000000001,8,1.0
AMT,638,0.6800191002556973,96.58004939332116,0.0414,299,1.0
KCNQ5,656,0.6775113710594259,96.48341028669601,0.0047,34,0.0
FAT4,709,0.672191723164194,96.19886180607753,0.0128,86,1.0
TBCK,734,0.670145341123403,96.06464082465371,0.0098,46,0.0
HSD17B4,740,0.668734216293514,96.03242778911199,0.0018,15,1.0
ATXN1,828,0.6609632376795643,95.55996993450016,0.0179,99,0.0
RGS4,971,0.6495576965186004,94.79222592075594,0.0227,208,0.0
GAK,1023,0.6455495074265858,94.5130462793944,0.0179,98,0.0
ALKBH1,1044,0.6441244741123151,94.40030065499839,0.0227,210,0.0
RORB,1136,0.6371149398011708,93.90636744335875,0.02,158,0.0
MSH2,1161,0.6349876396178701,93.77214646193492,0.0244,213,1.0
PLCB2,1247,0.6296424032107392,93.310426285837,0.0174,91,0.0
FGFRL1,1292,0.6265487900592067,93.06882851927413,0.02,146,1.0
ZNF536,1308,0.6258672954442241,92.98292709116289,0.0047,32,0.0
MYO10,1334,0.6246212540483296,92.84333727048212,0.0104,78,0.0
PDIA3,1378,0.6219136147118774,92.60710834317621,0.0028,21,0.0
EPCAM,1387,0.6215288476183523,92.55878878986363,0.02,174,1.0
KEAP1,1427,0.6190866608828884,92.34403521958554,5.629999999999999e-05,2,0.0
RTCA,1497,0.6150757771307834,91.96821647159884,0.0101,67,0.0
MAD1L1,1573,0.6105310896840288,91.56018468807044,0.0098,47,0.0
PIP5K1C,1579,0.610101092004204,91.52797165252873,0.0047,30,0.0
PRKCG,1583,0.6099469850846199,91.50649629550091,0.0098,53,0.0
WDR83,1608,0.6081540159461721,91.3722753140771,0.0098,48,0.0
ZNF787,1619,0.6075599341719926,91.31321808225061,0.0101,64,0.0
TYRO3,1807,0.5963520594158007,90.30387630194352,0.0406,256,0.0
CSNK1E,1811,0.5962376319049947,90.28240094491571,0.0047,35,0.0
STK3,1860,0.5938997568036068,90.01932782132504,0.02,165,0.0
