Gene_Name,mantis_ml_rank,mantis_ml_proba,manti_ml_perc,p-val,collapsing_rank,Known_gene
FGFR1,17,0.9810511085336858,99.91409857188876,0.0279,229,1.0
FAT4,38,0.9690648593913311,99.80135294749275,0.0128,86,1.0
NFASC,51,0.9649118846654892,99.73155803715237,0.0188,102,0.0
USF1,85,0.9499471765756607,99.54901750241598,0.02,159,0.0
AFG3L2,111,0.9377708291181546,99.40942768173521,0.0414,285,1.0
ANK3,150,0.9271504086256027,99.20004295071405,0.0282,236,0.0
KCNQ2,195,0.9116858434165072,98.95844518415119,0.0004,5,1.0
KCNQ5,260,0.8898802542686463,98.60947063244927,0.0047,34,0.0
KDM6B,312,0.8807105267047882,98.33029099108774,0.0043,28,0.0
ARNT2,388,0.8639652407249289,97.92225920755932,0.0018,12,1.0
SCN1B,493,0.8434528192895483,97.3585310855793,0.0101,57,1.0
ATP8B1,498,0.8421616271138191,97.33168688929453,0.0124,80,0.0
MYO10,538,0.8339048254489899,97.11693331901643,0.0104,78,0.0
GAK,587,0.8258051288127899,96.85386019542574,0.0179,98,0.0
IFT57,690,0.8070425146818161,96.30086975195962,0.02,119,0.0
ATP1A3,715,0.802508867034389,96.16664877053582,0.0009220000000000001,7,1.0
CACNA1B,726,0.8003808689117432,96.10759153870933,1.73e-05,1,0.0
KCNA2,778,0.7908636237090693,95.82841189734779,0.0101,71,1.0
MGRN1,800,0.78787568628788,95.71029743369483,0.0227,184,0.0
MSH2,880,0.7727210034063859,95.28079029313862,0.0244,213,1.0
RGS4,957,0.7595395648479462,94.86738967035328,0.0227,208,0.0
TYRO3,965,0.7567411372065544,94.82443895629766,0.0406,256,0.0
CUX1,971,0.7559132750332356,94.79222592075594,0.0013,10,0.0
SCN1A,1007,0.7512453763997807,94.59894770750563,0.0013,11,1.0
AMT,1009,0.7511198602440442,94.58821002899174,0.0414,299,1.0
EPCAM,1137,0.7303009955049083,93.90099860410179,0.02,174,1.0
EEF1A2,1183,0.7244309930626907,93.65403199828197,0.02,151,1.0
PZP,1488,0.6765554684400559,92.01653602491142,0.0174,92,0.0
ATXN1,1492,0.6756401696056128,91.99506066788359,0.0179,99,0.0
MTOR,1495,0.6754986954731669,91.97895415011274,0.0188,101,1.0
KIAA1109,1586,0.661632977873087,91.49038977773006,0.0213,182,0.0
GABRG2,1637,0.654372291643565,91.21657897562547,0.0009220000000000001,8,1.0
SMPD3,1663,0.6493165577948093,91.0769891549447,0.0406,257,0.0
GSX1,1693,0.6448788796164081,90.91592397723612,0.02,161,0.0
MED1,1696,0.6446402528882027,90.89981745946525,0.0414,286,0.0
SLC32A1,1825,0.6278862881567329,90.20723719531837,0.0227,190,0.0
STK3,1828,0.627212750017643,90.19113067754752,0.02,165,0.0
ARID4B,1841,0.6259572540223598,90.12133576720713,0.0414,294,0.0
HSD17B4,1849,0.6246612886763595,90.07838505315151,0.0018,15,1.0
