DEPDC5,9.626E-12
LGI1,0.0142
PCDH19,0.0017
SCN1A,1
GRIN2A,0.0017
TYRO3,1
LMAN1L,0.0408
PKHD1,1
ATP8B1,0.0723
PCDHB6,1
MAGEA6,0.2243
PSMC4,0.0142
OR4N5,0.1193
OR4K13,1
SLC9A2,0.1112
SLC8A2,1
CCDC14,0.0154
ZNF804A,1
BZRAP1,1
SLC44A4,0.2457
SATL1,0.3984
FNIP1,0.2243
FRMD3,0.1193
SLC12A5,0.0142
CCDC11,0.1069
DRC1,0.6312
PCLO,0.1193
TSHR,1
OR10Z1,1
OR6A2,1
SULT1C3,1
ZNF606,0.1193
ZNF692,0.0392
EHD4,1
CCR3,1
SAMD9L,0.002
ZNF497,0.1193
PDSS1,0.1193
SLC43A3,0.1193
MPG,0.0723
CYP4V2,0.0062
CCDC15,0.0723
OR7A10,1
ZSWIM3,1
BNIP1,0.3984
C5orf42,0.0025
WDR78,0.6795
SEC31A,1
SYNE3,1
PGS1,0.3169
BCLAF1,1
ADCY10,0.2925
F8,0.1048
RALGPS1,0.1193
OR2T4,1
ZC2HC1A,0.1193
BVES,0.1193
MPPE1,0.0142
HPN,0.1193
POC1B-GALNT4,0.3984
VPS52,1
IL2RB,1
WDR93,0.2457
KCNJ10,0.1193
PLA2G4D,1
ZNF213,1
GALNT4,1
GIGYF1,1
FAM222B,0.2243
ST6GALNAC1,0.0052
SNX5,1
ZFC3H1,1
FAM166A,0.6074
C17orf80,0.3169
AAAS,0.0392
ZFP69,0.1193
AGT,1
NRXN2,1
MAOA,1
SH2D7,0.2243
MBL2,1
OSBPL8,1
APRT,1
SOX10,1
RNF41,1
RPP40,1
CHST2,1
VSIG2,1
SERGEF,0.5335
IFNAR2,1
RRP9,1
IL18BP,1
TMEM207,0.1193
TOMM40,1
TTLL10,1
SPINT4,0.0142
CD70,1
GDAP2,0.0142
TTLL1,1
CARF,0.1193
CBR4,1
CACNG6,1
SLC25A22,1
WNT7A,1
NDUFAF4,1
TSKU,1
PRKCD,1
MT1M,0.1193
TSN,0.1193
C9orf173,1
GPATCH8,1
COG1,0.2243
TRAM2,1
CADM1,1
TRIM36,0.1193
TRIM65,1
C1orf74,1
C19orf45,0.3169
C1orf68,1
C1orf27,1
ANXA9,0.2243
NAT9,1
ZDBF2,0.1112
SEMA5A,0.0142
CPSF3L,0.6312
ZNF518B,0.0392
TUBGCP2,0.5335
CHADL,0.0723
ZSWIM6,1
SPG11,0.7115
SPECC1,0.0392
CDH26,0.4458
CNTN5,1
TTC7A,0.4702
APOBR,0.0142
SLC28A1,0.5335
DSC2,0.1539
ACAD10,0.1992
PYGO2,1
SNTB1,0.0142
TBCK,1
EVI2B,1
MAP1B,1
MTHFSD,0.0723
OIT3,1
CTNNA2,1
GPR87,0.3169
TMEM209,1
SHCBP1L,1
NOX5,0.1345
SHCBP1,0.0142
PUS7,0.1193
ZNF486,0.1112
FAM213A,0.2243
SLFN12L,0.2457
MET,1
CASQ2,1
TPTE2,0.5892
ITPRIPL2,0.2243
GFOD2,1
C10orf90,0.3169
RGS14,0.3169
RLBP1,1
FCRL5,0.1193
PKHD1L1,0.2506
DLC1,1
ABCC4,0.4105
INADL,0.1539
TEX14,0.4105
NOC4L,1
TCHH,1
LRRD1,1
KIAA1731,0.0453
OR2D3,1
ADCK2,0.2243
PARD6A,0.2243
ECHDC3,1
MAPKAPK3,1
PATE1,1
SRD5A3,1
OR13H1,0.2243
RBM48,0.3169
RTDR1,1
PSMG4,0.2243
C11orf80,1
HOXC9,1
IFNAR1,1
ZNF784,1
DCTN4,1
SRPK3,1
DAZL,1
FURIN,0.1193
ETV3L,1
HIST1H2AD,0.3984
GMPPB,1
GPC4,0.1193
DCPS,1
DGAT2L6,1
LAMP3,1
NACC2,1
ZZZ3,1
CDNF,0.2243
SESN3,1
PRDM14,1
FAM96B,1
DAPK2,0.5335
TMEM119,0.0142
SLC20A1,0.1193
UBXN11,0.3169
SLC35C1,1
ZDHHC19,1
TRIM7,1
DCP1B,1
EPSTI1,1
GJA10,0.3169
SLC25A23,1
FAM118B,1
MFAP5,1
DSCR3,0.2243
DIO3,1
IARS2,1
IMMP2L,1
TGIF2,1
ZDHHC2,1
FBXW11,1
TIMM21,0.4702
CHI3L2,0.0723
HKDC1,0.3169
TRMU,0.3169
SP7,1
EPC1,1
ZMYND15,1
NCSTN,1
GRPR,0.1193
PPAPDC3,0.1193
AMTN,1
OR8B12,0.1193
AVPR1A,1
C22orf42,1
ALG5,1
COX7A2L,1
LMNB1,1
ADA,0.2243
JAKMIP1,1
GABRB3,1
GABRA1,1
GABRA3,1
GUCY1A2,1
NUP35,1
DNAJA1,0.1193
PHACTR3,1
PDCL,1
C1RL,1
C19orf26,1
C1orf168,0.3984
FAM9B,0.0392
PARP1,0.0392
ZFP69B,0.3984
TET1,0.1193
GPI,1
CD209,0.2243
USP45,0.0818
MIB1,0.6795
MAPK6,1
HELQ,0.3984
DDX52,0.3815
ATP13A2,1
ZNF559,0.0818
NFATC3,1
ZNF644,1
GLYCTK,1
CD99,1
C1QTNF1,0.1539
PIBF1,0.1112
SLC16A4,1
ENO3,0.3389
MYLK3,1
COL22A1,0.2925
SCYL1,0.1112
PROM2,0.4702
RBP4,0.2243
FAM194A,0.2422
PIGQ,1
RBL2,1
CRIM1,1
STAP1,0.0392
URB1,0.1112
KIAA1107,0.2243
ABCC10,0.3984
OGDHL,0.2243
NIM1,1
PCDHA3,0.0256
SETBP1,0.3169
TSPEAR,1
ZNF197,1
BEAN1,1
LMO7,1
TAF1C,0.3984
FASN,1
KIAA0100,0.3984
TRIOBP,0.6976
ABCB4,1
LTBP2,1
CAPN3,1
FSTL5,0.2243
DYNC1H1,0.3169
ADAM29,1
DACH2,0.1193
EPHA3,1
IGFALS,1
TBC1D22A,0.2243
OR4B1,1
PCDH18,1
CCP110,0.2243
HRNR,0.1612
RLF,1
CNTROB,0.3169
CD36,1
NRIP1,1
EP400,1
KIAA1524,0.5892
ZNF225,1
MFSD6,1
LRRN1,1
KLC3,1
BCL9,1
SIPA1L1,1
CCSER2,1
RFTN1,0.1112
DHODH,0.3984
NAALADL1,0.0723
BMP1,1
DSC3,1
RBM6,1
TELO2,0.1193
ZIK1,0.3169
SALL4,1
SALL1,1
GOLGA4,1
CACNA1H,1
DMXL2,0.1193
PCNXL2,0.5335
NEB,0.5421
CSF2RA,1
MGRN1,0.1193
B3GNTL1,0.3169
SLC51A,0.2243
GNE,0.1193
KDELR2,1
LRRTM1,1
PRCP,1
ABCB8,1
TRAPPC2L,1
GHSR,1
PRG4,0.1193
PATL1,1
ARMC2,1
TAS2R7,0.1193
TBCC,0.2243
FLRT2,1
CXorf30,1
REPIN1,1
DDC,0.2243
TRPM3,1
ANKS1B,1
MAPK8,1
FKBP6,1
NTRK1,1
WDR89,1
MS4A10,0.3169
POLL,1
DNAAF3,1
OR5L2,0.3984
PIWIL1,0.2243
TMEM39B,1
ZNF843,0.2243
TP53I3,0.5892
DMRT3,1
HLA-DPB1,0.3169
GNB3,1
PYY,0.2243
MOSPD1,1
EIF4G2,1
ZNF536,1
CKAP2L,1
ZNF552,0.0332
ZNF560,0.6074
HDLBP,0.1193
NIPSNAP3B,1
TEX33,0.3169
LTV1,0.0594
GPS2,0.1193
ZNF649,1
ZNF17,1
