DEPDC5,0.0233
LGI1,1
PCDH19,0.1112
SCN1A,1
GRIN2A,0.3817
TYRO3,1
LMAN1L,1
PKHD1,0.2875
ATP8B1,0.5335
PCDHB6,1
MAGEA6,0.3169
PSMC4,1
OR4N5,1
OR4K13,1
SLC9A2,1
SLC8A2,0.3984
CCDC14,0.611
ZNF804A,0.2243
BZRAP1,1
SLC44A4,0.4702
SATL1,1
FNIP1,0.1992
FRMD3,0.5335
SLC12A5,0.5335
CCDC11,1
DRC1,1
PCLO,0.2462
TSHR,1
OR10Z1,1
OR6A2,0.2243
SULT1C3,1
ZNF606,1
ZNF692,1
EHD4,1
CCR3,1
SAMD9L,1
ZNF497,0.1112
PDSS1,1
SLC43A3,1
MPG,0.1112
CYP4V2,0.3169
CCDC15,1
OR7A10,1
ZSWIM3,1
BNIP1,1
C5orf42,0.0597
WDR78,1
SEC31A,0.1539
SYNE3,1
PGS1,0.3169
BCLAF1,1
ADCY10,0.2925
F8,1
RALGPS1,1
OR2T4,1
ZC2HC1A,1
BVES,0.2243
MPPE1,1
HPN,1
POC1B-GALNT4,1
VPS52,0.4702
IL2RB,1
WDR93,1
KCNJ10,0.3169
PLA2G4D,0.5335
ZNF213,0.3169
GALNT4,1
GIGYF1,1
FAM222B,1
ST6GALNAC1,0.3169
SNX5,1
ZFC3H1,0.6074
FAM166A,0.3984
C17orf80,1
AAAS,0.2243
ZFP69,1
AGT,0.3169
NRXN2,1
MAOA,0.0142
SH2D7,0.3984
MBL2,0.1193
OSBPL8,1
APRT,1
SOX10,0.1193
RNF41,1
RPP40,0.2243
CHST2,1
VSIG2,1
SERGEF,1
IFNAR2,1
RRP9,0.2243
IL18BP,1
TMEM207,1
TOMM40,1
TTLL10,0.1193
SPINT4,1
CD70,1
GDAP2,1
TTLL1,1
CARF,1
CBR4,1
CACNG6,1
SLC25A22,1
WNT7A,0.2243
NDUFAF4,1
TSKU,0.5335
PRKCD,1
MT1M,1
TSN,1
C9orf173,1
GPATCH8,0.662
COG1,1
TRAM2,1
CADM1,1
TRIM36,1
TRIM65,1
C1orf74,1
C19orf45,0.1193
C1orf68,1
C1orf27,1
ANXA9,1
NAT9,1
ZDBF2,1
SEMA5A,1
CPSF3L,1
ZNF518B,1
TUBGCP2,0.5335
CHADL,1
ZSWIM6,0.6312
SPG11,0.3817
SPECC1,0.2457
CDH26,1
CNTN5,1
TTC7A,0.4702
APOBR,1
SLC28A1,1
DSC2,0.0723
ACAD10,0.4702
PYGO2,1
SNTB1,1
TBCK,0.4702
EVI2B,1
MAP1B,1
MTHFSD,1
OIT3,1
CTNNA2,1
GPR87,1
TMEM209,0.4702
SHCBP1L,1
NOX5,1
SHCBP1,1
PUS7,0.4702
ZNF486,1
FAM213A,1
SLFN12L,0.5335
MET,0.4702
CASQ2,1
TPTE2,1
ITPRIPL2,1
GFOD2,1
C10orf90,1
RGS14,1
RLBP1,1
FCRL5,1
PKHD1L1,0.7617
DLC1,0.1539
ABCC4,1
INADL,0.662
TEX14,0.0453
NOC4L,1
TCHH,0.2444
LRRD1,0.6312
KIAA1731,0.2506
OR2D3,1
ADCK2,1
PARD6A,0.1193
ECHDC3,1
MAPKAPK3,1
PATE1,0.2243
SRD5A3,1
OR13H1,1
RBM48,1
RTDR1,0.2243
PSMG4,1
C11orf80,1
HOXC9,1
