"Rank","GeneSymbol","GeneId","GO: Molecular Function Score","GO: Molecular Function pValue","GO: Biological Process Score","GO: Biological Process pValue","GO: Cellular Component Score","GO: Cellular Component pValue","Human Phenotype Score","Human Phenotype pValue","Mouse Phenotype Score","Mouse Phenotype pValue","Pathway Score","Pathway pValue","Pubmed Score","Pubmed pValue","Interaction Score","Interaction pValue","Coexpression Score","Coexpression pValue","Coexpression Atlas Score","Coexpression Atlas pValue","ToppCell Atlas Score","ToppCell Atlas pValue","Disease Score","Disease pValue","Average Score","Overall pValue"
1,"TP53",7157,1.0,1.9364833462432224E-4,0.9999999999999996,0.06584043377226956,0.975680133894481,0.0714562354763749,0.9999999999999991,0.014136328427575524,0.9999999999999996,0.004260263361735089,0.5000488681654336,1.0E-6,0.9999999999999991,0.02517428350116189,0.9999999999999978,0.0038729666924864447,0.9275244466129726,9.682416731216112E-4,0.8875907012471091,0.0019364833462432224,0.0,0.5,1.0,0.002517428350116189,0.8585780965129534,1.4124745817412077E-9
2,"HSP90AB1",3326,0.9999954480631241,3.872966692486445E-4,1.0,0.06584043377226956,0.9999999890069275,0.005034856700232378,-1.0,0.0,0.0599654024199182,0.1254841208365608,0.0,0.5001936483346243,0.9999999999999991,0.02517428350116189,0.9999999999999587,0.0038729666924864447,0.9689630601254696,1.0E-6,0.9740301627815704,1.0E-6,0.0,0.5,0.20422193752839643,0.10573199070487994,0.6945258296752873,1.801903104503566E-8
3,"DNM1L",10059,0.9998767834065205,0.0019364833462432224,1.0,0.06584043377226956,0.9999997898439457,0.005034856700232378,0.9998856107406949,0.023625096824167312,0.9999998627194499,0.004260263361735089,0.0,0.5001936483346243,0.999999999968081,0.02517428350116189,0.9999999031865858,0.0038729666924864447,0.7763882894018471,0.013361735089078234,0.9740301627815704,1.0E-6,0.0,0.5,0.9957216721962882,0.011231603408210689,0.8123471580682335,8.93816051172891E-8
4,"MAPK14",1432,0.9986971411007697,0.006584043377226956,0.9999999999999996,0.06584043377226956,0.9969410128980755,0.038536018590240126,-1.0,0.0,0.9955841178142478,0.023818745158791635,0.5000488681654336,1.0E-6,0.9999999999999996,0.02517428350116189,0.9955590698880753,0.014523625096824167,0.9131924036781736,0.0013555383423702555,0.6707981648727841,0.004647560030983733,0.0,0.5,0.9999337422249003,0.004260263361735089,0.8252179642210516,9.198766437457095E-8
5,"CTNNB1",1499,0.999331408156694,0.0036793183578621223,0.9999999999999996,0.06584043377226956,0.9999999999831091,0.005034856700232378,0.9999999999999853,0.014136328427575524,0.9999999999993423,0.004260263361735089,0.0,0.5001936483346243,0.9999999999999996,0.02517428350116189,0.9999999999998654,0.0038729666924864447,0.739098374283857,0.018977536793183578,0.9740301627815704,1.0E-6,0.0,0.5,0.9981832882111612,0.009295120061967466,0.809324445625605,1.0081062695732612E-7
6,"BAX",581,0.9226371225673614,0.04512006196746708,1.0,0.06584043377226956,0.9999870517566419,0.0087141750580945,0.8418289638529421,0.04124709527498063,0.9999999998983404,0.004260263361735089,0.5000488681654336,1.0E-6,1.0,0.02517428350116189,0.9870622266255326,0.017815646785437646,0.9540932401206097,1.9364833462432224E-4,0.0,0.5098760650658405,0.0,0.5,0.9972613963296013,0.010069713400464756,0.777027970534684,1.633811039791766E-7
7,"PSAP",5660,0.9582023324617613,0.03369481022463207,0.9999999999999991,0.06584043377226956,0.9997165856043793,0.0191711851278079,0.9999999999999991,0.014136328427575524,0.9999999999999996,0.004260263361735089,0.0,0.5001936483346243,0.9999959983752188,0.029047250193648334,0.2502483939683273,0.12316034082106894,0.9419922252985318,3.872966692486445E-4,0.9740301627815704,1.0E-6,0.0,0.5,0.9996592843204962,0.006390395042602633,0.7829035117837093,3.3194749449183547E-7
8,"SMARCA4",6597,0.9999813042707892,7.74593338497289E-4,0.9999999999999991,0.06584043377226956,0.8504601855718028,0.12432223082881487,0.9999985282428266,0.014523625096824167,0.9046184075882595,0.05131680867544539,0.0,0.5001936483346243,0.9999999999998326,0.02517428350116189,0.9986546548570541,0.011812548412083656,0.8572579796845964,0.0056158017041053445,0.9740301627815704,1.0E-6,0.0,0.5,0.8197691153730058,0.04124709527498063,0.800778514223699,9.84961386119032E-7
9,"GRIN2A",2903,0.9447167118228097,0.037955073586367155,1.0,0.06584043377226956,0.9999999748054091,0.005034856700232378,0.9999999616023256,0.014329976762199844,0.9812992289210584,0.03272656855151046,0.5000488681654336,1.0E-6,0.9999999997617868,0.02517428350116189,0.49365800151553213,0.08636715724244771,0.5619309176813404,0.04512006196746708,0.0,0.5098760650658405,-1.0,0.0,0.9999834006616828,0.003292021688613478,0.7933779932401187,1.21974900213484E-6
10,"CSTB",1476,0.5049810532039648,0.12219209914794733,0.9998960806037779,0.10398915569326103,0.9862553236110821,0.062161115414407435,0.9998923201024107,0.02343144848954299,0.9999494833560154,0.010457010069713401,0.0,0.5001936483346243,0.9999811589224928,0.03350116189000774,0.9396021171154364,0.026529821843532145,0.9775658917301506,1.0E-6,0.9090956897362075,0.0019364833462432224,0.0,0.5,0.9999876718123812,0.003098373353989156,0.7966314492130624,1.5717253954994348E-6
11,"PPP2R1A",5518,0.9337869752471675,0.0400852052672347,0.9999999999999996,0.06584043377226956,0.9995967671419989,0.020139426800929512,0.9974290874211662,0.03117738187451588,0.9507343190434975,0.04298993028659954,0.0,0.5001936483346243,1.0,0.02517428350116189,0.9999997702681831,0.0038729666924864447,0.8921339687654772,0.003292021688613478,0.9740301627815704,1.0E-6,0.0,0.5,0.37071583081126525,0.08384972889233153,0.7845775461436378,2.0178260417003102E-6
12,"ACLY",47,0.9658851972548343,0.031758326878388844,0.9999999890840029,0.06584043377226956,0.999830538940215,0.016653756777691712,-1.0,0.0,0.022924184051458442,0.1254841208365608,0.0,0.5001936483346243,0.9999999999986233,0.02517428350116189,0.9998306022504019,0.008907823392718823,0.9368202481638221,5.809450038729666E-4,0.9740301627815704,1.0E-6,0.0,0.5,0.9044546080777154,0.03040278853601859,0.7269015547627221,2.250234554246333E-6
13,"RTN4",57142,0.7885333309049269,0.06855151045701006,0.9999999999999996,0.06584043377226956,0.9999999988985044,0.005034856700232378,-1.0,0.0,0.38309117146114174,0.09759876065065841,0.0,0.5001936483346243,0.9999999999999996,0.02517428350116189,0.9994653959748359,0.010650658404337723,0.9432335456496767,3.872966692486445E-4,0.9740301627815704,1.0E-6,0.0,0.5,0.3751131667536573,0.08365608055770721,0.7305822585344337,2.3510199935738996E-6
14,"CYB5R3",1727,0.9490592751102286,0.03621223857474826,0.9990915055662255,0.12141750580945004,0.9999994248215109,0.0052285050348567005,0.9885184378746306,0.034856700232378,0.022903752246537915,0.1254841208365608,0.0,0.5001936483346243,0.9999926170835426,0.030209140201394268,0.8720818854573604,0.0383423702556158,0.881366777457739,0.0036793183578621223,0.9740301627815704,1.0E-6,-1.0,0.0,0.9210730485466415,0.028272656855151047,0.8062094132910945,2.5815942462648067E-6
15,"CAT",847,0.9280309675044597,0.04240898528272657,0.9999999999999991,0.06584043377226956,0.9994412101203096,0.023625096824167312,0.9724860668950236,0.036986831913245546,0.702314885245893,0.07513555383423702,0.5000488681654336,1.0E-6,0.9999999999999996,0.02517428350116189,0.9863554860492585,0.017815646785437646,0.7484421660244469,0.016847405112316034,0.0,0.5098760650658405,0.0,0.5,1.0,0.002517428350116189,0.7524088867567645,2.5865246936485065E-6
16,"BRCA1",672,0.9981163093667414,0.008326878388845856,0.9999999999999996,0.06584043377226956,0.9911619345243194,0.055189775367931834,0.9999999996929427,0.014136328427575524,0.9998374461336405,0.014329976762199844,0.0,0.5001936483346243,0.9999999999999969,0.02517428350116189,0.9999999999999996,0.0038729666924864447,0.9082877710682551,0.0013555383423702555,0.800062318864383,0.0038729666924864447,0.0,0.5,0.9999664367922353,0.003292021688613478,0.8085740687820571,3.965401086269971E-6
17,"PTEN",5728,0.9983282760105258,0.007939581719597211,1.0,0.06584043377226956,0.9999165036462792,0.013361735089078234,0.9999999999999991,0.014136328427575524,1.0,0.004260263361735089,0.0,0.5001936483346243,0.9999999999999996,0.02517428350116189,0.9998794346280114,0.0087141750580945,0.648185385467367,0.02943454686289698,0.9416893485929606,0.0017428350116189002,0.0,0.5,0.9999999989963158,0.002517428350116189,0.7990787016515762,4.198630806029335E-6
18,"CASP9",842,0.7787226849313028,0.07126258714175059,0.9999999999808709,0.06584043377226956,0.6217570275046544,0.17718822618125485,-1.0,0.0,0.9997116181956327,0.014910921766072812,0.5000488681654336,1.0E-6,0.9998503042200307,0.043377226955848176,0.932836592267896,0.027498063516653758,0.9316304091782697,5.809450038729666E-4,0.0,0.5098760650658405,0.0,0.5,0.9952336899940298,0.011231603408210689,0.7332621658151286,4.563000583490684E-6
19,"CANX",821,0.8875399770766298,0.0505422153369481,0.999998104768572,0.07184353214562354,0.999999999677397,0.005034856700232378,-1.0,0.0,0.9999999105999431,0.004260263361735089,0.0,0.5001936483346243,1.0,0.02517428350116189,0.9999998048293128,0.0038729666924864447,0.9731310695760527,1.0E-6,0.0,0.5098760650658405,0.0,0.5,0.8282950513619738,0.0383423702556158,0.7113943031067108,5.390774838742729E-6
20,"COX15",1355,0.9839464246513642,0.024593338497288925,0.9999999999872715,0.06584043377226956,0.969548194229631,0.07629744384198296,0.9999999852173489,0.014136328427575524,0.9997570086888343,0.014523625096824167,0.0,0.5001936483346243,0.9884193497891848,0.08810999225406661,0.9999146557600092,0.008133230054221533,0.285596257419867,0.0983733539891557,0.9740301627815704,1.0E-6,-1.0,0.0,0.684247639181292,0.053640588690937255,0.8234047750994162,5.97911218769287E-6
21,"CLU",1191,0.9962927340730974,0.012780790085205267,0.9999999999999996,0.06584043377226956,0.9999999901238836,0.005034856700232378,-1.0,0.0,0.9556735300960243,0.04163439194422928,0.0,0.5001936483346243,0.9999999999999991,0.02517428350116189,0.9959587581553392,0.014329976762199844,0.9495951536240614,1.9364833462432224E-4,0.5138207751237677,0.007552285050348567,0.0,0.5,0.9999999999999676,0.002517428350116189,0.7670118518937962,6.481630180354969E-6
22,"GSK3B",2932,0.9999981999304262,3.872966692486445E-4,1.0,0.06584043377226956,0.9999999987570607,0.005034856700232378,-1.0,0.0,0.9749726299094036,0.03543764523625097,0.0,0.5001936483346243,0.9999999999999991,0.02517428350116189,0.9999932303973786,0.004260263361735089,0.4757513632966919,0.056738962044926414,0.6618344308121097,0.004647560030983733,0.0,0.5,0.9999999775874342,0.002517428350116189,0.7386359491435445,7.385969051365571E-6
23,"HADHA",3030,0.9736953994334387,0.029821843532145623,0.9968517406878801,0.13264910921766074,0.9870517509272111,0.061386522075910145,0.9902702203792005,0.03466305189775368,0.705382114220277,0.07474825716498838,0.0,0.5001936483346243,0.9999999999999996,0.02517428350116189,0.999628593834587,0.010069713400464756,0.765125756274005,0.01471727343144849,0.9740301627815704,1.0E-6,0.0,0.5,0.9679651250270299,0.021688613477924088,0.7947094244334189,7.480797564851649E-6
24,"HSPB1",3315,0.9900614807611167,0.020139426800929512,0.9999999999999991,0.06584043377226956,0.9999999143476267,0.005034856700232378,0.9999999999999951,0.014136328427575524,0.13379407123999112,0.11793183578621223,0.0,0.5001936483346243,0.9999999999999991,0.02517428350116189,0.9999999995963237,0.0038729666924864447,0.8828290716606462,0.0036793183578621223,0.4164166645772061,0.008907823392718823,0.0,0.5,0.9999999989648997,0.002517428350116189,0.7216708364137882,9.352948844743025E-6
25,"DAXX",1616,0.9994627350018883,0.003098373353989156,1.0,0.06584043377226956,0.9991277655571933,0.027110766847405113,-1.0,0.0,0.42381368671480707,0.09353214562354764,0.5000488681654336,1.0E-6,0.9999526118931426,0.03756777691711851,0.9076686213866755,0.03292021688613478,0.6367262185171838,0.030596436870642913,0.0,0.5098760650658405,0.0,0.5,0.6904170744970604,0.053446940356312936,0.6882447693294448,1.191784832099696E-5
26,"MCM3",4172,0.9953496683668897,0.015491866769945779,0.9985156659940192,0.12645236250968242,0.9965804787250961,0.039310611928737416,-1.0,0.0,0.4637947023168775,0.09101471727343145,0.0,0.5001936483346243,0.9999999999999818,0.02517428350116189,0.9997954331122123,0.009101471727343146,0.8611780375397189,0.0056158017041053445,0.9740301627815704,1.0E-6,0.0,0.5,2.5875116900694027E-4,0.13632842757552285,0.6843127711074609,1.2615973023044624E-5
27,"BID",637,0.709447980241552,0.09043377226955848,1.0,0.06584043377226956,0.9978281856020362,0.03582494190549961,-1.0,0.0,0.9999439788766205,0.010650658404337723,0.5000488681654336,1.0E-6,0.9999231242060385,0.03969790859798606,0.9709945219011726,0.022075910147172733,0.8298073249131073,0.008326878388845856,0.0,0.5098760650658405,0.0,0.5,0.4873764355915227,0.07397366382649109,0.7140464651772945,1.2700345213167985E-5
28,"ECE1",1889,0.616156651559457,0.104570100697134,0.9999999954733623,0.06584043377226956,0.9997429103651516,0.018783888458559255,0.9999999999960347,0.014136328427575524,0.693552373870053,0.07591014717273431,0.0,0.5001936483346243,0.9999964964989179,0.028466305189775366,0.23689420302809164,0.12470952749806352,0.7814024387161997,0.013168086754453912,0.9740301627815704,1.0E-6,0.0,0.5,0.811998118262439,0.04144074360960496,0.7300742331867021,1.4420938715842269E-5
29,"GRN",2896,0.7554924640952877,0.07649109217660728,0.9999999999999991,0.06584043377226956,0.9999932971063908,0.007552285050348567,1.0,0.014136328427575524,0.9999999738084795,0.004260263361735089,0.0,0.5001936483346243,1.0,0.02517428350116189,0.9836993288186484,0.018783888458559255,0.9653561564760013,1.9364833462432224E-4,0.0,0.5098760650658405,0.0,0.5,0.9999999999999991,0.002517428350116189,0.7355306221604714,1.4429153215145263E-5
30,"TSC2",7249,0.9832983389733163,0.02498063516653757,0.9999999999999991,0.06584043377226956,0.9999995584967322,0.0052285050348567005,0.9999999996060555,0.014136328427575524,0.9999999979950076,0.004260263361735089,0.0,0.5001936483346243,0.9999999999928786,0.02517428350116189,0.9559455607238617,0.024399690162664602,0.6655510568598565,0.027110766847405113,0.2986578246783286,0.012974438419829589,0.0,0.5,0.9999999998419608,0.002517428350116189,0.744462937859705,1.4687596266771408E-5
31,"EGFR",1956,0.9999781147610813,7.74593338497289E-4,0.9999999999999996,0.06584043377226956,0.9999900821967926,0.008326878388845856,0.9999999999997518,0.014136328427575524,0.9999937837465174,0.006777691711851278,0.0,0.5001936483346243,0.9999999999999996,0.02517428350116189,0.9999999999999991,0.0038729666924864447,0.44502753870701706,0.06293570875290473,0.0,0.5098760650658405,0.0,0.5,0.9999999987476057,0.002517428350116189,0.7037513717209021,1.5449855456539652E-5
32,"GJA1",2697,0.9627194545071609,0.032532920216886134,0.9999999999999996,0.06584043377226956,0.9999997109081993,0.005034856700232378,0.9999999999996159,0.014136328427575524,0.999999694337953,0.004260263361735089,0.0,0.5001936483346243,0.9999999853105744,0.02517428350116189,0.933830972731405,0.027498063516653758,0.7195407810076788,0.020914020139426802,0.6618344308121097,0.004647560030983733,0.0,0.5,0.9993453716039365,0.007358636715724245,0.7773822836031067,1.5470910280090955E-5
33,"PUM2",23369,0.8268154099453343,0.06235476374903176,0.9999999988496736,0.06584043377226956,0.999918105588454,0.012974438419829589,-1.0,0.0,0.022903752246537915,0.1254841208365608,-1.0,0.0,0.9988440702128832,0.05790085205267235,0.9999568427145256,0.007164988381099922,0.7458612335578807,0.017428350116189,0.9740301627815704,1.0E-6,0.0,0.5,-1.0,0.0,0.7533210554883518,1.5644273480330817E-5
34,"HTT",3064,0.999508035084065,0.0029047250193648335,0.9999999999999996,0.06584043377226956,0.9999999989221121,0.005034856700232378,1.0,0.014136328427575524,0.999999999999996,0.004260263361735089,0.0,0.5001936483346243,0.9999999999999996,0.02517428350116189,0.9999994333420432,0.0038729666924864447,0.5396090865760454,0.04860573199070488,0.0,0.5098760650658405,0.0,0.5,0.999999999999837,0.002517428350116189,0.7116142268393717,1.6042259122439617E-5
35,"PINK1",65018,0.9998130494038755,0.0021301316808675446,0.9999999999999991,0.06584043377226956,0.9999995434231895,0.0052285050348567005,0.9997962308745787,0.024399690162664602,0.9999999925487868,0.004260263361735089,0.0,0.5001936483346243,0.999999999999988,0.02517428350116189,0.9937614791492915,0.015879163439194422,0.8104519765644393,0.011037955073586367,0.0,0.5098760650658405,0.0,0.5,0.9999999986256797,0.002517428350116189,0.7339283469074841,1.736311612188235E-5
36,"DDX3X",1654,0.9998676214134865,0.0019364833462432224,1.0,0.06584043377226956,0.999993709994752,0.007164988381099922,0.9999999408490723,0.014329976762199844,0.5819868982466769,0.08365608055770721,0.0,0.5001936483346243,0.9999999999999996,0.02517428350116189,0.9999999999999991,0.0038729666924864447,0.6191332720503435,0.03350116189000774,0.9416893485929606,0.0017428350116189002,0.0,0.5,0.4912489259718033,0.07358636715724244,0.7520444025654425,1.7780969794656265E-5
37,"NDRG1",10397,0.9130516677940045,0.046475600309837335,0.9999683141356952,0.09120836560805577,0.9999875256490218,0.008520526723470178,0.9999960260713927,0.0156855151045701,0.9999997224817653,0.004260263361735089,0.0,0.5001936483346243,0.999999894484881,0.02517428350116189,0.9994357873999644,0.010844306738962044,0.8540171185269659,0.005809450038729667,0.1638913875474142,0.014523625096824167,0.0,0.5,0.998086132759781,0.009682416731216111,0.7476824975108625,1.8928413688334977E-5
38,"AR",367,0.9989530707279703,0.0056158017041053445,0.9999999999999996,0.06584043377226956,0.9957047721341143,0.043377226955848176,0.9999999998440102,0.014136328427575524,0.9999999997612974,0.004260263361735089,0.0,0.5001936483346243,0.9999999999999991,0.02517428350116189,0.9994999671112023,0.010650658404337723,0.46061343274482625,0.0592563903950426,0.1638913875474142,0.014523625096824167,0.0,0.5,0.9999999999999956,0.002517428350116189,0.718465764589708,1.9238034945190385E-5
39,"ARID1A",8289,0.8758863446631976,0.051897753679318356,0.9999999493639407,0.06642137877614253,0.7919316077622335,0.14078233927188227,0.9999977655886301,0.014910921766072812,0.7780020158394308,0.06913245546088304,0.0,0.5001936483346243,0.999999705306646,0.02536793183578621,0.9921218722411491,0.016072811773818745,0.358079691036028,0.09024012393493416,0.9740301627815704,1.0E-6,-1.0,0.0,0.19673350223914887,0.10670023237800155,0.7708684469606261,2.004533065991243E-5
40,"APAF1",317,0.9952622178859224,0.015491866769945779,0.9999999999998717,0.06584043377226956,0.988219452439223,0.05983733539891557,-1.0,0.0,0.9999973843877399,0.0056158017041053445,0.5000488681654336,1.0E-6,0.9994685896438817,0.05073586367157242,0.33073881604080496,0.10941130906274206,0.42366111866473866,0.06564678543764524,0.0,0.5098760650658405,0.0,0.5,0.8825758075877699,0.032532920216886134,0.6754294518076533,2.0472598692533595E-5
41,"ERBB2",2064,0.999850949388887,0.0021301316808675446,0.9999999999999996,0.06584043377226956,0.9999932510633387,0.007552285050348567,0.9999999772798934,0.014136328427575524,0.999999996915407,0.004260263361735089,0.0,0.5001936483346243,0.9999999999999996,0.02517428350116189,0.9984283486404867,0.012199845081332301,0.6643823055840634,0.027110766847405113,0.0,0.5098760650658405,0.0,0.5,0.9999996093090682,0.002517428350116189,0.7219604992958168,2.0758781113183744E-5
42,"ATM",472,0.9976044119129763,0.009101471727343146,0.9999999999999991,0.06584043377226956,0.9242056820589625,0.09934159566227731,0.9999999998846056,0.014136328427575524,0.9999999913746548,0.004260263361735089,0.0,0.5001936483346243,0.9999999999999925,0.02517428350116189,0.9901647298224844,0.016266460108443067,0.7221458310575453,0.02072037180480248,0.3474234091526244,0.011037955073586367,0.0,0.5,0.9999999999838884,0.002517428350116189,0.75206708273902,2.2575193283413952E-5
43,"ABCA1",19,0.9999957923900563,3.872966692486445E-4,0.9999999999468064,0.06584043377226956,0.9962542897403259,0.041053446940356314,0.9999998079013631,0.014329976762199844,0.999312683393354,0.016266460108443067,0.0,0.5001936483346243,0.9999999999919154,0.02517428350116189,0.11493327399634148,0.14504260263361735,0.6865465887159594,0.025561580170410533,0.1638913875474142,0.014523625096824167,0.0,0.5,0.9999989744732338,0.002711076684740511,0.6822701921574241,2.31015821892111E-5
44,"SRPRB",58477,0.9349670008995694,0.0400852052672347,0.9974146832180387,0.13051897753679317,0.9916502463975734,0.055189775367931834,-1.0,0.0,0.023404264480239967,0.1254841208365608,0.0,0.5001936483346243,0.9999994286453014,0.02536793183578621,0.9705567063332833,0.022075910147172733,0.9008178889329834,0.002517428350116189,0.9740301627815704,1.0E-6,0.0,0.5,3.776883545860682E-5,0.13632842757552285,0.6346010112299335,2.5156767534895152E-5
45,"APC",324,0.9974632289733212,0.009488768396591789,1.0,0.06584043377226956,0.9999999903182408,0.005034856700232378,0.999999999749993,0.014136328427575524,0.9999962474223845,0.006003098373353989,0.0,0.5001936483346243,0.9999999999999996,0.02517428350116189,0.9954644642690352,0.014523625096824167,0.8876428538626286,0.0034856700232378003,0.0,0.5098760650658405,0.0,0.5,0.9995631751856456,0.006584043377226956,0.7403242440788325,2.538235108007214E-5
46,"LRRK2",120892,0.9999976899044053,3.872966692486445E-4,1.0,0.06584043377226956,1.0,0.005034856700232378,0.9999999999984119,0.014136328427575524,0.9999999887668372,0.004260263361735089,0.0,0.5001936483346243,1.0,0.02517428350116189,0.9999084679847956,0.008133230054221533,0.0,0.5739736638264911,0.0,0.5098760650658405,0.0,0.5,0.9999999999999956,0.002517428350116189,0.6666634170454663,2.559137098623321E-5
47,"INSR",3643,0.9999755209271686,7.74593338497289E-4,0.9999999999999996,0.06584043377226956,0.9999979132585892,0.006196746707978312,0.9999859017923017,0.018977536793183578,0.9999958118318754,0.006390395042602633,0.0,0.5001936483346243,0.9999999999994289,0.02517428350116189,0.8987085743277534,0.03427575522850503,0.6712965082296068,0.026723470178156468,0.0,0.5098760650658405,0.0,0.5,0.9999969516421369,0.0029047250193648335,0.7182735708967668,2.676519072697392E-5
48,"GNAS",2778,0.999502243415428,0.0029047250193648335,0.9999999999999996,0.06584043377226956,0.9999913756683962,0.008133230054221533,0.9999999999999996,0.014136328427575524,0.9999956105818179,0.006390395042602633,0.0,0.5001936483346243,0.9999999997367791,0.02517428350116189,0.8568845815636319,0.0400852052672347,0.9130530499023252,0.0013555383423702555,0.0,0.5098760650658405,0.0,0.5,0.9906691034282743,0.014329976762199844,0.7361508090532181,2.7508019945221562E-5
49,"CCS",9973,0.9989891534934929,0.005422153369481022,0.9999998219723055,0.06738962044926414,0.26525232490665757,0.24670797831138652,-1.0,0.0,0.17094306677381058,0.11270333075135554,0.5000488681654336,1.0E-6,0.9999999999999991,0.02517428350116189,0.7848076192691247,0.05034856700232378,0.22650755958471458,0.10708752904725019,0.0,0.5098760650658405,0.0,0.5,0.9995417073578347,0.006584043377226956,0.5945636537024027,2.8153264713282056E-5
