"Rank","GeneSymbol","GeneId","GO: Molecular Function Score","GO: Molecular Function pValue","GO: Biological Process Score","GO: Biological Process pValue","GO: Cellular Component Score","GO: Cellular Component pValue","Human Phenotype Score","Human Phenotype pValue","Mouse Phenotype Score","Mouse Phenotype pValue","Pathway Score","Pathway pValue","Pubmed Score","Pubmed pValue","Interaction Score","Interaction pValue","Gene Family Score","Gene Family pValue","Coexpression Score","Coexpression pValue","Coexpression Atlas Score","Coexpression Atlas pValue","Disease Score","Disease pValue","Average Score","Overall pValue"
1,"INSR",3643,0.9999994827630396,3.872966692486445E-4,0.9999999999999996,0.11057319907048799,0.999998564193557,0.011618900077459334,0.9999999999999996,0.04124709527498063,0.9999999999999996,0.06003098373353989,0.9999987251632542,0.003098373353989156,0.8424806582671714,0.197714949651433,0.7609981003745045,0.11289697908597986,0.5069739612795876,0.003292021688613478,0.9999999648124529,0.012199845081332301,0.999993344599309,0.019752130131680867,0.9999999999999996,0.023818745158791635,0.9589149822207611,3.2821735299615185E-6
2,"IGF1R",3480,0.9999626218505434,0.004453911696359412,0.9999999999999996,0.11057319907048799,0.9992249142783006,0.03814872192099148,0.9999999999995084,0.04124709527498063,0.9999999999999991,0.06003098373353989,0.9999984964854419,0.003098373353989156,0.8424806582671711,0.197714949651433,0.7609984278766821,0.11289697908597986,0.5069739612795876,0.003292021688613478,0.999999999648711,0.012199845081332301,0.7786917335222602,0.12064291247095275,0.9999999999999996,0.023818745158791635,0.9490844083076598,2.8108555779171596E-5
3,"FGFR4",2264,0.999874327325614,0.0077459333849728895,0.9999999999999996,0.11057319907048799,0.9720129086755669,0.09817970565453137,-1.0,0.0,0.9999999999999774,0.06003098373353989,0.9999999981099195,0.002517428350116189,0.8424806582671714,0.197714949651433,0.7609984278766821,0.11289697908597986,0.5069739612795876,0.003292021688613478,0.9999993512658966,0.012974438419829589,0.9999999999888605,0.015104570100697134,0.9999999999999991,0.023818745158791635,0.9538934484924187,3.613887738662669E-5
4,"NTRK2",4915,0.9999687791068254,0.0034856700232378003,1.0,0.11057319907048799,0.9999975458587158,0.012587141750580944,0.9959538113328739,0.04996127033307514,0.9999999999999996,0.06003098373353989,0.2907236830292203,0.06235476374903176,0.8424806582671711,0.197714949651433,0.7569946681019893,0.11347792408985283,0.5069739612795876,0.003292021688613478,0.9999607244730695,0.02691711851278079,0.9999989040495815,0.016653756777691712,0.9999999999999951,0.023818745158791635,0.9201230205133485,3.6248171921604566E-5
5,"TEK",7010,0.993836775972074,0.03582494190549961,0.9999999999999991,0.11057319907048799,0.9999999771978242,0.009101471727343146,1.0,0.04124709527498063,0.9999999999902034,0.06003098373353989,0.9983214747499839,0.007358636715724245,0.8424806582671711,0.197714949651433,0.7166294680998799,0.1185127807900852,0.5069739612795876,0.003292021688613478,0.9999644258642247,0.026336173508907823,0.9998868858662829,0.029240898528272656,0.9999999999343124,0.023818745158791635,0.9561162500667706,4.010587117486697E-5
6,"STAT3",6774,0.99999989497685,3.872966692486445E-4,0.9999999999999996,0.11057319907048799,0.9997382976600275,0.030790085205267236,1.0,0.04124709527498063,0.9999999999999991,0.06003098373353989,0.9999999935905907,0.002517428350116189,0.8424806582671711,0.197714949651433,0.7609984278766828,0.11289697908597986,0.0,0.5075522850503486,0.9999993687976195,0.012974438419829589,0.997269321977475,0.0453137103020914,0.9999999999999996,0.023818745158791635,0.916542791240479,4.5701133162823204E-5
7,"LRP2",4036,0.9832011448018445,0.046669248644461654,1.0,0.11057319907048799,0.9999999999819109,0.0087141750580945,1.0,0.04124709527498063,0.9999999999999996,0.06003098373353989,0.7348114197203132,0.029047250193648334,0.8424806582671711,0.197714949651433,0.760951715310371,0.11289697908597986,0.65718944276766,0.0017428350116189002,0.9995024409811211,0.04473276529821844,0.9999999999999996,0.015104570100697134,0.9999999999999307,0.023818745158791635,0.9588081005768355,5.413401798459727E-5
8,"COL3A1",1281,0.9700909888585243,0.05383423702556158,1.0,0.11057319907048799,0.9983078480934566,0.046475600309837335,1.0,0.04124709527498063,0.9999999999974118,0.06003098373353989,0.989511431702421,0.009876065065840434,0.8424806582671711,0.197714949651433,0.7450483432709193,0.11483346243222309,0.4882945011155399,0.004453911696359412,0.9999999998774163,0.012199845081332301,0.9999998898907372,0.015104570100697134,0.9999999818374773,0.023818745158791635,0.9547164691625936,6.296732759514256E-5
9,"ACTC1",70,0.9953986193613207,0.03292021688613478,0.9999999996561579,0.11057319907048799,0.999995656432556,0.013555383423702556,0.9999951735260242,0.04318357862122386,0.9999999341388877,0.060418280402788536,0.5690484064257019,0.040278853601859024,0.8424806582671714,0.197714949651433,0.7609984278766821,0.11289697908597986,0.7605278013440848,7.74593338497289E-4,0.9983261812245705,0.05964368706429125,0.9999999996312735,0.015104570100697134,0.9976593064362457,0.04860573199070488,0.9592146057965459,6.977163235977191E-5
10,"ESR1",2099,0.9999999187171114,3.872966692486445E-4,0.9999999999999996,0.11057319907048799,0.9998891516202343,0.026529821843532145,0.9999999999999996,0.04124709527498063,0.9999999999999996,0.06003098373353989,0.9955767824189374,0.0087141750580945,0.8424806582671711,0.197714949651433,0.7609984278766825,0.11289697908597986,0.0,0.5075522850503486,0.9999999997046022,0.012199845081332301,0.9943487255266313,0.05073586367157242,0.9999999999999996,0.023818745158791635,0.9162426523074344,7.090290417166578E-5
