"Rank","GeneSymbol","GeneId","GO: Molecular Function Score","GO: Molecular Function pValue","GO: Biological Process Score","GO: Biological Process pValue","GO: Cellular Component Score","GO: Cellular Component pValue","Human Phenotype Score","Human Phenotype pValue","Mouse Phenotype Score","Mouse Phenotype pValue","Pathway Score","Pathway pValue","Pubmed Score","Pubmed pValue","Interaction Score","Interaction pValue","Gene Family Score","Gene Family pValue","Coexpression Score","Coexpression pValue","Coexpression Atlas Score","Coexpression Atlas pValue","Disease Score","Disease pValue","Average Score","Overall pValue"
1,"NCOA3",8202,0.9174056720973927,0.09178931061192874,0.9999999999999991,0.11057319907048799,0.9975282874825132,0.05305964368706429,-1.0,0.0,0.9999999999999996,0.04512006196746708,0.6114675192713811,0.036986831913245546,0.9553109312001662,0.17041053446940357,0.9999993358551833,0.010069713400464756,0.8695746277258447,1.0E-6,0.9999997744982547,0.05964368706429125,0.11906164984730004,0.17931835786212239,0.9999994849971378,0.01723470178156468,0.911690164072889,1.2225895158368694E-5
2,"ACAD9",28976,0.9169774223490867,0.09178931061192874,0.9992386776267816,0.15317583268783888,0.9981987184400254,0.04918667699457785,0.9999999968944153,0.03524399690162665,-1.0,0.0,0.8137936285140166,0.02498063516653757,0.9553058745148257,0.17041053446940357,0.9999999999571266,0.009682416731216111,0.9209968297667793,1.0E-6,0.9999923136720237,0.0784275755228505,0.21793775820363429,0.16402013942680094,0.9953015264822053,0.0453137103020914,0.9385827106860517,1.6315916918641094E-5
3,"SLC16A2",6567,0.9102697675798076,0.09295120061967467,0.9999937972431573,0.11890007745933386,0.6971809391705845,0.18977536793183578,0.9999999999999996,0.03524399690162665,0.9905879607954454,0.0861735089078234,0.23114249348445787,0.06506584043377227,0.955020708308085,0.1707978311386522,0.0,0.5906274206041828,0.7609103703413406,1.0E-6,0.99999989683687,0.05886909372579396,0.9631937977885093,0.028272656855151047,0.9999998764571776,0.016847405112316034,0.8391458076297461,4.3865070601945E-5
4,"DMD",1756,0.9174090919740863,0.09178931061192874,1.0,0.11057319907048799,0.9999999203462856,0.010457010069713401,0.9999999999999942,0.03524399690162665,0.9999999999999996,0.04512006196746708,0.09645709435086182,0.07900852052672347,0.9553109312001666,0.17041053446940357,0.9362736982111888,0.06409759876065066,0.4015950748410982,0.010844306738962044,0.9999978056919496,0.06777691711851278,0.9999908118073525,0.0017428350116189002,0.9999999999999996,0.016847405112316034,0.8910820368004688,6.408073351094057E-5
5,"SCN5A",6331,0.9174119178668441,0.09178931061192874,0.9999999999999991,0.11057319907048799,0.9999999991131481,0.010457010069713401,0.9999999999999991,0.03524399690162665,0.999994367267519,0.05209140201394268,0.9200976177862433,0.0191711851278079,0.9553109312001666,0.17041053446940357,0.9117381262481812,0.07106893880712625,0.7063365872975067,1.9364833462432224E-4,0.9130301968060907,0.18880712625871418,0.09181407561773511,0.18590240123934934,0.9999946116493957,0.019752130131680867,0.9099756240760982,8.242022580784436E-5
6,"PDGFRA",5156,0.9174025471408369,0.09178931061192874,0.9999999999999996,0.11057319907048799,0.9998150955297725,0.02885360185902401,0.9999999999999996,0.03524399690162665,0.9999999999999991,0.04512006196746708,0.9201296185993728,0.0191711851278079,0.9553109312001666,0.17041053446940357,0.9981328932788215,0.02691711851278079,0.5069739612795876,0.005034856700232378,0.9999999999826734,0.05790085205267235,0.9435691318645913,0.0313710302091402,0.9999999999999991,0.016847405112316034,0.9564439603645853,8.362588536448001E-5
7,"MECOM",2122,0.917391989376913,0.09178931061192874,0.9999999999999991,0.11057319907048799,0.9181423341269076,0.11599535243996902,0.9999999237916247,0.03524399690162665,0.9999999999999991,0.04512006196746708,0.48296906654071214,0.04395817195972115,0.9553109312001137,0.17041053446940357,0.9926801970130924,0.03621223857474826,0.5286949378048603,0.004841208365608056,0.9999870655884419,0.08191324554608831,0.9999912889734852,0.0017428350116189002,0.9999939588885822,0.019752130131680867,0.9339754722976902,8.668072475781496E-5
8,"KDM5B",10765,0.8856962459136434,0.09934159566227731,0.9999999999999991,0.11057319907048799,0.9443113797983672,0.10592563903950426,-1.0,0.0,0.9999975868473601,0.049573973663826494,0.0,0.5426026336173508,0.9553109244663478,0.17041053446940357,0.9984332024880207,0.025948876839659178,0.8025532119819103,1.0E-6,0.9999998749173235,0.05886909372579396,0.07291462687855478,0.18841982958946554,0.9989605454628797,0.03446940356312936,0.8205093403774201,9.580064681191658E-5
9,"ASH1L",55870,0.9167938682423691,0.09178931061192874,1.0,0.11057319907048799,0.9564624837263215,0.10069713400464755,-1.0,0.0,0.999999999992133,0.04512006196746708,0.21334315653652416,0.06525948876839659,0.9552293566345836,0.1706041828040279,0.5966223021698208,0.12277304415182029,0.8582766779385367,1.0E-6,0.9997460379185031,0.10786212238574748,0.3827748549565774,0.13206816421378775,0.9605224912906227,0.06506584043377227,0.8807683428017389,9.954330116268562E-5
10,"KMT2A",4297,0.9174116896771702,0.09178931061192874,1.0,0.11057319907048799,0.9443113797983672,0.10592563903950426,0.9999999999999996,0.03524399690162665,0.9999999999999996,0.04512006196746708,0.21334315653652416,0.06525948876839659,0.9553109312001666,0.17041053446940357,0.9999884893154996,0.012780790085205267,0.7339018125912438,1.9364833462432224E-4,0.9999992114251295,0.06293570875290473,9.999980162119214E-5,0.20352439969016267,0.9999999998803948,0.016847405112316034,0.8497651579929765,1.0021987163721935E-4
11,"ACADVL",37,0.9169774223490867,0.09178931061192874,0.9999999999999805,0.11057319907048799,0.9983684461521263,0.04860573199070488,0.9999999999960898,0.03524399690162665,0.9999999996962005,0.04512006196746708,0.9183585202970683,0.0191711851278079,0.9553109311057789,0.17041053446940357,0.9999691105531875,0.014523625096824167,0.6795165517551041,7.74593338497289E-4,0.999999999997188,0.05790085205267235,0.36768969728109613,0.1349728892331526,0.9944127000448711,0.046669248644461654,0.9400893187802618,1.0155920851584455E-4
12,"IGF1R",3480,0.9173880553739218,0.09178931061192874,0.9999999999999991,0.11057319907048799,0.9999260957516244,0.02420604182804028,0.9999999999750766,0.03524399690162665,0.9999999999999996,0.04512006196746708,0.92012667961758,0.0191711851278079,0.9553109312001671,0.17041053446940357,0.9999999999999645,0.009682416731216111,0.5069739612795876,0.005034856700232378,0.9999999999999778,0.05790085205267235,0.05302515095037556,0.18996901626646012,0.9999999999999996,0.016847405112316034,0.8947669856617936,1.0517158120970649E-4
13,"GRIN3A",116443,0.9174125693300732,0.09178931061192874,0.9999999999999991,0.11057319907048799,0.9999999823742893,0.010457010069713401,-1.0,0.0,0.9893264456361226,0.0861735089078234,0.8190881950401667,0.024593338497288925,0.9553109312001671,0.17041053446940357,0.9865753176474691,0.04066615027110767,0.7399252579466489,1.9364833462432224E-4,0.8692893315269489,0.1950038729666925,0.9962928026802896,0.013168086754453912,0.8580426240545468,0.09082106893880712,0.9571048807886574,1.0698158372546285E-4
14,"KIT",3815,0.9173844526327084,0.09178931061192874,0.9999999999999991,0.11057319907048799,0.9992558612985766,0.038536018590240126,0.9999999999999996,0.03524399690162665,0.9999999999999991,0.04512006196746708,0.9201153150725516,0.0191711851278079,0.9553109312001666,0.17041053446940357,0.9887088550975006,0.03989155693261038,0.5069739612795876,0.005034856700232378,0.9999999999984861,0.05790085205267235,0.8814314932847042,0.04202168861347792,0.9999999999999996,0.016847405112316034,0.953314460370017,1.2109613325561597E-4
15,"SCN4A",6329,0.9172320785121264,0.09178931061192874,0.9999999971872661,0.11057319907048799,0.9995686866783425,0.03388845855925639,1.0,0.03524399690162665,0.9999999999163984,0.04512006196746708,0.8761075029057966,0.02188226181254841,0.9544313629143985,0.17118512780790085,0.7922580900720159,0.09198295894655306,0.7063365872975067,1.9364833462432224E-4,0.9854647492348484,0.1585979860573199,7.393614491853933E-4,0.20352439969016267,0.9999971813182915,0.018783888458559255,0.8826117588124393,1.345946777995266E-4
