Rank,ID,Name,Interactant count,Score
1,2100,ESR2,2292,2.87E-03
2,4914,NTRK1,1971,2.86E-03
3,2177,FANCD2,1662,1.96E-03
4,1956,EGFR,1281,1.65E-03
5,4343,MOV10,1033,1.61E-03
6,7157,TP53,1183,1.44E-03
7,9343,EFTUD2,1304,1.29E-03
8,63891,RNF123,779,1.22E-03
9,672,BRCA1,1089,1.19E-03
10,84708,LNX1,389,1.10E-03
11,1080,CFTR,770,1.01E-03
12,10614,HEXIM1,853,1.01E-03
13,4171,MCM2,978,9.64E-04
14,2033,EP300,581,9.55E-04
15,10551,AGR2,833,9.36E-04
16,51574,LARP7,982,9.16E-04
17,821,CANX,561,8.13E-04
18,83987,CCDC8,554,8.12E-04
19,26270,FBXO6,624,7.74E-04
20,2335,FN1,785,7.67E-04
21,1540,CYLD,638,7.54E-04
22,3309,HSPA5,572,7.51E-04
23,2146,EZH2,745,7.46E-04
24,2130,EWSR1,688,7.31E-04
25,1499,CTNNB1,696,7.24E-04
26,23043,TNIK,287,7.21E-04
27,9820,CUL7,660,6.82E-04
28,988,CDC5L,629,6.79E-04
29,3192,HNRNPU,577,6.67E-04
30,23363,OBSL1,645,6.51E-04
31,2932,GSK3B,387,6.40E-04
32,6714,SRC,419,6.19E-04
33,54542,RC3H2,602,5.85E-04
34,213,ALB,222,5.77E-04
35,5728,PTEN,348,5.75E-04
36,10618,TGOLN2,461,5.75E-04
37,26123,TCTN3,318,5.74E-04
38,1025,CDK9,553,5.67E-04
39,1108,CHD4,668,5.66E-04
40,9448,MAP4K4,71,5.63E-04
41,149041,RC3H1,597,5.55E-04
42,25793,FBXO7,522,5.49E-04
43,1915,EEF1A1,460,5.48E-04
44,6117,RPA1,521,5.42E-04
45,3676,ITGA4,519,5.40E-04
46,7158,TP53BP1,412,5.22E-04
47,28960,DCPS,374,5.12E-04
48,8945,BTRC,407,5.08E-04
49,3065,HDAC1,604,5.05E-04
50,3315,HSPB1,450,5.02E-04
51,9512,PMPCB,86,4.99E-04
52,5597,MAPK6,444,4.97E-04
