Rank,ID,Name,Interactant count,Score
1,7706,TRIM25,2395,3.19E-03
2,351,APP,2202,3.11E-03
3,2100,ESR2,2292,2.71E-03
4,4914,NTRK1,1971,2.37E-03
5,112399,EGLN3,1271,1.54E-03
6,8726,EED,1357,1.41E-03
7,7514,XPO1,1278,1.39E-03
8,10482,NXF1,1132,1.34E-03
9,3320,HSP90AA1,881,1.12E-03
10,3312,HSPA8,837,1.06E-03
11,10551,AGR2,833,1.01E-03
12,1080,CFTR,770,9.13E-04
13,51574,LARP7,982,8.86E-04
14,6733,SRPK2,467,8.38E-04
15,2099,ESR1,800,8.33E-04
16,821,CANX,561,8.24E-04
17,10614,HEXIM1,853,8.23E-04
18,8454,CUL1,746,7.94E-04
19,6045,RNF2,788,7.81E-04
20,55054,ATG16L1,724,7.33E-04
21,5460,POU5F1,571,7.05E-04
22,2130,EWSR1,688,7.00E-04
23,9820,CUL7,660,6.65E-04
24,3309,HSPA5,572,6.65E-04
25,23363,OBSL1,645,6.27E-04
26,4088,SMAD3,386,6.15E-04
27,83987,CCDC8,554,6.13E-04
28,70,ACTC1,576,6.09E-04
29,10618,TGOLN2,461,5.96E-04
30,1107,CHD3,645,5.95E-04
31,22938,SNW1,547,5.95E-04
32,4193,MDM2,516,5.93E-04
33,1540,CYLD,638,5.93E-04
34,6657,SOX2,432,5.83E-04
35,23512,SUZ12,544,5.71E-04
36,10488,CREB3,221,5.68E-04
37,2801,GOLGA2,457,5.68E-04
38,10075,HUWE1,560,5.64E-04
39,6117,RPA1,521,5.61E-04
40,23038,WDTC1,448,5.58E-04
41,5597,MAPK6,444,5.38E-04
42,54542,RC3H2,602,4.94E-04
43,3676,ITGA4,519,4.94E-04
44,51741,WWOX,468,4.87E-04
45,54101,RIPK4,328,4.81E-04
46,8924,HERC2,400,4.79E-04
47,7532,YWHAG,459,4.71E-04
48,5970,RELA,375,4.70E-04
49,3916,LAMP1,364,4.68E-04
50,8453,CUL2,468,4.57E-04
51,3066,HDAC2,395,4.54E-04
52,23028,KDM1A,414,4.44E-04
53,57154,SMURF1,407,4.42E-04
54,409,ARRB2,390,4.33E-04
55,8065,CUL5,475,4.30E-04
56,4627,MYH9,376,4.28E-04
57,7874,USP7,374,4.26E-04
58,8878,SQSTM1,338,4.18E-04
59,5594,MAPK1,345,3.99E-04
60,1738,DLD,387,3.98E-04
61,6310,ATXN1,260,3.97E-04
62,5499,PPP1CA,380,3.95E-04
63,867,CBL,299,3.93E-04
64,8517,IKBKG,359,3.92E-04
65,5163,PDK1,289,3.83E-04
66,1639,DCTN1,271,3.82E-04
67,57520,HECW2,303,3.81E-04
68,10013,HDAC6,345,3.74E-04
69,2023,ENO1,332,3.74E-04
70,2547,XRCC6,354,3.73E-04
71,10413,YAP1,373,3.72E-04
72,6194,RPS6,446,3.72E-04
73,6774,STAT3,312,3.67E-04
74,23411,SIRT1,270,3.62E-04
75,2091,FBL,415,3.60E-04
76,3725,JUN,301,3.60E-04
77,3609,ILF3,382,3.60E-04
78,2322,FLT3,146,3.58E-04
79,23043,TNIK,287,3.56E-04
80,2534,FYN,264,3.55E-04
81,145508,CEP128,277,3.54E-04
82,6597,SMARCA4,291,3.51E-04
83,9659,PDE4DIP,297,3.49E-04
84,9656,MDC1,320,3.48E-04
85,10576,CCT2,312,3.47E-04
86,9924,PAN2,368,3.42E-04
87,9146,HGS,257,3.36E-04
88,1460,CSNK2B,308,3.35E-04
89,506,ATP5F1B,239,3.35E-04
90,1642,DDB1,318,3.34E-04
91,10980,COPS6,326,3.33E-04
92,7283,TUBG1,283,3.32E-04
93,26136,TES,287,3.30E-04
94,1398,CRK,291,3.29E-04
95,55072,RNF31,319,3.28E-04
96,2908,NR3C1,271,3.24E-04
97,4670,HNRNPM,379,3.24E-04
98,23197,FAF2,258,3.22E-04
99,7082,TJP1,138,3.12E-04
100,117178,SSX2IP,237,3.10E-04
101,5925,RB1,272,3.09E-04
102,4851,NOTCH1,247,3.09E-04
103,55006,TRMT61B,240,3.07E-04
104,3608,ILF2,332,3.04E-04
105,213,ALB,222,3.02E-04
106,154,ADRB2,262,3.02E-04
107,7124,TNF,283,3.02E-04
108,7520,XRCC5,295,2.99E-04
109,2597,GAPDH,272,2.97E-04
110,8266,UBL4A,308,2.96E-04
111,4771,NF2,260,2.95E-04
112,4544,MTNR1B,133,2.94E-04
113,120892,LRRK2,265,2.90E-04
114,4005,LMO2,209,2.89E-04
115,2810,SFN,290,2.87E-04
116,51474,LIMA1,274,2.87E-04
117,1627,DBN1,260,2.85E-04
118,960,CD44,143,2.82E-04
119,3169,FOXA1,295,2.82E-04
120,6059,ABCE1,254,2.78E-04
121,149628,PYHIN1,266,2.78E-04
122,5371,PML,268,2.77E-04
123,3480,IGF1R,202,2.75E-04
124,10524,KAT5,260,2.75E-04
125,84790,TUBA1C,242,2.75E-04
126,94081,SFXN1,203,2.74E-04
127,4086,SMAD1,191,2.74E-04
128,155061,ZNF746,294,2.72E-04
129,580,BARD1,283,2.72E-04
130,8881,CDC16,166,2.71E-04
131,7334,UBE2N,240,2.70E-04
132,4904,YBX1,330,2.70E-04
133,3838,KPNA2,234,2.69E-04
134,3728,JUP,221,2.68E-04
135,11060,WWP2,202,2.67E-04
136,6187,RPS2,324,2.67E-04
137,6709,SPTAN1,240,2.66E-04
138,7185,TRAF1,234,2.64E-04
139,9782,MATR3,313,2.64E-04
140,3164,NR4A1,117,2.63E-04
141,8850,KAT2B,206,2.63E-04
142,29979,UBQLN1,246,2.62E-04
143,2017,CTTN,147,2.62E-04
144,861,RUNX1,239,2.62E-04
145,23524,SRRM2,276,2.60E-04
146,5599,MAPK8,212,2.60E-04
147,1891,ECH1,141,2.57E-04
148,56339,METTL3,232,2.56E-04
149,3778,KCNMA1,195,2.55E-04
150,3181,HNRNPA2B1,314,2.54E-04
151,10694,CCT8,228,2.53E-04
152,30011,SH3KBP1,230,2.51E-04
153,11091,WDR5,223,2.49E-04
154,10059,DNM1L,219,2.47E-04
155,55611,OTUB1,220,2.45E-04
156,10963,STIP1,210,2.45E-04
157,79084,WDR77,278,2.44E-04
158,3187,HNRNPH1,302,2.41E-04
159,5702,PSMC3,234,2.41E-04
160,6386,SDCBP,225,2.41E-04
161,22948,CCT5,233,2.40E-04
162,6141,RPL18,288,2.38E-04
163,10197,PSME3,237,2.37E-04
164,83743,GRWD1,271,2.37E-04
165,2264,FGFR4,99,2.37E-04
166,6189,RPS3A,280,2.36E-04
167,23450,SF3B3,285,2.35E-04
168,23281,MTUS2,210,2.35E-04
169,472,ATM,210,2.33E-04
170,1856,DVL2,185,2.32E-04
171,5739,PTGIR,73,2.32E-04
172,23191,CYFIP1,191,2.32E-04
173,7205,TRIP6,210,2.31E-04
174,3881,KRT31,209,2.31E-04
175,1937,EEF1G,214,2.30E-04
176,4093,SMAD9,136,2.28E-04
177,2923,PDIA3,172,2.27E-04
178,60491,NIF3L1,126,2.25E-04
179,3310,HSPA6,101,2.25E-04
180,3276,PRMT1,252,2.24E-04
181,5538,PPT1,226,2.23E-04
182,9919,SEC16A,194,2.23E-04
183,10726,NUDC,145,2.23E-04
184,7086,TKT,189,2.21E-04
185,64750,SMURF2,144,2.21E-04
186,64927,TTC23,128,2.21E-04
187,6788,STK3,97,2.21E-04
188,6993,DYNLT1,130,2.19E-04
189,678,ZFP36L2,195,2.19E-04
190,26135,SERBP1,259,2.18E-04
191,3959,LGALS3BP,175,2.18E-04
192,5747,PTK2,168,2.17E-04
193,51548,SIRT6,184,2.17E-04
194,6711,SPTBN1,198,2.17E-04
195,9229,DLGAP1,167,2.16E-04
196,4646,MYO6,211,2.15E-04
197,682,BSG,190,2.13E-04
198,10513,APPBP2,123,2.12E-04
199,4722,NDUFS3,184,2.12E-04
200,25820,ARIH1,204,2.11E-04
201,3416,IDE,86,2.11E-04
202,6794,STK11,150,2.11E-04
203,8829,NRP1,71,2.09E-04
204,11315,PARK7,187,2.08E-04
205,10036,CHAF1A,217,2.07E-04
206,11064,CNTRL,161,2.07E-04
207,7088,TLE1,119,2.07E-04
208,10989,IMMT,188,2.07E-04
209,9217,VAPB,176,2.06E-04
210,79139,DERL1,126,2.05E-04
211,6908,TBP,188,2.05E-04
212,2058,EPRS1,237,2.05E-04
213,79959,CEP76,159,2.04E-04
214,405,ARNT,178,2.04E-04
215,1969,EPHA2,158,2.03E-04
216,116986,AGAP2,192,2.02E-04
217,10432,RBM14,246,2.00E-04
218,4543,MTNR1A,159,2.00E-04
219,152185,SPICE1,156,2.00E-04
220,841,CASP8,182,2.00E-04
221,2274,FHL2,156,1.98E-04
222,23352,UBR4,141,1.98E-04
223,302,ANXA2,171,1.98E-04
224,10383,TUBB4B,195,1.97E-04
225,89885,FATE1,57,1.97E-04
226,51520,LARS1,206,1.95E-04
227,5936,RBM4,233,1.94E-04
228,9188,DDX21,248,1.93E-04
229,11051,NUDT21,194,1.92E-04
230,5335,PLCG1,172,1.92E-04
231,652,BMP4,104,1.92E-04
232,58477,SRPRB,154,1.92E-04
233,54507,ADAMTSL4,112,1.91E-04
234,57120,GOPC,136,1.91E-04
235,5445,PON2,87,1.91E-04
236,4773,NFATC2,190,1.90E-04
237,25844,YIPF3,101,1.90E-04
238,23020,SNRNP200,208,1.90E-04
239,51142,CHCHD2,109,1.90E-04
240,6195,RPS6KA1,130,1.89E-04
241,10992,SF3B2,245,1.89E-04
242,3383,ICAM1,182,1.89E-04
243,84866,TMEM25,84,1.88E-04
244,6885,MAP3K7,166,1.88E-04
245,2783,GNB2,165,1.88E-04
246,222484,LNX2,142,1.87E-04
247,9636,ISG15,191,1.87E-04
248,9099,USP2,110,1.86E-04
249,6602,SMARCD1,137,1.86E-04
250,5245,PHB,179,1.86E-04
251,79968,WDR76,211,1.86E-04
252,55660,PRPF40A,209,1.85E-04
253,7080,NKX2-1,175,1.85E-04
254,1822,ATN1,104,1.84E-04
255,2771,GNAI2,152,1.84E-04
256,10956,OS9,113,1.83E-04
257,598,BCL2L1,175,1.83E-04
258,6829,SUPT5H,172,1.81E-04
259,7517,XRCC3,157,1.81E-04
260,8237,USP11,164,1.81E-04
261,2931,GSK3A,164,1.81E-04
262,3316,HSPB2,162,1.80E-04
263,4287,ATXN3,149,1.80E-04
264,4172,MCM3,170,1.79E-04
265,10521,DDX17,194,1.79E-04
266,5034,P4HB,164,1.78E-04
267,6169,RPL38,154,1.78E-04
268,8661,EIF3A,146,1.77E-04
269,3305,HSPA1L,163,1.77E-04
270,9851,KIAA0753,108,1.77E-04
271,4292,MLH1,152,1.77E-04
272,5901,RAN,175,1.76E-04
273,10598,AHSA1,190,1.76E-04
274,4843,NOS2,168,1.76E-04
275,5859,QARS1,215,1.76E-04
276,1869,E2F1,167,1.76E-04
277,10452,TOMM40,130,1.75E-04
278,23788,MTCH2,144,1.75E-04
279,5903,RANBP2,158,1.75E-04
280,5174,PDZK1,58,1.75E-04
281,51084,CRYL1,48,1.74E-04
282,2710,GK,51,1.74E-04
283,3832,KIF11,155,1.73E-04
284,51512,GTSE1,147,1.73E-04
285,51185,CRBN,155,1.73E-04
286,3643,INSR,125,1.73E-04
287,4692,NDN,130,1.73E-04
288,132320,SCLT1,154,1.72E-04
289,10919,EHMT2,168,1.72E-04
290,57062,DDX24,185,1.72E-04
291,8678,BECN1,128,1.71E-04
292,6605,SMARCE1,148,1.70E-04
293,1894,ECT2,158,1.70E-04
294,9532,BAG2,149,1.70E-04
295,10159,ATP6AP2,113,1.70E-04
296,4772,NFATC1,150,1.69E-04
297,6256,RXRA,142,1.69E-04
298,6224,RPS20,203,1.68E-04
299,5478,PPIA,151,1.67E-04
300,1399,CRKL,142,1.67E-04
301,10768,AHCYL1,168,1.67E-04
302,9260,PDLIM7,157,1.66E-04
303,4001,LMNB1,136,1.66E-04
304,6453,ITSN1,122,1.65E-04
305,7414,VCL,131,1.65E-04
306,5689,PSMB1,146,1.65E-04
307,2060,EPS15,156,1.65E-04
308,9112,MTA1,137,1.65E-04
309,85302,FBF1,146,1.64E-04
310,84062,DTNBP1,137,1.64E-04
311,8480,RAE1,146,1.64E-04
312,1410,CRYAB,120,1.63E-04
313,5610,EIF2AK2,194,1.63E-04
314,5329,PLAUR,114,1.62E-04
315,2040,STOM,135,1.62E-04
316,1434,CSE1L,155,1.61E-04
317,5718,PSMD12,155,1.60E-04
318,6742,SSBP1,137,1.60E-04
319,5359,PLSCR1,143,1.59E-04
320,373,TRIM23,165,1.59E-04
321,6497,SKI,128,1.59E-04
322,386677,KRTAP10-1,75,1.58E-04
323,5494,PPM1A,110,1.58E-04
324,7434,VIPR2,97,1.57E-04
325,3107,HLA-C,90,1.57E-04
326,9815,GIT2,96,1.56E-04
327,163183,SYNE4,92,1.56E-04
328,7059,THBS3,69,1.56E-04
329,79026,AHNAK,131,1.55E-04
330,5829,PXN,127,1.55E-04
331,6181,RPLP2,184,1.55E-04
332,10969,EBNA1BP2,146,1.55E-04
333,7289,TULP3,58,1.55E-04
334,79797,ZNF408,91,1.55E-04
335,10514,MYBBP1A,172,1.54E-04
336,3337,DNAJB1,115,1.54E-04
337,1022,CDK7,142,1.54E-04
338,57705,WDFY4,136,1.52E-04
339,10949,HNRNPA0,199,1.52E-04
340,9513,FXR2,162,1.52E-04
341,3654,IRAK1,147,1.52E-04
342,51199,NIN,125,1.51E-04
343,9094,UNC119,123,1.51E-04
344,4854,NOTCH3,72,1.50E-04
345,1612,DAPK1,146,1.50E-04
346,1832,DSP,133,1.50E-04
347,57332,CBX8,146,1.50E-04
348,539,ATP5PO,138,1.50E-04
349,2194,FASN,145,1.50E-04
350,5687,PSMA6,168,1.50E-04
351,10628,TXNIP,132,1.50E-04
352,5604,MAP2K1,146,1.50E-04
353,9733,SART3,193,1.50E-04
354,847,CAT,117,1.49E-04
355,9589,WTAP,137,1.48E-04
356,9612,NCOR2,139,1.48E-04
357,5058,PAK1,123,1.48E-04
358,1739,DLG1,115,1.48E-04
359,4361,MRE11,149,1.48E-04
