Rank,ID,Name,Interactant count,Score
1,2177,FANCD2,1662,2.01E-03
2,6047,RNF4,1253,1.86E-03
3,1956,EGFR,1281,1.71E-03
4,8452,CUL3,1246,1.42E-03
5,7514,XPO1,1278,1.39E-03
6,9343,EFTUD2,1304,1.36E-03
7,4343,MOV10,1033,1.26E-03
8,63891,RNF123,779,1.17E-03
9,3312,HSPA8,837,1.10E-03
10,3320,HSP90AA1,881,9.85E-04
11,1080,CFTR,770,9.46E-04
12,213,ALB,222,7.75E-04
13,1457,CSNK2A1,562,7.50E-04
14,3065,HDAC1,604,7.35E-04
15,55054,ATG16L1,724,7.18E-04
16,1017,CDK2,701,7.17E-04
17,2130,EWSR1,688,6.88E-04
18,999,CDH1,655,6.78E-04
19,56257,MEPCE,749,6.70E-04
20,55011,PIH1D1,652,6.63E-04
21,26123,TCTN3,318,6.45E-04
22,6472,SHMT2,461,6.37E-04
23,51547,SIRT7,678,6.34E-04
24,23327,NEDD4L,215,6.30E-04
25,9820,CUL7,660,6.24E-04
26,5597,MAPK6,444,6.14E-04
27,10075,HUWE1,560,6.03E-04
28,83987,CCDC8,554,5.99E-04
29,1107,CHD3,645,5.86E-04
30,988,CDC5L,629,5.84E-04
31,23363,OBSL1,645,5.70E-04
32,10594,PRPF8,560,5.70E-04
33,1108,CHD4,668,5.66E-04
34,84708,LNX1,389,5.45E-04
35,22938,SNW1,547,5.38E-04
36,4193,MDM2,516,5.30E-04
37,6117,RPA1,521,5.03E-04
38,2801,GOLGA2,457,4.95E-04
39,79922,MRM1,268,4.88E-04
40,3676,ITGA4,519,4.87E-04
41,7529,YWHAB,430,4.85E-04
42,6118,RPA2,495,4.80E-04
43,3091,HIF1A,392,4.75E-04
44,1213,CLTC,352,4.64E-04
45,7158,TP53BP1,412,4.63E-04
46,476,ATP1A1,192,4.58E-04
47,29979,UBQLN1,246,4.55E-04
48,8945,BTRC,407,4.50E-04
49,54101,RIPK4,328,4.39E-04
50,8878,SQSTM1,338,4.34E-04
51,8453,CUL2,468,4.32E-04
52,3190,HNRNPK,513,4.27E-04
53,7412,VCAM1,455,4.26E-04
54,50943,FOXP3,415,4.18E-04
55,7917,BAG6,320,4.18E-04
56,409,ARRB2,390,4.16E-04
57,2521,FUS,446,4.15E-04
58,6647,SOD1,335,4.15E-04
59,5566,PRKACA,286,4.01E-04
60,708,C1QBP,336,4.01E-04
61,9659,PDE4DIP,297,3.99E-04
62,7112,TMPO,387,3.92E-04
63,23043,TNIK,287,3.91E-04
64,7203,CCT3,324,3.91E-04
65,8626,TP63,281,3.91E-04
66,10488,CREB3,221,3.90E-04
67,6119,RPA3,418,3.89E-04
68,10980,COPS6,326,3.85E-04
69,10014,HDAC5,358,3.83E-04
70,4627,MYH9,376,3.82E-04
71,57520,HECW2,303,3.77E-04
72,10413,YAP1,373,3.72E-04
73,23197,FAF2,258,3.69E-04
74,997,CDC34,301,3.66E-04
75,2547,XRCC6,354,3.64E-04
76,55662,HIF1AN,280,3.61E-04
77,6929,TCF3,276,3.57E-04
78,28960,DCPS,374,3.56E-04
79,29079,MED4,370,3.55E-04
80,5430,POLR2A,347,3.54E-04
81,3609,ILF3,382,3.52E-04
82,2064,ERBB2,298,3.50E-04
83,4691,NCL,406,3.40E-04
84,3303,HSPA1A,324,3.39E-04
85,25913,POT1,215,3.38E-04
86,54998,AURKAIP1,269,3.35E-04
87,5595,MAPK3,277,3.33E-04
88,6667,SP1,268,3.27E-04
89,1639,DCTN1,271,3.27E-04
