,Gene_Name,p-val,collapsing_rank
0,USPL1,0.503323353,1
1,SLC7A8,0.170380195,2
2,C14ORF142,0.194900346,3
3,CCDC167,0.614529641,4
4,ZMAT5,0.674259637,5
5,TAS1R1,0.142949543,6
6,NFX1,0.053507037,7
7,MAX,1.0,8
8,CUL3,1.0,9
9,GPR85,0.411463209,10
10,DOK6,0.7207910009999999,11
11,RASSF2,0.013822876999999999,12
12,PRKAR1B,1.0,13
13,ARMC8,0.8450728270000001,14
14,BCAR1,1.0,15
15,POLR2B,0.832604116,16
16,MTERFD3,0.388646654,17
17,STK32A,1.0,18
18,C1QB,0.28967049300000003,19
19,ACTR8,0.8590796279999999,20
20,LHFPL2,1.0,21
21,TDG,1.0,22
22,MEN1,1.0,23
23,AKT3,0.31384042300000004,24
24,TUBG1,1.0,25
25,SLC25A34,0.40785587100000004,26
26,IL1RAPL1,0.068857649,27
27,FANCG,0.648153931,28
28,LGALS3BP,0.05334730099999999,29
29,EMCN,0.43806347799999995,30
30,OPN4,0.630733028,31
31,PALM,0.664154545,32
32,METTL2A,0.147365744,33
33,ENY2,0.412909863,34
34,ZMAT3,0.618222641,35
35,ZNF292,0.08591100199999999,36
36,GPRIN1,0.893196865,37
37,OR3A1,0.48016981200000003,38
38,GRHL3,0.405670332,39
39,EPHB1,0.891516544,40
40,PAPPA2,0.531476324,41
41,TSPAN9,0.271056062,42
42,MYBPC2,0.825565549,43
43,KRTAP4-2,0.73767284,44
44,HTRA3,0.5937912870000001,45
45,SNX10,0.134067019,46
46,FGF5,0.854287355,47
47,LSM4,0.754963396,48
48,CEP290,0.193859015,49
49,MUC21,0.212081407,50
50,SIX4,0.40016519100000003,51
51,PLA2G2D,0.143264331,52
52,SCRG1,1.0,53
53,HADHA,0.213149969,54
54,CRTC3,0.057880794000000006,55
55,MARCH5,1.0,56
56,PLA2G7,0.668916453,57
57,PPAPDC2,0.10455231,58
58,ERICH1,0.586827934,59
59,IP6K1,0.149149485,60
60,SYCE1,0.8547508509999999,61
61,C12ORF74,1.0,62
