CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)	EdgeCase_EVS	OEratio%tile_EVS	RVIS_ExAC_0.1%(AnyPopn)	%RVIS_ExAC_0.1%(AnyPopn)	RVIS_ExAC_0.01%	%RVIS_ExAC_0.01%
SAMD11	SAMD11	SAMD11	SAMD11	SAMD11	2.274410941	98.9036805	Unassessed	Unassessed	2.236001545	98.69887356	1.858299815	97.7892898
NOC2L	NOC2L	NOC2L	NOC2L	NOC2L	0.231569638	65.47195952	N	59.16646591	0.517857263	79.74820794	0.84218743	88.675381
PLEKHN1	PLEKHN1	PLEKHN1	PLEKHN1	PLEKHN1	1.879999506	97.96397807	N	70.47097085	1.414317819	95.51231854	2.046862038	98.22299861
ISG15	ISG15	ISG15	ISG15	ISG15	0.410434686	74.54370219	N	87.77403035	0.188587855	64.42985362	0.296885219	69.81507138
TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18	1.24272779	94.1569785	Unassessed	Unassessed	1.072852278	91.97638696	1.086652745	92.89199446
TNFRSF4	TNFRSF4	TNFRSF4	TNFRSF4	TNFRSF4	0.691137693	84.63947955	Unassessed	Unassessed	0.382317271	74.36299018	0.258537449	67.52605265
SDF4	SDF4	SDF4	SDF4	SDF4	0.500554195	78.2482983	N	13.40640809	0.060968376	56.26769472	-0.338179613	29.32955846
UBE2J2	UBE2J2	UBE2J2	UBE2J2	UBE2J2	-0.406034518	25.93819649	Y	5.956396049	-0.461124389	23.63110656	-0.563706193	19.34823203
ACAP3	ACAP3	ACAP3	ACAP3	ACAP3	-0.749376982	14.05337028	N	23.34377258	-0.430080697	25.04668393	-0.555930671	19.63737124
PUSL1	PUSL1	PUSL1	PUSL1	PUSL1	0.351699689	71.79085597	Unassessed	Unassessed	0.229380783	66.79718089	0.698580025	85.24787663
CPSF3L	CPSF3L	CPSF3L	CPSF3L	CPSF3L	-1.203961754	6.517679658	N	15.02047699	-0.900751126	10.13191976	-0.898494743	10.46924884
DVL1	DVL1	DVL1	DVL1	DVL1	-0.531325214	20.4927414	N	39.22548783	-0.536906926	20.57104994	-0.1906628	37.97963978
MXRA8	MXRA8	MXRA8	MXRA8	MXRA8	-0.202191696	36.75682188	Unassessed	Unassessed	-0.324470507	30.63670863	-0.388866217	26.79356665
AURKAIP1	AURKAIP1	AURKAIP1	AURKAIP1	AURKAIP1	0.369040313	72.61008373	N	89.17128403	0.416580351	75.85085236	0.149336086	60.93006445
MRPL20	MRPL20	MRPL20	MRPL20	MRPL20	-0.203595404	36.63032347	Y	52.76439412	0.01606278	53.02090236	-0.144456084	40.90115053
VWA1	VWA1	VWA1	VWA1	VWA1	0.317801809	70.13432926	Unassessed	Unassessed	0.159645151	62.49021143	0.363822094	73.36305042
ATAD3B	ATAD3B	ATAD3B	ATAD3B	ATAD3B	2.490540243	99.11451117	N	60.73837629	2.984031778	99.39160292	2.582059858	99.08439251
ATAD3A	ATAD3A	ATAD3A	ATAD3A	ATAD3A	1.057439959	91.83784109	N	34.25680559	0.620950995	82.97090537	1.871964371	97.8435034
SSU72	SSU72	SSU72	SSU72	SSU72	-0.202032699	36.79898801	Y	0.168634064	-0.162591006	40.60598759	-0.188648085	38.22058912
SLC35E2	SLC35E2	SLC35E2	SLC35E2	SLC35E2	0.47527016	77.18209746	Unassessed	Unassessed	0.45326849	77.3326908	0.603710987	82.50105415
GNB1	GNB1	GNB1	GNB1	GNB1	-0.401504674	26.1731221	Y	0.596241869	-0.502322471	21.99265105	-0.353753948	28.4922595
