Molecule ID,ext,External ID,Gene,Name,Source acc,Regulation (case/control),Validation,Scores
A841B,,ATG9B_HUMAN,ATG9B;APG9L2;NOS3AS,Autophagy-related protein 9b,A_32_P154053,ratio: 9.73,ratio_log2fc: 3.28,,p-value: 4.53E-08
A7335,,PDE7A_HUMAN,PDE7;PDE7A,Phosphodiesterase 7A,A_24_P360529,ratio: 9.67,ratio_log2fc: 3.27,,p-value: 4.12E-05
A4971,,MFAP5_HUMAN,MFAP5;MAGP2,Microfibrillar-associated protein 5 precursor,A_23_P87700,ratio: 9.64,ratio_log2fc: 3.27,,p-value: 9.48E-04
AZ110,,ENSG00000199047,MIR378A;MIR378,Homo sapiens miR-378a stem-loop,A_32_P31832,ratio: 9.44,ratio_log2fc: 3.24,,p-value: 1.05E-04
A8472,,RGS11_HUMAN,RGS11,Regulator of G-protein signaling 11,A_24_P325118,ratio: 9.39,ratio_log2fc: 3.23,,p-value: 2.15E-06
A2524,X,PAP1L_HUMAN,PABPC1L;PABPL1,Poly(A)-binding protein;cytoplasmic 1,A_24_P92183,ratio: 9.14,ratio_log2fc: 3.19,,p-value: 1.72E-04
A9965,,ITLN1_HUMAN,ITLN1;INTL;ITLN,Intelectin 1,A_23_P95790,ratio: 88.88,ratio_log2fc: 6.47,,p-value: 2.10E-07
A274E,,S100P_HUMAN,S100P;S100E,S-100P protein,A_23_P58266,ratio: 80.72,ratio_log2fc: 6.33,,p-value: 3.97E-14
A2360,X,RHG01_HUMAN,ARHGAP1;CDC42GAP;RHOGAP1,Rho-GTPase-activating protein 1,A_23_P44057,ratio: 8.95,ratio_log2fc: 3.16,,p-value: 7.44E-08
A9007,,RGMA_HUMAN,RGMA;RGM,Repulsive guidance molecule A,A_24_P253454,ratio: 8.86,ratio_log2fc: 3.15,,p-value: 8.04E-08
A963I,,TRI50_HUMAN,TRIM50;TRIM50A,Tripartite motif protein 50,A_23_P308136,ratio: 8.85,ratio_log2fc: 3.14,,p-value: 1.09E-05
B6564,,GOG8H_HUMAN,GOLGA8H,Golgin subfamily A member 8H,A_32_P2392,ratio: 8.83,ratio_log2fc: 3.14,,p-value: 2.13E-05
B0442,,AGA10_HUMAN,AGAP10;BMS1P2;CTGLF7,Arf-GAP with GTPase;ANK repeat and PH domain-containing protein 10,A_23_P138394,ratio: 8.75,ratio_log2fc: 3.13,,p-value: 2.61E-07
A411C,,S2610_HUMAN,SLC26A10,Solute carrier family 26;member 10,A_23_P116642,ratio: 8.66,ratio_log2fc: 3.12,,p-value: 3.51E-05
A841H,,PILRB_HUMAN,PILRB;FDFACT;PP1551,Activating receptor PILRbeta,A_24_P403244,ratio: 8.56,ratio_log2fc: 3.10,,p-value: 5.18E-05
A0976,,PPR3B_HUMAN,PPP1R3B;PPP1R4,Protein phosphatase 1;regulatory (inhibitor) subunit 3B,A_24_P746044,ratio: 8.54,ratio_log2fc: 3.09,,p-value: 2.97E-06
A156A,,TKNK_HUMAN,TAC3;NKNB;UNQ585/PRO1155,Neurokinin B precursor,A_23_P2283,ratio: 8.52,ratio_log2fc: 3.09,,p-value: 1.63E-06
A2007,,HSP71_HUMAN,HSPA1A;HSPA1B;HSPA1,Heat shock 70 kDa protein 1,A_24_P123616,ratio: 8.34,ratio_log2fc: 3.06,,p-value: 1.92E-04
A6481,X,F263_HUMAN,PFKFB3;PFK2;IPFK2,6-phosphofructo-2-kinase/fructose-2;6-biphosphatase 3,A_24_P206604,ratio: 8.33,ratio_log2fc: 3.06,,p-value: 7.83E-04
A1844,,HBD_HUMAN,HBD,Hemoglobin delta chain,A_24_P75190,ratio: 8.32,ratio_log2fc: 3.06,,p-value: 6.29E-05
A843B,,B3A4_HUMAN,SLC4A9;AE4;SBC5,Anion exchange protein 4,A_23_P257176,ratio: 8.32,ratio_log2fc: 3.06,,p-value: 5.03E-05
A164B,,MLXPL_HUMAN,MLXIPL;BHLHD14;MIO,Williams-Beuren syndrome chromosome region 14 protein,A_24_P200831,ratio: 8.27,ratio_log2fc: 3.05,,p-value: 1.29E-03
A5802,,AMY1_HUMAN,AMY1B;AMY1A;AMY1,Alpha-amylase 1B;salivary precursor,A_23_P23611,ratio: 8.01,ratio_log2fc: 3.00,,p-value: 1.89E-04
B0442,,AGA10_HUMAN,AGAP10;BMS1P2;CTGLF7,Arf-GAP with GTPase;ANK repeat and PH domain-containing protein 10,A_32_P19382,ratio: 7.97,ratio_log2fc: 2.99,,p-value: 6.18E-04
B0442,,AGA10_HUMAN,AGAP10;BMS1P2;CTGLF7,Arf-GAP with GTPase;ANK repeat and PH domain-containing protein 10,A_32_P41526,ratio: 7.92,ratio_log2fc: 2.99,,p-value: 2.92E-06
A6991,,MDH1B_HUMAN,MDH1B,Putative Malate dehydrogenase 1B,A_24_P942822,ratio: 7.8,ratio_log2fc: 2.96,,p-value: 2.68E-06
A6152,,CP2D6_HUMAN,CYP2D6;CYP2D7P1;CYP2D7P,Cytochrome P450 2D6,A_23_P155123,ratio: 7.88,ratio_log2fc: 2.98,,p-value: 2.75E-07
A2563,,CIRBP_HUMAN,CIRBP;A18HNRNP;CIRP,Cold-inducible RNA-binding protein,A_23_P377616,ratio: 7.85,ratio_log2fc: 2.97,,p-value: 3.46E-03
A753G,,HEMK1_HUMAN,HEMK1;HEMK,HEMK methyltransferase family member 1,A_24_P268729,ratio: 7.83,ratio_log2fc: 2.97,,p-value: 4.38E-06
A5667,,ACO11_HUMAN,ACOT11;BFIT;THEA,Acyl-coenzyme A thioesterase 11,A_24_P945165,ratio: 7.72,ratio_log2fc: 2.95,,p-value: 6.88E-04
A252J,,ZDH11_HUMAN,ZDHHC11;UNQ598;ZNF399,Zinc finger DHHC domain containing protein 11,A_23_P256008,ratio: 7.66,ratio_log2fc: 2.94,,p-value: 2.70E-06
