Gene_Name	RVIS
A1BG	23.51
A1CF	28.01
A2LD1	66.32
A2M	60.76
A2ML1	98.53
A3GALT2	NA
A4GALT	33.34
A4GNT	92.04
AAAS	9.96
AACS	6.04
AADAC	46.92
AADACL2	31.93
AADACL3	97.92
AADACL4	17.32
AADAT	44.89
AAED1	65.56
AAGAB	55.61
AAK1	15.91
AAMP	57.15
AANAT	48.54
AAR2	32.06
AARD	NA
AARS	16.12
AARS2	92.37
AARSD1	48.78
AASDH	91.37
AASDHPPT	27.42
AASS	10.12
AATF	33.47
AATK	NA
ABAT	30.74
ABCA1	36.29
ABCA10	91.15
ABCA12	32.27
ABCA13	99.79
ABCA2	0.12
ABCA3	3.71
ABCA4	86.31
ABCA5	86.96
ABCA6	70.44
ABCA7	1.46
ABCA8	89.47
ABCA9	53.73
ABCB1	60.76
ABCB10	43.91
ABCB11	6.39
ABCB4	20.02
ABCB5	99.7
ABCB6	28.26
ABCB7	88.69
ABCB8	71.64
ABCB9	2.16
ABCC1	11.29
ABCC10	2.51
ABCC11	96.04
ABCC12	92.07
ABCC2	90.09
ABCC3	85.21
ABCC4	67.72
ABCC5	1.82
ABCC6	83.54
ABCC8	1.57
ABCC9	1.82
ABCD1	20.54
ABCD2	46.92
ABCD3	16.44
ABCD4	87.72
ABCE1	35.42
ABCF1	37.54
ABCF2	23.51
ABCF3	13.15
ABCG1	4.43
ABCG2	39.17
ABCG4	48.69
ABCG5	92.65
ABCG8	86.38
ABHD1	45.49
ABHD10	82.66
ABHD11	26.53
ABHD12	42.06
ABHD12B	91.26
ABHD13	31.46
ABHD14A	87.06
ABHD14A-ACY1	NA
ABHD14B	67.92
ABHD15	36.07
ABHD16A	30.56
ABHD16B	NA
ABHD2	51.92
ABHD3	38.82
ABHD4	8.75
ABHD5	25.56
ABHD6	22.09
ABHD8	38.82
ABI1	31.69
ABI2	28.63
ABI3	51.92
ABI3BP	78.05
ABL1	2.85
ABL2	8.6
ABLIM1	36.28
ABLIM2	3.54
ABLIM3	6.29
ABP1	18.25
ABR	7.8
ABRA	38.98
ABRACL	56.25
ABT1	34.32
ABTB1	9.27
ABTB2	8.17
AC003101.1	NA
AC004076.9	NA
AC004381.6	NA
AC004466.1	NA
AC004899.1	NA
AC005358.1	NA
AC005609.1	NA
AC006435.1	NA
AC007040.11	NA
AC007390.5	NA
AC010327.2	NA
AC010336.1	NA
AC010441.1	NA
AC011484.1	NA
AC011997.1	NA
AC012123.1	NA
AC012493.2	NA
AC013449.1	NA
AC015989.2	NA
AC018470.1	NA
AC018816.3	NA
AC018867.2	NA
AC020922.1	NA
AC022400.2	NA
AC022532.1	NA
AC026703.1	NA
AC040160.1	NA
AC074212.3	NA
AC079210.1	NA
AC087645.1	NA
AC093157.1	NA
AC103809.2	NA
AC106876.2	NA
AC110615.1	NA
AC114494.1	NA
AC129492.6	NA
ACAA1	58.85
ACAA2	18.72
ACACA	2.96
ACACB	1.78
ACAD10	20.05
ACAD11	82.9
ACAD8	27.88
ACAD9	11.36
ACADL	29.16
ACADM	35.99
ACADS	39.11
ACADSB	26.73
ACADVL	55.79
ACAN	93.77
ACAP1	54.03
ACAP2	17.91
ACAP3	29.49
ACAT1	20.26
ACAT2	28.93
ACBD3	64.51
ACBD4	78.59
ACBD5	19.73
ACBD6	25.15
ACBD7	64.11
ACCS	71.57
ACCSL	42.23
ACD	18.14
ACE	18.91
ACE2	89.14
ACER1	51.92
ACER2	65.76
ACER3	58.26
ACHE	18.14
ACIN1	24.71
ACLY	13.1
ACMSD	26.53
ACN9	72.01
ACO1	7.24
ACO2	8.47
ACOT1	NA
ACOT11	85.86
ACOT12	64.82
ACOT13	73.11
ACOT2	NA
ACOT4	71.41
ACOT6	81.22
ACOT7	13.45
ACOT8	62
ACOT9	77.7
ACOX1	63.57
ACOX2	18.96
ACOX3	12.63
ACOXL	97.2
ACP1	70.26
ACP2	60.47
ACP5	74.58
ACP6	88.74
ACPL2	28.01
ACPP	17.91
ACPT	37.54
ACR	17.91
ACRBP	15.2
ACRC	29.43
ACRV1	60.09
ACSBG1	28.2
ACSBG2	96.48
ACSF2	40.45
ACSF3	10.54
ACSL1	11.36
ACSL3	63.49
ACSL4	19.31
ACSL5	70.64
ACSL6	16.63
ACSM1	62.17
ACSM2A	76.51
ACSM2B	81.71
ACSM3	93.85
ACSM4	23.57
ACSM5	99.33
ACSS1	9.32
ACSS2	22.7
ACSS3	25.64
ACTA1	32.62
ACTA2	33.97
ACTB	15.62
ACTBL2	89.24
ACTC1	38.28
ACTG1	1.91
ACTG2	28.63
ACTL10	NA
ACTL6A	71.27
ACTL6B	30.07
ACTL7A	43.98
ACTL7B	33.34
ACTL8	48.69
ACTL9	73.54
ACTN1	4.71
ACTN2	2.47
ACTN4	14.78
ACTR10	35.75
ACTR1A	28.63
ACTR1B	29.16
ACTR2	46.2
ACTR3	62.74
ACTR3B	25.15
ACTR3C	78.95
ACTR5	70.58
ACTR6	35.75
ACTR8	17.31
ACTRT1	75.43
ACTRT2	79.46
ACTRT3	90.01
ACVR1	21.41
ACVR1B	26.23
ACVR1C	50.01
ACVR2A	30.07
ACVR2B	12.88
ACVRL1	8
ACY1	73.54
ACY3	36.17
ACYP1	51.04
ACYP2	59.76
ADA	46.92
ADAD1	37.32
ADAD2	63.65
ADAL	70.26
ADAM10	27.69
ADAM11	7.43
ADAM12	54.16
ADAM15	19.01
ADAM17	82.78
ADAM18	82.35
ADAM19	89.57
ADAM2	88.87
ADAM20	44.03
ADAM21	45.57
ADAM22	19.93
ADAM23	50.45
ADAM28	86.85
ADAM29	62.14
ADAM30	32.23
ADAM32	75.63
ADAM33	87.69
ADAM7	62.21
ADAM8	NA
ADAM9	38.98
ADAMDEC1	94.72
ADAMTS1	59.17
ADAMTS10	4.78
ADAMTS12	88.75
ADAMTS13	83.42
ADAMTS14	19.87
ADAMTS15	84.75
ADAMTS16	84.77
ADAMTS17	1.26
ADAMTS18	47
ADAMTS19	19.93
ADAMTS2	2.22
ADAMTS20	13.58
ADAMTS3	16.14
ADAMTS4	60.71
ADAMTS5	69.62
ADAMTS6	18.9
ADAMTS7	98.68
ADAMTS8	84.74
ADAMTS9	1.08
