Gene_Name	LoF_FDR_ExAC
A1BG	0.8095814
A1CF	0.009642604
A2LD1	N/A
A2M	0.000246125
A2ML1	0.4551833
A3GALT2	0.9993496
A4GALT	0.4309956
A4GNT	0.03822979
AAAS	0.2678406
AACS	0.8807252
AADAC	0.4790128
AADACL2	0.4652944
AADACL3	0.7786481
AADACL4	0.438909
AADAT	0.2884422
AAED1	1
AAGAB	0.02228274
AAK1	5.95412E-06
AAMP	0.1158129
AANAT	0.6393392
AAR2	0.7420775
AARD	0.4264196
AARS	0.001017451
AARS2	0.04389605
AARSD1	0.6728425
AASDH	0.009887263
AASDHPPT	0.1620603
AASS	0.1296416
AATF	0.3323063
AATK	0.000478051
ABAT	0.0180015
ABCA1	5.93476E-07
ABCA10	0.2731323
ABCA12	8.24194E-08
ABCA13	0.501588
ABCA2	4.97824E-10
ABCA3	0.01145775
ABCA4	0.09224178
ABCA5	0.003440299
ABCA6	0.05808861
ABCA7	0.9087648
ABCA8	0.7954278
ABCA9	0.4304292
ABCB1	2.54293E-06
ABCB10	0.9085424
ABCB11	0.027034
ABCB4	0.003240021
ABCB5	0.02894172
ABCB6	0.798394
ABCB7	0.00375411
ABCB8	0.2442444
ABCB9	0.1872093
ABCC1	0.000114387
ABCC10	0.4823498
ABCC11	0.7201479
ABCC12	0.8637593
ABCC2	0.4715324
ABCC3	0.2498831
ABCC4	0.000393038
ABCC5	3.74355E-05
ABCC6	0.003287414
ABCC8	0.3814666
ABCC9	0.02691294
ABCD1	0.007149064
ABCD2	0.5771439
ABCD3	7.47017E-06
ABCD4	0.3905739
ABCE1	6.05448E-05
ABCF1	0.1344725
ABCF2	0.000222806
ABCF3	0.02648419
ABCG1	0.0832122
ABCG2	0.7120368
ABCG4	0.5329384
ABCG5	0.9428245
ABCG8	0.7728014
ABHD1	1
ABHD10	0.2760746
ABHD11	0.7969103
ABHD12	0.7892025
ABHD12B	0.9993496
ABHD13	0.04338055
ABHD14A	0.8295235
ABHD14A-ACY1	0.542708
ABHD14B	0.4550991
