Entrez Id,Gene Symbol,Description,Exp. # of eQTLs,Pr. of no eQTL,FDR
64167,ERAP2,endoplasmic reticulum aminopeptidase 2,1.06,1.70E-42,1.70E-42
125150,ZSWIM7,zinc finger SWIM-type containing 7,1.03,3.28E-42,2.49E-42
9185,REPS2,RALBP1 associated Eps domain containing 2,1,7.81E-40,2.62E-40
101928820,LINC02535,long intergenic non-protein coding RNA 2535,1.17,4.03E-37,1.01E-37
100422737,LINC02532,long intergenic non-protein coding RNA 2532,1.01,1.23E-36,3.27E-37
117854,TRIM6,tripartite motif containing 6,2.33,3.63E-36,8.77E-37
126969,SLC44A3,solute carrier family 44 member 3,2.48,1.22E-35,2.50E-36
389941,C1QL3,complement C1q like 3,1.06,1.07E-33,1.36E-34
2169,FABP2,fatty acid binding protein 2,1.06,1.87E-33,3.28E-34
387066,SNHG5,small nucleolar RNA host gene 5,1.01,2.31E-33,5.26E-34
55258,THNSL2,threonine synthase like 2,2.03,3.36E-33,7.84E-34
339804,C2ORF74,chromosome 2 open reading frame 74,1.22,3.93E-31,3.35E-32
84545,MRPL43,mitochondrial ribosomal protein L43,1.03,5.04E-31,6.97E-32
2947,GSTM3,glutathione S-transferase mu 3,1.08,7.76E-31,1.20E-31
29103,DNAJC15,DnaJ heat shock protein family (Hsp40) member C15,1.98,4.83E-30,4.34E-31
8263,F8A1,coagulation factor VIII associated 1,1.91,3.67E-29,2.70E-30
127294,MYOM3,myomesin 3,1.01,6.72E-29,6.49E-30
644246,KANSL1-AS1,KANSL1 antisense RNA 1,1.9,7.46E-29,1.03E-29
3123,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",2.16,1.26E-28,1.64E-29
79919,C2ORF54,chromosome 2 open reading frame 54,1.63,3.10E-28,3.10E-29
312,ANXA13,annexin A13,2.63,4.67E-28,5.18E-29
55556,ENOSF1,enolase superfamily member 1,1.3,6.96E-28,8.11E-29
1380,CR2,complement C3d receptor 2,1,2.71E-27,1.95E-28
10550,ARL6IP5,ADP ribosylation factor like GTPase 6 interacting protein 5,1.01,1.68E-26,8.88E-28
9104,RGN,regucalcin,1.12,2.58E-26,1.88E-27
192286,HIGD2A,HIG1 hypoxia inducible domain family member 2A,1.05,5.57E-26,3.96E-27
2329,FMO4,flavin containing monooxygenase 4,1.16,2.97E-25,1.48E-26
10388,SYCP2,synaptonemal complex protein 2,1.03,4.09E-25,2.89E-26
1636,ACE,angiotensin I converting enzyme,1.04,6.28E-25,4.96E-26
3127,HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",1.87,8.00E-25,7.46E-26
55020,TTC38,tetratricopeptide repeat domain 38,1.3,1.11E-24,1.08E-25
28,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",2.1,2.00E-24,1.67E-25
53938,PPIL3,peptidylprolyl isomerase like 3,1.05,2.20E-24,2.29E-25
3107,HLA-C,"major histocompatibility complex, class I, C",2.43,3.11E-24,3.13E-25
5092,PCBD1,pterin-4 alpha-carbinolamine dehydratase 1,1.06,6.60E-24,4.93E-25
100507537,DWORF,DWARF open reading frame,1.04,1.27E-23,8.33E-25
400566,C17ORF97,chromosome 17 open reading frame 97,1.04,1.33E-23,1.17E-24
26275,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,1.19,2.25E-23,1.73E-24
283310,OTOGL,otogelin like,1.01,3.62E-23,2.62E-24
3948,LDHC,lactate dehydrogenase C,1.2,4.54E-23,3.68E-24
2635,GBP3,guanylate binding protein 3,1.47,6.52E-23,5.18E-24
90416,CCDC32,coiled-coil domain containing 32,2.35,1.26E-22,8.05E-24
2322,FLT3,fms related tyrosine kinase 3,1.01,2.87E-22,1.45E-23
148811,PM20D1,peptidase M20 domain containing 1,1.74,3.75E-22,2.27E-23
26519,TIMM10,translocase of inner mitochondrial membrane 10,1.05,3.95E-22,3.10E-23
57179,KIAA1191,KIAA1191,1.02,5.15E-22,4.15E-23
642946,FLVCR1-AS1,FLVCR1 antisense RNA 1 (head to head),1.02,6.70E-22,5.49E-23
55629,PNRC2,proline rich nuclear receptor coactivator 2,1.01,7.61E-22,6.96E-23
4502,MT2A,metallothionein 2A,1.4,8.10E-22,8.47E-23
2483,FRG1,FSHD region gene 1,2.01,1.01E-21,1.03E-22
6133,RPL9,ribosomal protein L9,1.05,1.22E-21,1.25E-22
2250,FGF5,fibroblast growth factor 5,1.01,1.34E-21,1.48E-22
3105,HLA-A,"major histocompatibility complex, class I, A",3.17,1.46E-21,1.73E-22
219927,MRPL21,mitochondrial ribosomal protein L21,2,1.65E-21,2.01E-22
64847,SPATA20,spermatogenesis associated 20,1.68,2.61E-21,2.44E-22
5445,PON2,paraoxonase 2,1.01,5.14E-21,3.32E-22
114815,SORCS1,sortilin related VPS10 domain containing receptor 1,1.46,6.11E-21,4.33E-22
57834,CYP4F11,cytochrome P450 family 4 subfamily F member 11,2.57,7.45E-21,5.54E-22
5924,RASGRF2,Ras protein specific guanine nucleotide releasing factor 2,1.02,1.06E-20,7.24E-22
55612,FERMT1,fermitin family member 1,1.75,2.06E-20,1.06E-21
340156,MYLK4,myosin light chain kinase family member 4,1.79,2.65E-20,1.47E-21
7364,UGT2B7,UDP glucuronosyltransferase family 2 member B7,2,3.90E-20,2.08E-21
116842,LEAP2,liver enriched antimicrobial peptide 2,1.03,4.03E-20,2.68E-21
8404,SPARCL1,SPARC like 1,1.08,5.93E-20,3.57E-21
3773,KCNJ16,potassium voltage-gated channel subfamily J member 16,1.06,1.37E-19,5.62E-21
350,APOH,apolipoprotein H,1.92,1.56E-19,7.89E-21
348932,SLC6A18,solute carrier family 6 member 18,3.02,2.62E-19,1.17E-20
8334,HIST1H2AC,histone cluster 1 H2A family member c,1.01,2.84E-19,1.57E-20
284541,CYP4A22,cytochrome P450 family 4 subfamily A member 22,1.01,3.00E-19,1.98E-20
55812,SPATA7,spermatogenesis associated 7,1.07,3.09E-19,2.39E-20
100093630,SNHG8,small nucleolar RNA host gene 8,1.11,3.27E-19,2.82E-20
51635,DHRS7,dehydrogenase/reductase 7,1.12,3.45E-19,3.26E-20
84288,EFCAB2,EF-hand calcium binding domain 2,1.48,7.02E-19,4.18E-20
4043,LRPAP1,LDL receptor related protein associated protein 1,2.12,8.38E-19,5.26E-20
388335,TMEM220,transmembrane protein 220,1.02,3.24E-18,9.51E-20
127707,KLHDC7A,kelch domain containing 7A,2.47,3.63E-18,1.42E-19
345,APOC3,apolipoprotein C3,1.58,4.13E-18,1.93E-19
728780,ANKDD1B,ankyrin repeat and death domain containing 1B,2.14,4.35E-18,2.47E-19
27163,NAAA,N-acylethanolamine acid amidase,2.98,5.50E-18,3.13E-19
1174,AP1S1,adaptor related protein complex 1 sigma 1 subunit,1.02,7.69E-18,4.05E-19
115024,NT5C3B,"5'-nucleotidase, cytosolic IIIB",1.1,7.81E-18,4.97E-19
102724515,LINC01291,long intergenic non-protein coding RNA 1291,1.02,9.65E-18,6.08E-19
643224,TUBBP5,tubulin beta pseudogene 5,1.22,9.85E-18,7.20E-19
27344,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor,1.01,1.50E-17,8.89E-19
146456,TMED6,transmembrane p24 trafficking protein 6,2.01,2.23E-17,1.14E-18
11181,TREH,trehalase,1.22,3.05E-17,1.48E-18
8904,CPNE1,copine 1,1,3.14E-17,1.83E-18
5002,SLC22A18,solute carrier family 22 member 18,1.07,5.48E-17,2.43E-18
4055,LTBR,lymphotoxin beta receptor,1,6.92E-17,3.18E-18
2683,B4GALT1,"beta-1,4-galactosyltransferase 1",2.04,1.16E-16,4.43E-18
89765,RSPH1,radial spoke head 1 homolog,1.02,1.46E-16,5.99E-18
102467146,MAFTRR,MAF transcriptional regulator RNA,2.05,2.01E-16,8.12E-18
83982,IFI27L2,interferon alpha inducible protein 27 like 2,1.1,2.78E-16,1.10E-17
54979,HRASLS2,HRAS like suppressor 2,1.12,2.87E-16,1.40E-17
56667,MUC13,"mucin 13, cell surface associated",1,2.89E-16,1.69E-17
677775,SCARNA5,small Cajal body-specific RNA 5,1.07,4.14E-16,2.10E-17
2244,FGB,fibrinogen beta chain,1.01,5.08E-16,2.60E-17
219,ALDH1B1,aldehyde dehydrogenase 1 family member B1,2,8.28E-16,3.42E-17
4093,SMAD9,SMAD family member 9,1.07,8.78E-16,4.27E-17
34,ACADM,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain",1.55,8.89E-16,5.12E-17
51205,ACP6,"acid phosphatase 6, lysophosphatidic",1.01,9.17E-16,5.98E-17
1476,CSTB,cystatin B,1.01,9.50E-16,6.85E-17
283537,SLC46A3,solute carrier family 46 member 3,1.04,1.43E-15,8.17E-17
100507203,SMLR1,small leucine rich protein 1,2.07,1.51E-15,9.54E-17
100506498,LINC02274,long intergenic non-protein coding RNA 2274,1.26,1.63E-15,1.10E-16
6228,RPS23,ribosomal protein S23,2.97,3.26E-15,1.40E-16
441733,PRKXP1,"protein kinase, X-linked, pseudogene 1",1.77,3.39E-15,1.70E-16
51752,ERAP1,endoplasmic reticulum aminopeptidase 1,1.36,4.11E-15,2.07E-16
26751,SH3YL1,SH3 and SYLF domain containing 1,1.15,4.58E-15,2.47E-16
183,AGT,angiotensinogen,1.02,6.57E-15,3.04E-16
118433,RPL23AP7,ribosomal protein L23a pseudogene 7,1.03,6.66E-15,3.61E-16
23421,ITGB3BP,integrin subunit beta 3 binding protein,1.09,8.49E-15,4.34E-16
1800,DPEP1,dipeptidase 1,2.09,1.06E-14,5.24E-16
90637,ZFAND2A,zinc finger AN1-type containing 2A,1.82,1.26E-14,6.30E-16
7069,THRSP,thyroid hormone responsive,1.66,1.33E-14,7.40E-16
9415,FADS2,fatty acid desaturase 2,1,1.35E-14,8.50E-16
6834,SURF1,"SURF1, cytochrome c oxidase assembly factor",2.14,1.92E-14,1.01E-15
