gene	transcript	canonical	obs_lof	exp_lof	oe_lof	oe_lof_lower	oe_lof_upper	obs_mis	exp_mis	oe_mis	oe_mis_lower	oe_mis_upper	obs_syn	exp_syn	oe_syn	oe_syn_lower	oe_syn_upper	lof_z	mis_z	syn_z	pLI	pRec	pNull	gene_issues
A1BG	ENST00000263100	True	14.0	18.824	0.74374	0.49	1.163	291.0	292.92	0.99344	0.902	1.095	134.0	131.77	1.017	0.883	1.174	1.0362	0.040701	-0.15241	3.3579e-08	0.54291	0.45708999999999994	[]
A1CF	ENST00000373995	True	20.0	32.985	0.60633	0.426	0.881	273.0	323.18	0.84473	0.764	0.934	125.0	119.59	1.0453	0.903	1.213	2.1071	1.0126	-0.38753000000000004	5.9743e-10	0.9591700000000001	0.040831	[]
A2M	ENST00000318602	True	32.0	79.46	0.40271999999999997	0.303	0.541	612.0	771.84	0.79291	0.741	0.848	263.0	304.61	0.86341	0.78	0.956	4.962	2.0872	1.8665	5.608e-11	1.0	6.3603e-09	[]
A2ML1	ENST00000299698	True	63.0	81.544	0.77259	0.63	0.953	762.0	797.46	0.95554	0.9	1.014	316.0	314.72	1.0041	0.915	1.102	1.9139	0.4555	-0.056397	1.5563999999999997e-34	0.020263	0.9797399999999999	[]
A3GALT2	ENST00000442999	True	11.0	11.594000000000001	0.9488	0.596	1.556	154.0	165.38	0.93117	0.816	1.064	71.0	75.944	0.9349	0.771	1.139	0.16247999999999999	0.32111	0.44417	1.1526e-07	0.19775	0.80225	[]
A4GALT	ENST00000401850	True	8.0	8.3685	0.95596	0.558	1.666	239.0	235.07	1.0167	0.914	1.132	122.0	104.52	1.1673	1.007	1.357	0.11873	-0.09300800000000001	-1.339	7.499e-06	0.30529	0.6947	[]
A4GNT	ENST00000236709	True	3.0	10.505	0.28557	0.129	0.738	178.0	188.61	0.94376	0.834	1.069	77.0	74.247	1.0371	0.862	1.254	2.1581	0.28021	-0.25012	0.1701	0.81734	0.012563	[]
AAAS	ENST00000209873	True	25.0	34.512	0.72439	0.527	1.012	313.0	295.27	1.06	0.966	1.164	114.0	116.71	0.97677	0.838	1.141	1.509	-0.37426	0.1965	1.5378e-13	0.53152	0.46848	[]
AACS	ENST00000316519	True	29.0	36.093	0.80347	0.597	1.096	395.0	405.26	0.9746799999999999	0.897	1.059	161.0	172.6	0.93281	0.82	1.063	1.1004	0.18491	0.6911	7.7542e-17	0.10865	0.89135	[]
AADAC	ENST00000232892	True	6.0	12.151	0.49378	0.269	0.975	194.0	207.19	0.9363299999999999	0.832	1.055	86.0	78.941	1.0894	0.914	1.303	1.6446	0.33247	-0.6220399999999999	0.0025647	0.9374600000000001	0.059979	[]
