OMIM disease genes	DESCRIPTION (Active links 12th February 2013)	OMIM disease genes	OMIM Recessive	OMIM Haploinsufficiency	OMIM Dominant Negative	OMIM de novo	OMIM de novo & Haploinsuficciency	MGI Lethality orthologs	MGI Seizure orthologs
AAAS	* 605378. AAAS GENE; AAAS	AAAS							
AAGAB	* 614888. ALPHA- AND GAMMA-ADAPTIN-BINDING PROTEIN; AAGAB	AAGAB							
AARS	* 601065. ALANYL-tRNA SYNTHETASE; AARS	AARS			AARS				
AARS2	* 612035. ALANYL-tRNA SYNTHETASE 2; AARS2	AARS2							
AASS	* 605113. ALPHA-AMINOADIPIC SEMIALDEHYDE SYNTHASE; AASS	AASS	AASS						
ABAT	* 137150. 4-AMINOBUTYRATE AMINOTRANSFERASE; ABAT	ABAT							
ABCA12	"* 607800. ATP-BINDING CASSETTE, SUBFAMILY A, MEMBER 12; ABCA12"	ABCA12	ABCA12						
ABCA3	"* 601615. ATP-BINDING CASSETTE, SUBFAMILY A, MEMBER 3; ABCA3"	ABCA3							
ABCA4	"* 601691. ATP-BINDING CASSETTE, SUBFAMILY A, MEMBER 4; ABCA4"	ABCA4	ABCA4						
ABCB11	"* 603201. ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 11; ABCB11"	ABCB11							
ABCB4	"* 171060. ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 4; ABCB4"	ABCB4							
ABCB6	"* 605452. ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 6; ABCB6"	ABCB6	ABCB6			ABCB6			
ABCB7	"* 300135. ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 7; ABCB7"	ABCB7	ABCB7					MP:0002080	
ABCC11	"* 607040. ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 11"		ABCC11						
ABCC2	"* 601107. ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 2; ABCC2"	ABCC2	ABCC2						
ABCC6	"* 603234. ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 6; ABCC6"	ABCC6	ABCC6			ABCC6			
ABCC8	"* 600509. ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 8; ABCC8"	ABCC8	ABCC8	ABCC8		ABCC8	ABCC8		
ABCC9	"* 601439. ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 9; ABCC9"	ABCC9				ABCC9			
ABCD1	"* 300371. ATP-BINDING CASSETTE, SUBFAMILY D, MEMBER 1; ABCD1"	ABCD1	ABCD1			ABCD1			
ABCD3	"* 170995. ATP-BINDING CASSETTE, SUBFAMILY D, MEMBER 3; ABCD3"	ABCD3	ABCD3						
ABCD4	"* 603214. ATP-BINDING CASSETTE, SUBFAMILY D, MEMBER 4; ABCD4"	ABCD4							
ABCG2	"* 603756. ATP-BINDING CASSETTE, SUBFAMILY G, MEMBER 2"		ABCG2						
ABCG5	"* 605459. ATP-BINDING CASSETTE, SUBFAMILY G, MEMBER 5; ABCG5"	ABCG5	ABCG5						
ABCG8	"* 605460. ATP-BINDING CASSETTE, SUBFAMILY G, MEMBER 8; ABCG8"	ABCG8	ABCG8						
ABHD12	* 613599. ABHYDROLASE DOMAIN-CONTAINING PROTEIN 12; ABHD12	ABHD12	ABHD12						
ABHD5	* 604780. ABHYDROLASE DOMAIN-CONTAINING 5; ABHD5	ABHD5	ABHD5						
ABL1	* 189980. ABELSON MURINE LEUKEMIA VIRAL ONCOGENE HOMOLOG 1; ABL1	ABL1		ABL1	ABL1				
ACAD8	"* 604773. ACYL-CoA DEHYDROGENASE FAMILY, MEMBER 8; ACAD8"	ACAD8							
ACAD9	"* 611103. ACYL-CoA DEHYDROGENASE FAMILY, MEMBER 9; ACAD9"	ACAD9							
ACADM	"* 607008. ACYL-CoA DEHYDROGENASE, MEDIUM-CHAIN; ACADM"	ACADM							
ACADS	"* 606885. ACYL-CoA DEHYDROGENASE, SHORT-CHAIN; ACADS"	ACADS							
ACADSB	"* 600301. ACYL-CoA DEHYDROGENASE, SHORT/BRANCHED CHAIN; ACADSB"	ACADSB							
ACADVL	"* 609575. ACYL-CoA DEHYDROGENASE, VERY LONG-CHAIN; ACADVL"	ACADVL							
ACAN	* 155760. AGGRECAN; ACAN	ACAN	ACAN						
ACAT1	* 607809. ACETYL-CoA ACETYLTRANSFERASE 1; ACAT1	ACAT1							
ACHE	Mouse Genome Informatics Database								MP:0002064
ACO2	"* 100850. ACONITASE, MITOCHONDRIAL; ACO2"	ACO2							
ACOX1	"* 609751. ACYL-CoA OXIDASE 1, PALMITOYL; ACOX1"	ACOX1							
ACP5	"* 171640. PHOSPHATASE, ACID, TYPE 5, TARTRATE-RESISTANT; ACP5"	ACP5							
ACSF3	"* 614245. ACYL-CoA SYNTHETASE FAMILY, MEMBER 3; ACSF3"	ACSF3							
ACSL4	"* 300157. ACYL-CoA SYNTHETASE LONG CHAIN FAMILY, MEMBER 4; ACSL4"	ACSL4			ACSL4				
ACTA1	"* 102610. ACTIN, ALPHA, SKELETAL MUSCLE 1; ACTA1"	ACTA1	ACTA1		ACTA1	ACTA1			
ACTA2	"* 102620. ACTIN, ALPHA-2, SMOOTH MUSCLE, AORTA; ACTA2"	ACTA2				ACTA2			
ACTB	"* 102630. ACTIN, BETA; ACTB"	ACTB				ACTB			
ACTC1	"* 102540. ACTIN, ALPHA, CARDIAC MUSCLE; ACTC1"	ACTC1				ACTC1			
ACTG1	"* 102560. ACTIN, GAMMA-1; ACTG1"	ACTG1				ACTG1			
ACTN2	"* 102573. ACTININ, ALPHA-2; ACTN2"	ACTN2							
ACTN4	"* 604638. ACTININ, ALPHA-4; ACTN4"	ACTN4							
ACVR1	"* 102576. ACTIVIN A RECEPTOR, TYPE I; ACVR1"	ACVR1				ACVR1			
ACVR1B	"* 601300. ACTIVIN A RECEPTOR, TYPE IB; ACVR1B"				ACVR1B				
ACVR2B	"* 602730. ACTIVIN A RECEPTOR, TYPE IIB; ACVR2B"	ACVR2B							
ACVRL1	"* 601284. ACTIVIN A RECEPTOR, TYPE II-LIKE 1; ACVRL1"	ACVRL1		ACVRL1	ACVRL1				
ACY1	* 104620. AMINOACYLASE 1; ACY1	ACY1							
ADA	* 608958. ADENOSINE DEAMINASE; ADA	ADA	ADA						
ADAM17	* 603639. A DISINTEGRIN AND METALLOPROTEINASE DOMAIN 17; ADAM17	ADAM17							
ADAM9	* 602713. A DISINTEGRIN AND METALLOPROTEINASE DOMAIN 9; ADAM9	ADAM9	ADAM9						
ADAMTS10	"* 608990. A DISINTEGRIN-LIKE AND METALLOPROTEINASE WITH THROMBOSPONDIN TYPE 1 MOTIF, 10; ADAMTS10"	ADAMTS10	ADAMTS10						
ADAMTS13	"* 604134. A DISINTEGRIN-LIKE AND METALLOPROTEASE WITH THROMBOSPONDIN TYPE 1 MOTIF, 13; ADAMTS13"	ADAMTS13							
ADAMTS17	"* 607511. A DISINTEGRIN-LIKE AND METALLOPROTEINASE WITH THROMBOSPONDIN TYPE 1 MOTIF, 17; ADAMTS17"	ADAMTS17							
ADAMTS18	"* 607512. A DISINTEGRIN-LIKE AND METALLOPROTEINASE WITH THROMBOSPONDIN TYPE 1 MOTIF, 18; ADAMTS18"	ADAMTS18							
ADAMTS2	"* 604539. A DISINTEGRIN-LIKE AND METALLOPROTEINASE WITH THROMBOSPONDIN TYPE 1 MOTIF, 2; ADAMTS2"	ADAMTS2							
ADAMTSL4	* 610113. ADAMTS-LIKE 4; ADAMTSL4	ADAMTSL4	ADAMTSL4						
ADAR	"* 146920. ADENOSINE DEAMINASE, RNA-SPECIFIC; ADAR"	ADAR							
ADARB1	Mouse Genome Informatics Database								MP:0002064
ADCK3	* 606980. AARF DOMAIN-CONTAINING KINASE 3; ADCK3	ADCK3	ADCK3						
ADCY5	* 600293. ADENYLATE CYCLASE 5; ADCY5	ADCY5							
ADIPOQ	"* 605441. ADIPOCYTE-, C1q-, AND COLLAGEN DOMAIN-CONTAINING; ADIPOQ"	ADIPOQ			ADIPOQ				
ADK	* 102750. ADENOSINE KINASE; ADK	ADK				ADK			
ADSL	* 608222. ADENYLOSUCCINATE LYASE; ADSL	ADSL				ADSL			
AFF2	"* 300806. AF4/FMR2 FAMILY, MEMBER 2; AFF2"	AFF2							
AFG3L2	* 604581. ATPase FAMILY GENE 3-LIKE 2; AFG3L2	AFG3L2	AFG3L2	AFG3L2	AFG3L2				
AGA	* 613228. ASPARTYLGLUCOSAMINIDASE; AGA	AGA				AGA			
AGK	* 610345. ACYLGLYCEROL KINASE; AGK	AGK	AGK						
AGL	"* 610860. AMYLO-1,6-GLUCOSIDASE, 4-ALPHA-GLUCANOTRANSFERASE; AGL"	AGL							
AGPAT2	* 603100. 1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 2; AGPAT2	AGPAT2	AGPAT2						
AGPS	* 603051. ALKYLGLYCERONE-PHOSPHATE SYNTHASE; AGPS	AGPS	AGPS						
AGRN	* 103320. AGRIN; AGRN	AGRN							
AGTR1	* 106165. ANGIOTENSIN RECEPTOR 1; AGTR1	AGTR1	AGTR1						
AGTR2	"* 300034. ANGIOTENSIN II RECEPTOR, TYPE 2; AGTR2"	AGTR2							
AGXT	* 604285. ALANINE-GLYOXYLATE AMINOTRANSFERASE; AGXT	AGXT							
AHCY	* 180960. S-ADENOSYLHOMOCYSTEINE HYDROLASE; AHCY	AHCY							
AHI1	* 608894. ABELSON HELPER INTEGRATION SITE 1; AHI1	AHI1	AHI1						
AICDA	* 605257. ACTIVATION-INDUCED CYTIDINE DEAMINASE; AICDA	AICDA	AICDA						
