Gene_Name	RVIS	LoF_FDR_ExAC	RVIS_ExAC	geneCov_ExACv2	RVIS_ExACv2	MTR_ExACv2
A1BG	23.51	0.8095814	18.29407867	0.7625329820000001	25.99217986	86.42968795
A1CF	28.01	0.009642604	11.52942594	1.0	11.21212121	33.16158166
A2LD1	66.32					
A2M	60.76	0.000246125	31.87759774	0.97415115	42.65884653	53.42441961
A2ML1	98.53	0.45518329999999996	98.84946690000001	0.998447205	94.99511241	63.1621606
A3GALT2		0.9993496				
A4GALT	33.34	0.43099560000000003	26.39600024	1.0	31.83773216	61.83639206
A4GNT	92.04	0.03822979	86.60924041	1.0	75.81622678	62.64690558
AAAS	9.96	0.2678406	34.73887115	1.0	46.42228739	73.06200428
AACS	6.04	0.8807252	90.9041624	0.935313848	90.52785924	98.64528455
AADAC	46.92	0.47901279999999996	75.17017047	1.0	66.25610948	67.33051583
AADACL2	31.93	0.46529440000000005	78.15191856	1.0	66.70576735	56.78226133
AADACL3	97.92	0.7786481	88.77778447	0.908576052	76.29521017	54.49545533
AADACL4	17.32	0.438909	56.58092886	1.0	65.32746823	86.69021015
AADAT	44.89	0.2884422	21.33606409	0.967115097	22.60997067	20.79546112
AAED1	65.56	1.0	90.13914824	0.6776034240000001	83.98826979	99.05054131
AAGAB	55.61	0.02228274	50.96680923	1.0	57.71260997	80.37978348
AAK1	15.91	5.954119999999999e-06	25.82976929	0.871881322	24.87781036	13.47768193
AAMP	57.15	0.1158129	36.82910668	0.9547477740000001	42.72727273	20.85914433
AANAT	48.54	0.6393392	83.15161737	0.771725032	83.30400782	87.35598912
AAR2	32.06	0.7420775	80.14577435	1.0	77.64418377	46.21663868
AARD		0.4264196	34.27504367	0.8220338979999999	54.29130010000001	93.90378047
AARS	16.12	0.0010174510000000002	4.20456599	1.0	6.598240468999999	45.3308632
AARS2	92.37	0.04389605	84.1816758	1.0	62.32649071	68.26839576
AARSD1	48.78	0.6728425	71.6703813	0.968043648	84.05669599	52.63706363
AASDH	91.37	0.009887263	78.12782363	0.9982285209999999	72.41446725	87.68598391
AASDHPPT	27.42	0.1620603	35.77495332	1.0	37.34115347	47.93608522
AASS	10.12	0.12964160000000002	18.78200108	1.0	19.91202346	60.78272448
AATF	33.47	0.3323063	40.71441479	1.0	49.37438905	71.25571701
AATK		0.000478051		0.542973426	91.61290323	60.92166966
ABAT	30.74	0.0180015	25.18522981	1.0	23.714565	66.61263243
ABCA1	36.29	5.93476e-07	2.620324077	1.0	1.730205279	25.97116888
ABCA10	91.15	0.2731323	97.82543220000001	0.9681742040000001	95.97262952	64.08267238
ABCA12	32.27	8.24194e-08	6.879103668	1.0	5.728250244	38.85254443
ABCA13	99.79	0.501588	99.8915728	0.968484534	99.64809384	77.03352052
ABCA2	0.12	4.978240000000001e-10	4.132281188	0.912968146	6.070381232000001	8.197765298
ABCA3	3.71	0.01145775	6.704415397000001	0.971133626	69.1886608	48.68291553
ABCA4	86.31	0.09224178	99.06632131	0.9964377320000001	98.69990225	63.15058183
ABCA5	86.96	0.0034402990000000004	87.20559002	0.98680323	70.28347996	52.96705841
ABCA6	70.44	0.05808861	90.43431119	0.99840064	85.49364614	81.53765993
ABCA7	1.46	0.9087648000000002	99.09643997	0.923878568	99.40371457	70.72888323
ABCA8	89.47	0.7954278	98.65670743	0.973873155	98.91495601	84.59445377
ABCA9	53.73	0.4304292	37.47364617	1.0	69.12023459999999	60.12273489999999
ABCB1	60.76	2.5429300000000002e-06	22.03481718	1.0	13.07917889	27.87587564
ABCB10	43.91	0.9085424000000001	31.9257876	0.7708609270000001	30.76246334	63.74109882
ABCB11	6.39	0.027034	8.445274381	0.984766585	51.59335288	28.3158687
ABCB4	20.02	0.0032400209999999996	6.927293537000001	1.0	13.68523949	38.1115035
ABCB5	99.7	0.02894172	99.55424372	0.969635111	99.46236559	70.74046199
ABCB6	28.26	0.7983939999999999	74.58586832	0.99231065	81.2512219	39.22885428
ABCB7	88.69	0.00375411	86.53846154	0.99870801	80.56426332	5.800961037
ABCB8	71.64	0.2442444	60.62887778	0.9763033179999999	57.99608993	77.05088867
ABCB9	2.16	0.1872093	6.999578339	0.8859315590000001	14.47702835	93.82272911
ABCC1	11.29	0.000114387	2.891392085	0.989397795	4.975562072	23.49910265
ABCC10	2.51	0.48234979999999994	21.63725077	0.987057808	88.12316716	43.4029989
ABCC11	96.04	0.7201479000000001	97.75917113	1.0	96.81329423	67.38262027
ABCC12	92.07	0.8637593000000001	96.13276309	1.0	92.01368524	91.96433741
ABCC2	90.09	0.4715324000000001	86.24179266	1.0	69.5601173	75.10565623
ABCC3	85.21	0.24988310000000002	42.81669779	0.980576441	80.23460411	93.29589533
ABCC4	67.72	0.000393038	33.69074152	0.97757415	37.771260999999996	31.21634922
ABCC5	1.82	3.7435500000000004e-05	0.499969881	1.0	1.524926686	17.59393273
ABCC6	83.54	0.0032874140000000002	56.05084031	0.87778485	84.75073314	79.54611243
ABCC8	1.57	0.3814666	1.331245106	0.9677616809999999	8.602150538	45.00665779
ABCC9	1.82	0.02691294	1.47581471	1.0	2.0723362659999998	7.225149077
ABCD1	20.54	0.007149064	24.70414201	0.8060686020000001	20.68965517	17.02078388
ABCD2	46.92	0.5771439	12.83657611	1.0	18.79765396	21.18913912
ABCD3	16.44	7.47017e-06	16.59538582	1.0	30.63538612	10.61772709
ABCD4	87.72	0.39057390000000003	78.57357990000001	1.0	79.11045943	96.67689458
ABCE1	35.42	6.05448e-05	14.93283537	0.9994635190000001	18.50439883	3.878886123
ABCF1	37.54	0.1344725	65.8635022	0.960895976	35.30791789	21.68123661
ABCF2	23.51	0.00022280599999999998	4.331064393999999	1.0	5.366568915	8.070398888
ABCF3	13.15	0.02648419	26.100837300000002	1.0	57.3313783	38.85833382
ABCG1	4.43	0.0832122	4.939461478	0.947368421	7.478005865	28.58218028
ABCG2	39.17	0.7120368	79.23619059	1.0	63.64613881	94.23956464
ABCG4	48.69	0.5329384	11.87277875	1.0	14.84848485	23.40068315
ABCG5	92.65	0.9428245000000001	95.45810493	0.96506986	90.95796676	79.22190702
ABCG8	86.38	0.7728014	86.48876574	0.968599034	80.83088954	89.77595091
ABHD1	45.49	1.0	43.58171195	1.0	48.78787879	94.14693452
