Gene_Name	geneCov_ExACv2	RVIS_ExACv2	MTR_ExACv2
AADACL3	0.908576052	76.29521017	54.49545533
AADACL4	1	65.32746823	86.69021015
ABCA4	0.996437732	98.69990225	63.15058183
ABCB10	0.770860927	30.76246334	63.74109882
ABCD3	1	30.63538612	10.61772709
ABL2	0.986414491	5.87487781	19.23811729
ACADM	1	38.64125122	59.67695247
ACAP3	0.688101656	11.84750733	21.66965785
ACBD3	0.821671827	50.05865103	50.43709836
ACBD6	1	21.91593353	79.55769119
ACKR1	1	36.09970674	70.17889191
ACOT11	0.951660156	96.92082111	59.45695594
ACOT7	0.898813678	11.95503421	13.57610143
ACP6	0.909297052	83.79276637	64.92213281
ACTA1	1	21.07526882	1.319979158
ACTL8	1	63.0400782	19.29022173
ACTN2	0.930976431	42.4340176	44.7750825
ACTRT2	1	51.58357771	71.29624269
ADAM15	0.945244957	79.79472141	83.3439472
ADAM30	1	10.78201369	38.14045041
ADAMTS4	0.947368421	88.99315738	37.25467493
ADAMTSL4	0.972359616	98.41642229	52.58495918
ADAR	1	2.19941349	12.66716841
ADCY10	1	48.33822092	48.06924101
ADGRB2	0.860512821	13.29423265	12.2792798
ADGRL2	1	6.793743891	35.65680542
ADGRL4	0.981211837	33.65591398	58.6232849
ADIPOR1	1	16.74486804	8.967753141
ADORA1	1	41.47605083	10.93035373
ADORA3	0.985815603	62.00391007	32.27580617
ADPRHL2	0.808453237	21.49560117	33.64788977
ADSS	1	20.44965787	16.40131998
AGL	1	42.228739	55.8791177
AGMAT	0.746999077	62.86412512	83.89393852
AGO1	1	5.434995112	0.961037457
AGO3	0.992467043	14.95601173	2.275227233
AGO4	0.992087415	4.613880743	8.325131708
AGRN	0.821917808	98.62170088	34.97944769
AGT	1	89.48191593	53.91651711
AGTRAP	1	71.29032258	99.84368668
AHCTF1	0.996268657	30.02932551	53.07705668
AHCYL1	1	24.72140762	2.373646732
AHDC1	0.958229426	2.65884653	16.22184913
AIDA	0.986415883	32.21896383	87.47177676
AIM2	1	46.94037146	52.81653448
AJAP1	0.811501597	74.86803519	39.98147398
AK2	0.988126649	83.08895406	52.9728478
AK4	0.889534884	40.3030303	34.77102993
AK5	0.96151637	11.37829912	13.30978985
AKIRIN1	0.626890756	45.18084066	28.04955711
AKNAD1	1	86.95014663	86.14021884
AKR1A1	1	57.71260997	67.21472819
AKR7A2	0.858695652	92.68817204	99.06790945
AKR7A3	0.925490196	90.59628543	38.65570544
