CCDSr20	%geneCov	RVIS[pop_maf_0.05%(any)]	%RVIS[pop_maf_0.05%(any)]	Edge_case_RVIS[pop_maf_0.05%(any)]	OE-ratio_[ExAC v2]	%OE-ratio_[ExAC v2]	alternative-RVIS[maf_0.0025%]	alternative-%RVIS[maf_0.0025%]
AADACL3	0.908576052	0.627041701	76.29521017	N	0.997843454	54.49545533	0.421349676	71.55864581
AADACL4	1	0.343369476	65.32746823	N	1.064843489	86.69021015	0.953319939	88.19634136
ABCA4	0.996437732	2.664998103	98.69990225	N	1.012466399	63.15058183	1.779887885	96.30825263
ABCB10	0.770860927	-0.419046711	30.76246334	N	1.013410704	63.74109882	-0.610987302	22.00148994
ABCD3	1	-0.421720848	30.63538612	N	0.858697026	10.61772709	-0.868688996	14.69249234
ABL2	0.986414491	-1.521053949	5.87487781	N	0.909586683	19.23811729	-1.289273873	7.67320586
ACADM	1	-0.233500143	38.64125122	N	1.006970403	59.67695247	-0.193881178	39.79802996
ACAP3	0.688101656	-1.063232323	11.84750733	N	0.919715463	21.66965785	-0.610813643	22.0097674
ACBD3	0.821671827	0.013270287	50.05865103	N	0.990835364	50.43709836	0.015759498	50.98915653
ACBD6	1	-0.667434129	21.91593353	N	1.044974077	79.55769119	-0.518636017	25.33730651
ACKR1	1	-0.29169617	36.09970674	N	1.025250469	70.17889191	-0.401516929	30.23756312
ACOT11	0.951660156	1.987946699	96.92082111	N	1.006464951	59.45695594	1.738817498	96.11787104
ACOT7	0.898813678	-1.05833253	11.95503421	N	0.879563567	13.57610143	-1.138350037	9.626686533
ACP6	0.909297052	0.887907482	83.79276637	N	1.015501688	64.92213281	0.40931604	70.95439119
ACTA1	1	-0.697115021	21.07526882	N	0.651135443	1.319979158	-0.90994534	13.79852661
ACTL8	1	0.290877662	63.0400782	N	0.909890488	19.29022173	0.259147617	63.82749772
ACTN2	0.930976431	-0.146695296	42.4340176	N	0.980577967	44.7750825	0.448731992	72.76715504
ACTRT2	1	0.044106666	51.58357771	N	1.027533347	71.29624269	0.543175773	76.67411638
ADAM15	0.945244957	0.730966732	79.79472141	N	1.054247019	83.3439472	0.646605225	80.29136661
ADAM30	1	-1.119476294	10.78201369	N	0.967005339	38.14045041	-0.641340958	20.85092294
ADAMTS4	0.947368421	1.145496375	88.99315738	N	0.965041297	37.25467493	0.787361197	84.28110256
ADAMTSL4	0.972359616	2.477810473	98.41642229	N	0.99460965	52.58495918	3.785646789	99.51990729
ADAR	1	-2.300496086	2.19941349	N	0.873251457	12.66716841	-2.341389048	1.870706067
ADCY10	1	-0.022546828	48.33822092	N	0.986562446	48.06924101	-0.966114861	12.55690754
ADGRB2	0.860512821	-0.996584755	13.29423265	N	0.870917807	12.2792798	-0.013373089	49.31710951
ADGRL2	1	-1.420624376	6.793743891	N	0.961603146	35.65680542	-1.966293837	2.78122672
ADGRL4	0.981211837	-0.348284597	33.65591398	N	1.004982405	58.6232849	-0.14321712	42.33093287
ADIPOR1	1	-0.856824196	16.74486804	N	0.843604267	8.967753141	-0.781046442	16.6708054
ADORA1	1	-0.167375825	41.47605083	N	0.860617878	10.93035373	0.003638674	50.28557239
ADORA3	0.985815603	0.266904369	62.00391007	N	0.952683873	32.27580617	0.204122199	61.08765831
ADPRHL2	0.808453237	-0.681870195	21.49560117	N	0.956140464	33.64788977	-0.501804455	25.99950335
ADSS	1	-0.718768657	20.44965787	N	0.895832013	16.40131998	-0.747556986	17.49855144
AGL	1	-0.15071169	42.228739	N	1.000202376	55.8791177	-0.558285637	23.93841569
AGMAT	0.746999077	0.287045613	62.86412512	N	1.055694816	83.89393852	0.304147747	66.10379935
AGO1	1	-1.584305524	5.434995112	N	0.615630946	0.961037457	-2.042258854	2.599122589
AGO3	0.992467043	-0.924463505	14.95601173	N	0.708027204	2.275227233	-1.319585321	7.251055376
