Gene_Name,mantis_ml_rank,mantis_ml_proba,manti_ml_perc,p-val,collapsing_rank,Known_gene
RYR2,155,0.9141121572256088,99.1731987544293,0.024001223999999998,94,0.0
ITGA8,161,0.9113030076399445,99.14098571888758,0.024280652000000003,111,0.0
SZT2,171,0.905192696750164,99.08729732631805,0.003038097,15,0.0
EP400,190,0.8999384555220604,98.98528938043594,0.002254325,10,0.0
SYNE1,197,0.8973531213775278,98.94770750563728,0.006502248,26,0.0
TSC2,271,0.874955466389656,98.55041340062279,0.00023365400000000002,4,0.0
MYOF,298,0.8640735936164856,98.40545474068506,0.017680256000000002,69,0.0
NF2,308,0.8608971732854843,98.35176634811553,0.000361143,5,0.0
MED12,314,0.8595638552308082,98.31955331257383,0.036198179,154,0.0
ACADVL,410,0.8364224123954773,97.80414474390636,0.045422805999999996,204,0.0
SPG11,411,0.8359783445994284,97.79877590464942,0.014917713999999999,60,1.0
DNMT3A,427,0.8311640214920044,97.71287447653818,0.006594278,27,0.0
BBS2,449,0.8276697181910276,97.59476001288522,0.030422135,131,0.0
TTN,497,0.8160242585939704,97.33705572855149,0.012098882,47,0.0
MDN1,586,0.7986566404998302,96.8592290346827,0.012202393999999998,48,0.0
ALDH5A1,615,0.7931361842155457,96.70353269623108,0.023509657000000003,92,0.0
RAPH1,631,0.7907499139010906,96.61763126811984,0.044330870999999994,191,0.0
NIN,640,0.7884398555755615,96.56931171480726,0.005727528000000001,20,0.0
ABCA1,666,0.7832091253995895,96.42972189412649,0.015666077,63,0.0
LRP2,694,0.7800063346326351,96.27939439493181,0.048875419,210,0.0
APC,760,0.7717185658216477,95.92505100397294,0.006247466,25,0.0
OPTN,840,0.7601718422546364,95.49554386341673,0.011192297,33,1.0
TBK1,861,0.7571143721131377,95.38279823902073,9.46e-05,3,1.0
