Gene_Name	RVIS_ExAC
SAMD11	98.9036805
NOC2L	65.47195952
PLEKHN1	97.96397807
ISG15	74.54370219
TNFRSF18	94.1569785
TNFRSF4	84.63947955
SDF4	78.2482983
UBE2J2	25.93819649
ACAP3	14.05337028
PUSL1	71.79085597
CPSF3L	6.517679658
DVL1	20.4927414
MXRA8	36.75682188
AURKAIP1	72.61008373
MRPL20	36.63032347
VWA1	70.13432926
ATAD3B	99.11451117
ATAD3A	91.83784109
SSU72	36.79898801
SLC35E2	77.18209746
GNB1	26.1731221
TMEM52	65.07439311
GABRD	20.87223661
PRKCZ	8.246491175
C1orf86	73.19438588
SKI	6.758628998
MORN1	96.4399735
PEX10	86.30203
PANK4	4.535871333
ACTRT2	48.75609903
ARHGEF16	85.10330703
TPRG1L	31.95590627
WRAP73	43.78049515
TP73	4.072043853
CCDC27	96.08457322
LRRC47	25.50448768
DFFB	61.23727486
C1orf174	90.00662611
AJAP1	77.51942654
KCNAB2	22.86006867
CHD5	0.825251491
RPL22	52.47876634
RNF207	95.5062948
ICMT	56.35805072
GPR153	66.42370942
ACOT7	9.457261611
ESPN	46.11168002
TNFRSF25	46.82850431
PLEKHG5	89.25365942
NOL9	34.61237275
TAS1R1	95.00632492
ZBTB48	2.975724354
PHF13	20.80597554
THAP3	76.88693452
DNAJC11	13.55942413
VAMP3	39.47352569
PER3	68.66453828
UTS2	87.16342389
TNFRSF9	70.79091621
PARK7	59.56870068
ERRFI1	17.54111198
RERE	0.885488826
ENO1	18.45069574
SLC2A7	89.22956448
SLC2A5	79.00728872
GPR157	67.68869345
H6PD	98.30130715
SPSB1	16.35443648
SLC25A33	52.22576953
PIK3CD	2.548039275
CLSTN1	3.806999578
CTNNBIP1	57.58086862
LZIC	52.07517619
NMNAT1	39.29883742
RBP7	68.10433106
UBE4B	7.005602072
KIF1B	0.873441359
PGD	11.90892115
APITD1-CORT	30.79934944
APITD1	53.26787543
CORT	45.75627974
DFFA	62.97813385
CASZ1	17.55315945
TARDBP	25.52255888
MASP2	92.59080778
SRM	32.70887296
EXOSC10	50.91861936
MTOR	0.090356003
ANGPTL7	57.47846515
UBIAD1	24.49250045
FBXO2	50.85838203
FBXO44	85.59122944
FBXO6	70.13432926
MAD2L2	30.79934944
C1orf187	89.15125595
AGTRAP	82.77814589
MTHFR	60.02048069
CLCN6	2.782964882
NPPA	78.2844407
NPPB	83.45882778
KIAA2013	36.87127281
PLOD1	82.57936269
MIIP	93.28956087
TNFRSF8	42.20227697
TNFRSF1B	67.85133426
DHRS3	82.44081682
C1orf158	84.77200169
PRAMEF1	99.40967412
PRAMEF2	99.63255226
PRDM2	49.23197398
KAZN	53.84615385
TMEM51	73.37509789
EFHD2	56.30986085
CTRC	84.35034034
CELA2A	81.37461599
CASP9	62.92994398
AGMAT	56.50262032
RSC1A1	94.68104331
SLC25A34	71.73664237
FBLIM1	45.72013734
SPEN	0.427685079
ZBTB17	9.403048009
C1orf64	83.88048913
CLCNKA	88.19348232
CLCNKB	92.83175712
EPHA2	29.78133847
ARHGEF19	74.79067526
RSG1	74.13408831
SPATA21	98.34949702
NECAP2	57.07487501
MFAP2	50.03313053
ATP13A2	14.49912656
SDHB	63.29739172
PADI2	80.21805915
PADI1	83.85639419
PADI3	99.13258237
PADI4	92.84982832
RCC2	11.324619
ARHGEF10L	12.93897958
ACTL8	81.92879947
IGSF21	17.1314981
KLHDC7A	92.09686163
PAX7	30.65477983
TAS1R2	87.5971327
ALDH4A1	74.07987471
UBR4	0.006023734
EMC1	22.75164147
MRTO4	43.55761701
AKR7A3	93.83169689
AKR7A2	90.06686344
PQLC2	31.61255346
NBL1	37.69652431
HTR6	30.97403771
TMCO4	97.34955726
RNF186	89.54279863
PLA2G2E	77.97120655
PLA2G2A	70.91139088
PLA2G5	30.58249503
PLA2G2D	76.44720198
PLA2G2F	71.6523101
UBXN10	67.06222517
CAMK2N1	54.75573761
MUL1	45.32257093
CDA	70.69453647
PINK1	77.36280947
DDOST	20.57707367
KIF17	96.09662069
EIF4G3	5.541834829
ECE1	37.22667309
NBPF3	89.36811035
ALPL	17.1314981
RAP1GAP	18.33022107
CELA3B	97.88566954
CELA3A	91.70531896
CDC42	36.33516053
WNT4	23.52870309
ZBTB40	7.059815674
EPHA8	39.08198301
C1QA	63.11065598
C1QC	26.83573279
C1QB	38.5579182
EPHB2	2.698632612
HTR1D	70.07409192
HNRNPR	14.20998735
ZNF436	25.54063008
ASAP3	46.83452804
E2F2	24.40214445
ID3	62.85765918
RPL11	35.17257997
TCEB3	56.47852539
PITHD1	38.96150834
LYPLA2	35.60628878
GALE	42.16613457
HMGCL	22.83597374
FUCA1	48.62960063
CNR2	39.19643395
IL22RA1	59.88795856
IL28RA	34.85934582
GRHL3	90.89813867
C1orf201	87.38630203
RCAN3	72.61008373
SRRM1	19.34823203
CLIC4	24.9503042
RUNX3	26.94415999
SYF2	63.06848985
C1orf63	64.95994217
RHD	99.14462984
TMEM50A	66.74296729
MAN1C1	14.31239082
C1orf135	78.4651527
PAQR7	65.18282031
STMN1	46.58755497
PAFAH2	83.90458406
EXTL1	89.22354075
SLC30A2	61.29148846
TRIM63	64.51418589
PDIK1L	30.10662008
ZNF593	55.59303656
CNKSR1	77.77844708
CEP85	53.17149569
SH3BGRL3	70.15240046
ZNF683	92.28359737
LIN28A	54.02084212
DHDDS	50.76802602
HMGN2	44.37082103
RPS6KA1	14.7220047
ARID1A	0.602373351
PIGV	26.64297331
SFN	56.01469791
GPN2	40.68429613
GPATCH3	58.77356786
NR0B2	84.27203181
NUDC	42.86488766
C1orf172	51.42461298
FAM46B	25.31172821
SLC9A1	9.017529065
WDTC1	29.6247214
TMEM222	66.0622854
SYTL1	82.19384374
MAP3K6	36.46165894
FCN3	90.59695199
CD164L2	57.21342088
GPR3	38.7747726
WASF2	34.69068128
FGR	11.68001928
FAM76A	56.30986085
STX12	45.99722908
PPP1R8	33.19679537
RPA2	42.09384977
XKR8	40.90717427
EYA3	21.22763689
PTAFR	51.0330703
ATPIF1	39.75664117
SESN2	53.71965544
MED18	42.14203964
RCC1	14.17384495
TRNAU1AP	25.46834528
RAB42	57.58086862
TAF12	64.03228721
GMEB1	12.19203662
OPRD1	25.0587314
EPB41	49.04523824
SRSF4	34.43166074
PTPRU	1.861333655
MATN1	64.26721282
LAPTM5	78.26034576
PUM1	2.451659539
NKAIN1	57.26763448
SNRNP40	21.52882356
ZCCHC17	33.41967351
FABP3	56.35805072
TINAGL1	23.8539847
HCRTR1	62.87573038
PEF1	42.86488766
BAI2	5.6803807
SPOCD1	49.28618758
PTP4A2	48.01517981
KHDRBS1	18.43864827
TMEM39B	41.09993374
KPNA6	20.50478887
TXLNA	59.32775134
CCDC28B	52.89440395
IQCC	80.7120053
TMEM234	53.77386904
EIF3I	20.21564966
FAM167B	75.91108969
LCK	53.32208903
HDAC1	17.40256611
MARCKSL1	53.4787061
TSSK3	53.39437383
BSDC1	30.60658996
ZBTB8OS	60.0927655
RBBP4	28.85368351
YARS	17.80615626
HPCA	32.05228601
TMEM54	70.4294922
RNF19B	11.75230408
AK2	93.10884886
ADC	62.56851997
TRIM62	37.63628697
ZNF362	25.64905729
PHC2	14.84247937
CSMD2	0.939702428
C1orf94	70.56803807
GJB5	79.4891874
GJB4	98.09047648
GJB3	84.59128968
ZMYM6	39.94940064
SFPQ	15.86049033
ZMYM4	6.867056201
KIAA0319L	6.644178062
NCDN	2.48780194
TFAP2E	66.58032649
PSMB2	51.1776399
C1orf216	73.80278296
CLSPN	90.36805012
EIF2C4	4.210589724
EIF2C1	2.927534486
EIF2C3	10.16203843
TEKT2	93.36184567
ADPRHL2	22.31793265
COL8A2	31.52219746
TRAPPC3	55.53882296
THRAP3	10.04758749
FAM176B	82.24805735
STK40	10.54755738
LSM10	39.75664117
OSCP1	22.44443106
MRPS15	68.92355882
CSF3R	84.71778809
GRIK3	2.301066201
ZC3H12A	69.32714897
MEAF6	33.53412445
SNIP1	79.4891874
DNALI1	22.46852599
GNL2	21.56496597
C1orf109	59.56870068
CDCA8	47.78627794
EPHA10	93.89193422
MANEAL	47.32245045
SF3A3	19.2337811
UTP11L	42.53960605
RRAGC	33.99795193
MYCBP	71.96554424
GJA9	56.04481658
AKIRIN1	41.12402867
NDUFS5	46.05144268
MACF1	0.246973074
PABPC4	2.614300343
HEYL	78.69405458
NT5C1A	26.47430878
HPCAL4	36.71465574
PPIE	55.35811096
BMP8B	91.86193603
MFSD2A	21.19751822
PPT1	27.55858081
RLF	22.8660924
ZMPSTE24	11.31257153
COL9A2	95.71712547
SMAP2	20.08312752
ZNF643	89.13318475
DEM1	59.43015481
ZNF684	57.62303476
NFYC	34.40154208
KCNQ4	60.50840311
CTPS1	15.86049033
SLFNL1	84.88645262
SCMH1	47.73206433
EDN2	87.26582736
HIVEP3	85.3683513
GUCA2B	60.62285404
GUCA2A	79.86868261
RIMKLA	49.88856093
ZMYND12	66.18276007
PPIH	44.2925125
YBX1	36.10625866
CLDN19	63.17089332
LEPRE1	55.28582616
C1orf50	65.14065418
CCDC23	54.20155412
ERMAP	94.42202277
ZNF691	25.87795916
SLC2A1	10.40901151
EBNA1BP2	47.762183
WDR65	73.04981628
TMEM125	93.63291368
C1orf210	68.3452804
TIE1	3.764833444
MPL	79.66387567
CDC20	11.58966327
ELOVL1	42.57574845
MED8	52.58116981
HYI	70.00180712
PTPRF	0.34335281
KDM4A	28.37780857
ST3GAL3	27.51039094
IPO13	5.535811096
DPH2	44.19613276
ATP6V0B	31.17884465
B4GALT2	26.47430878
CCDC24	69.10427083
KLF17	66.68272996
DMAP1	24.83585326
RNF220	11.56556834
TMEM53	53.39437383
KIF2C	13.21004759
RPS8	30.34154569
BEST4	32.9317511
PLK3	19.95662912
PTCH2	24.37804952
EIF2B3	75.01957713
UROD	48.25010542
HPDL	43.75037648
MUTYH	54.37021866
TOE1	72.01975785
PRDX1	25.25751461
AKR1A1	59.92410096
NASP	28.88982591
GPBP1L1	44.47924824
PIK3R3	34.26299621
TSPAN1	68.24287694
POMGNT1	22.87211614
RAD54L	44.4551533
LRRC41	8.457321848
NSUN4	64.16480935
FAAH	20.546955
DMBX1	76.97729052
MKNK1	41.09993374
MOB3C	59.97229083
ATPAF1	50.32226974
CYP4B1	98.87958557
CYP4A11	87.42846816
CYP4X1	57.76760436
CYP4Z1	89.92229384
PDZK1IP1	80.24817782
TAL1	64.45394856
STIL	42.55165351
CMPK1	64.56839949
SPATA6	38.58201313
BEND5	19.2337811
ELAVL4	36.19661466
FAF1	12.15589422
CDKN2C	48.58141076
RNF11	44.61177038
EPS15	43.25643034
OSBPL9	31.66074333
NRD1	3.385338233
RAB3B	37.85314138
TXNDC12	59.62291428
KTI12	74.61598699
ZFYVE9	68.2007108
ORC1	34.03409433
PRPF38A	25.46834528
GPX7	73.23052828
SELRC1	58.90608999
ECHDC2	63.5443648
SCP2	13.05343052
PODN	63.17691705
SLC1A7	84.30215047
CPT2	77.30257213
C1orf123	33.68471779
MAGOH	50.72585989
LRP8	18.3001024
DMRTB1	69.58616951
GLIS1	80.10360822
TMEM48	16.43876875
YIPF1	62.25528583
LRRC42	37.86518884
TMEM59	40.70236733
TCEANC2	47.52123366
CDCP2	85.87434492
MRPL37	18.29407867
SSBP3	35.57014638
ACOT11	88.88621167
FAM151A	96.36768869
TTC4	60.41804711
PARS2	29.46810433
C1orf177	90.12710078
DHCR24	13.81242094
TMEM61	77.57364014
BSND	79.85663514
PCSK9	98.23504608
PPAP2B	27.95012349
PRKAA2	19.75784591
C8A	88.94644901
DAB1	33.37148365
OMA1	86.75983374
TACSTD2	64.80934883
JUN	28.16095416
FGGY	88.585025
HOOK1	10.3728691
CYP2J2	80.35660502
C1orf87	92.24745497
NFIA	17.37244744
INADL	97.50015059
KANK4	89.76567677
USP1	20.14938859
ANGPTL3	62.05047889
ATG4C	76.31467984
PGM1	56.02072164
ROR1	9.071742666
UBE2U	66.9056081
CACHD1	27.08270586
AK4	48.20793928
LEPROT	46.53334136
LEPR	11.81856515
PDE4B	7.818806096
TCTEX1D1	60.58068791
INSL5	83.77808566
WDR78	62.5564725
SLC35D1	28.10071682
IL23R	67.09234383
IL12RB2	84.51298115
SERBP1	18.69164508
GADD45A	38.17239925
DIRAS3	24.17926631
WLS	37.10619842
RPE65	26.80561412
DEPDC1	15.33040178
LRRC7	1.078248298
LRRC40	88.70549967
SRSF11	12.90283718
ANKRD13C	19.2879947
HHLA3	61.45412927
CTH	65.18282031
PTGER3	55.47858563
ZRANB2	19.54701524
NEGR1	27.31763147
TNNI3K	34.70272875
CRYZ	73.31486055
TYW3	66.86946569
SLC44A5	9.487380278
ACADM	45.24426239
RABGGTB	20.34214806
MSH4	11.2523342
ASB17	47.17788085
ST6GALNAC3	52.82211915
ST6GALNAC5	19.31208963
PIGK	15.61954099
AK5	11.1981206
ZZZ3	20.89030781
USP33	10.1740859
FAM73A	17.29413891
FUBP1	9.860851756
DNAJB4	29.60062647
GIPC2	78.4651527
PTGFR	60.19516897
IFI44L	92.99439793
IFI44	36.17251973
LPHN2	10.64393711
TTLL7	16.8785013
PRKACB	22.35407506
DNASE2B	66.77308596
RPF1	81.77820613
GNG5	61.2975122
CTBS	91.66315282
SSX2IP	32.61851696
LPAR3	49.17173664
MCOLN3	48.11155954
WDR63	13.72808867
C1orf52	42.32877537
BCL10	64.74308777
DDAH1	60.86982712
CYR61	22.46852599
ZNHIT6	63.14077465
CLCA2	46.00927655
CLCA1	29.89578941
SH3GLB1	16.05927354
HS2ST1	24.71537859
LMO4	39.47352569
PKN2	30.87765797
GTF2B	38.89524727
RBMXL1	85.76591772
GBP3	95.59062707
GBP1	69.93554605
GBP2	56.19540992
GBP7	89.38015782
GBP4	96.81344497
GBP5	58.17119451
GBP6	94.18107343
LRRC8B	6.638154328
LRRC8C	53.88229625
LRRC8D	8.348894645
ZNF326	14.98102524
BARHL2	37.53990723
ZNF644	32.39563882
CDC7	39.96747184
